,https://roic.ai/company/TPB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,174500000,188500000,186700000,193304000,200329000,197256000,206228000,285777000,332683000,361989000,405111000,445471000
2,COGS,- -,- -,- -,96200000,100700000,100900000,103043000,107165000,100960000,105872000,160908000,190124000,225243000,215475000,227637000
3,Gross Profit,- -,- -,- -,78300000,87800000,85800000,90261000,93164000,96296000,100356000,124869000,142559000,136746000,189636000,217834000
4,Gross Profit Ratio,- -,- -,- -,0.4487,0.4658,0.4596,0.4669,0.4651,0.4882,0.4866,0.4369,0.4285,0.3778,0.4681,0.4890
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,39600000,42800000,41400000,46822000,45108000,51785000,56771000,75369000,94075000,109887000,125563000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,39600000,42800000,41400000,46822000,45108000,51785000,56771000,75369000,94075000,109887000,125563000,127513000
9,Other Expenses,- -,- -,- -,-1000000,300000,0,27000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,38600000,43100000,41400000,46849000,45108000,51785000,56771000,75369000,94075000,109887000,125563000,127513000
11,COGS and Expenses,- -,- -,- -,134800000,143800000,142300000,149892000,152273000,152745000,162643000,236277000,284199000,335130000,341038000,355150000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,-26400000,-35200000,-43000000,44094000,34311000,34284000,26621000,16889000,15086000,17342000,- -,20500000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,932000,933000,1059000,1285000,2328000,3110000,4089000,5018000,5012000
