,https://roic.ai/company/LCI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3819595,3800736,9464814,10600000,11553457,12090993,25126214,42486758,63781219,44901645,64060375,82577591,72403283,119002215,125177949,106835132,122990000,151054000,273771000,406837000,566091000,637341000,684563000,655407000,545744000,478778000
2,COGS,1867908,2636360,6120949,6600000,7890972,6534764,8452677,16257794,26856875,31416908,33900045,57394751,54080947,73757746,83838142,83515419,84043000,93634000,119363000,100481000,256000000,332128000,395857000,411797000,380524000,403185000
3,Gross Profit,1951687,1164376,3343865,4000000,3662485,5556229,16673537,26228964,36924344,13484737,30160330,25182840,18322336,45244469,41339807,23319713,38947000,57420000,154408000,306356000,310091000,305213000,288706000,243610000,165220000,75593000
4,Gross Profit Ratio,0.5110,0.3064,0.3533,0.3774,0.3170,0.4595,0.6636,0.6173,0.5789,0.3003,0.4708,0.3050,0.2531,0.3802,0.3302,0.2183,0.3167,0.3801,0.5640,0.7530,0.5478,0.4789,0.4217,0.3717,0.3027,0.1579
5,Research and Development Exp.,- -,- -,- -,900000,730654,1402900,1748631,2575178,5895096,6265522,8102465,7459432,5172715,8427135,11251421,8587046,11844000,16253000,27713000,30342000,45054000,42073000,29196000,38807000,29978000,24173000
6,General and Administrative Exp.,- -,- -,- -,1200000,1356806,2014004,3298564,4337558,8863966,9194377,11799994,14134376,16789460,26059104,17375320,15911702,20193000,22410000,38606000,49527000,- -,73477000,82196000,87648000,79467000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1200000,1356806,2014004,3298564,4337558,8863966,9194377,11799994,14134376,16789460,26059104,17375320,15911702,20193000,22410000,38606000,49527000,- -,73477000,82196000,87648000,79467000,- -
9,Other Expenses,1260351,1236499,1663827,100000,- -,- -,- -,- -,1334313,51664496,1803953,9553441,-230570,- -,- -,- -,- -,- -,- -,- -,68325000,- -,- -,- -,- -,68078000
10,Operating Expenses,1260351,1236499,1663827,2200000,2087460,3416904,5047195,6912736,16093375,67124395,21706412,31147249,21731605,34486239,28626741,24498748,32037000,38663000,66319000,79869000,113379000,115550000,111392000,126455000,109445000,92251000
11,COGS and Expenses,3128259,3872859,7784776,8800000,9978432,9951668,13499872,23170530,42950250,98541303,55606457,88542000,75812552,108243985,112464883,108014167,116080000,132297000,185682000,180350000,369379000,447678000,507249000,538252000,489969000,495436000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209188,62328,90986,142000,116000,295000,425000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321751,275870,214519,273000,251000,130000,207000,65937000,89420000,85634000,84624000,66845000,53830000
14,Depreciation and Amortization,204265,206686,369374,600000,678625,767047,789304,982188,2506427,6970932,3967128,4465393,5229358,5099108,4888015,4976200,5735000,6198000,5984000,5583000,33433000,55340000,55115000,55594000,56309000,47824000
15,EBITDA,341331,-582654,1245096,1500000,1563392,3604484,11969429,19983815,23316197,-46854566,12497225,-1455686,-464712,16045820,17797996,4452251,12556000,27069000,96072000,233139000,161474000,145276000,191842000,-206027000,74526000,-201196000
16,EBITDA ratio,0.0894,-0.1533,0.1315,0.1415,0.1353,0.2981,0.4764,0.4704,0.3656,-1.0435,0.1951,-0.0176,-0.0064,0.1348,0.1422,0.0417,0.1021,0.1792,0.3509,0.5731,0.2852,0.2279,0.2802,-0.3143,0.1366,-0.4202
