,https://roic.ai/company/FEDU,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,93801000,203188000,300533000,335643000,389049000,280282000
2,COGS,54986000,85349000,109444000,171822000,200933000,168832000
3,Gross Profit,38815000,117839000,191089000,163821000,188116000,111450000
4,Gross Profit Ratio,0.4138,0.5800,0.6358,0.4881,0.4835,0.3976
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27725000,42071000,92932000,128906000,139370000,116972000
7,Selling and Marketing Exp.,4827000,12563000,36565000,33783000,34367000,30953000
8,"Selling, General and Administrative Exp.",32552000,54634000,129497000,162689000,173737000,147925000
9,Other Expenses,-299000,-579000,-2432000,-4150000,-9572000,-11898000
10,Operating Expenses,32253000,54055000,127065000,158539000,164165000,136027000
11,COGS and Expenses,87239000,139404000,236509000,330361000,365098000,304859000
12,Interest Income ,1094000,3037000,5546000,6756000,5229000,3403000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,530000,1755000,6537000,17963000,19752000,15703000
15,EBITDA,-25605000,39225000,77334000,27478000,-85552000,-7733000
16,EBITDA ratio,-0.2730,0.1930,0.2573,0.0819,-0.2199,-0.0276
17,Operating Income,6263000,63205000,61592000,1132000,-131037000,-36475000
18,Operating Income ratio,0.0668,0.3111,0.2049,0.0034,-0.3368,-0.1301
19,Total Other Income Expenses (Gains),-32326000,-25946000,6676000,7595000,25881000,17201000
20,Income Before Tax,-26063000,37259000,68268000,8727000,-105156000,-19274000
21,Income Before Tax Ratio,-0.2779,0.1834,0.2272,0.0260,-0.2703,-0.0688
22,Income Tax expense (Gain),4841000,19804000,26424000,10116000,4189000,4760000
23,Net Income,-30976000,17666000,44373000,-601000,-109493000,-28196000
24,Net Income ratio,-0.3302,0.0869,0.1476,-0.0018,-0.2814,-0.1006
25,EPS,-0.81,0.37,1.07,-0.01,-2.31,-1.19
26,EPS Diluted,-0.81,0.37,0.99,-0.01,-2.31,-1.19
27,Weighted Average Shares Outstanding,38444444,47644444,34114112,48106984,47337832,23668920
28,Weighted Average Shares Outstanding Diluted,47644444,47644444,37049288,48106984,47337832,23668920
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
