,https://roic.ai/company/CDJM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22400
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2051823,- -,- -,- -,- -,- -,- -,- -,60000,60000,76457,72162,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5165860,2144989,2108658,4403689,2051823,- -,- -,- -,- -,- -,- -,- -,60000,60000,76457,72162,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223040,1275,36112
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299497,73437,36112
11,COGS and Expenses,5166102,2160044,2109451,4403689,2051984,- -,- -,- -,- -,- -,- -,- -,60000,60000,299497,73437,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,372144,838266,811286,17957,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,272,245994,491950,529718,161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-5965065,32853,-2888641,-2343219,-2051823,- -,- -,- -,- -,- -,- -,- -,-60000,-60000,- -,-73437,-13712
16,EBITDA ratio,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,-Infinity,-0.6121
17,Operating Income,-5166102,-2160044,-2109451,-4403689,-2051984,- -,- -,- -,- -,- -,- -,- -,-60000,-60000,-299497,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -
19,Total Other Income Expenses (Gains),799235,-1946903,1271140,-1530752,-3380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172,- -
20,Income Before Tax,- -,- -,- -,- -,-5431984,- -,- -,- -,- -,- -,- -,- -,-60000,-60000,- -,-73609,-13712
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,-Infinity,-0.6121
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4366867,-4464591,-1676577,-6745727,-5431984,- -,- -,- -,- -,- -,- -,- -,-60000,-60000,- -,-73609,-13712
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,-Infinity,-0.6121
25,EPS,-59011.72,-60332.31,-22656.45,-3321.38,-9206.75,- -,- -,- -,- -,- -,- -,- -,-0.00,-0.00,-0.01,-0.00,-0.00
