,https://roic.ai/company/OTIVF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4380000,13080000,19888000,17963000,19595000,23152000,35664000,40553000,43485000,40217000,31437000,35022000,51255000,39964000,19868000,23062000,19861000,20564000,22382000,21878000,14751000,12742000
2,COGS,2200000,6830000,11238000,9502000,9478000,12799000,21629000,21871000,25918000,24743000,16782000,19789000,24939000,20041000,9140000,12006000,9721000,10361000,10996000,10710000,7455000,15282000
3,Gross Profit,2180000,6250000,8650000,8461000,10117000,10353000,14035000,18682000,17567000,15474000,14655000,15233000,26316000,19923000,10728000,11056000,10140000,10203000,11386000,11168000,7296000,-2540000
4,Gross Profit Ratio,0.4977,0.4778,0.4349,0.4710,0.5163,0.4472,0.3935,0.4607,0.4040,0.3848,0.4662,0.4350,0.5134,0.4985,0.5400,0.4794,0.5105,0.4962,0.5087,0.5105,0.4946,-0.1993
5,Research and Development Exp.,1460000,3920000,6169000,3356000,2306000,3150000,4787000,7065000,12265000,11129000,8127000,10300000,9163000,8649000,4868000,4664000,3648000,2810000,3305000,3175000,3334000,3531000
6,General and Administrative Exp.,3850000,10690000,11593000,9052000,9945000,12559000,17286000,19020000,27263000,14274000,9230000,11210000,9346000,11283000,6945000,6142000,5069000,3499000,3633000,4041000,4112000,3028000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,11875000,10371000,10370000,13705000,16468000,7914000,8230000,7246000,5546000,5633000,5940000,5026000,3233000
8,"Selling, General and Administrative Exp.",3850000,10690000,11593000,9052000,9945000,12559000,17286000,19020000,27263000,26149000,19601000,21580000,23051000,27751000,14859000,14372000,12315000,9045000,9266000,9981000,9138000,6261000
9,Other Expenses,-10000,1060000,1124000,161000,188000,3488000,2094000,699000,1314000,2794000,978000,2794000,507000,211000,181000,- -,- -,- -,- -,- -,-13000,-11000
10,Operating Expenses,5300000,15670000,18886000,12569000,12439000,19197000,24167000,26784000,40842000,40072000,28706000,34674000,32721000,36611000,19908000,19036000,15963000,11855000,12571000,13156000,12459000,9781000
11,COGS and Expenses,7500000,22500000,30124000,22071000,21917000,31996000,45796000,48655000,66760000,64815000,45488000,54463000,57660000,56652000,29048000,31042000,25684000,22216000,23567000,23866000,19914000,25063000
12,Interest Income ,- -,- -,- -,41000,- -,131000,897000,2459000,2800000,561000,24000,561000,609000,320000,182000,82000,87000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),320000,820000,- -,- -,897000,418000,228000,747000,938000,1089000,1177000,1035000,1038000,1027000,1095000,659000,706000,- -,- -,- -,- -,370000
14,Depreciation and Amortization,210000,1040000,2421000,2669000,3619000,5733000,10629000,2683000,3894000,5838000,2391000,28719000,2186000,1748000,1216000,1307000,1251000,1172000,1172000,1328000,1270000,419000
15,EBITDA,-2450000,-6500000,-9310000,-3372000,1053000,-2951000,1569000,-3497000,-16037000,-43743000,-19525000,-20916000,-3432000,-14452000,-534000,-7848000,-5072000,426000,648000,764000,-4676000,-5344000
16,EBITDA ratio,-0.5594,-0.4969,-0.4681,-0.1877,0.0537,-0.1275,0.0440,-0.0862,-0.3688,-1.0877,-0.6211,-0.5972,-0.0670,-0.3616,-0.0269,-0.3403,-0.2554,0.0207,0.0290,0.0349,-0.3170,-0.4194
17,Operating Income,-3120000,-9420000,10236000,4108000,2322000,8844000,10132000,8102000,23275000,48815000,14051000,1191000,-6405000,-16688000,-5812000,-9510000,-7255000,-1891000,-1268000,-1961000,-4835000,-4680000
18,Operating Income ratio,-0.7123,-0.7202,0.5147,0.2287,0.1185,0.3820,0.2841,0.1998,0.5352,1.2138,0.4470,0.0340,-0.1250,-0.4176,-0.2925,-0.4124,-0.3653,-0.0920,-0.0567,-0.0896,-0.3278,-0.3673
19,Total Other Income Expenses (Gains),70000,820000,-21967000,-10130000,-5785000,-17946000,-19679000,-14567000,-44824000,-98158000,-29255000,-45323000,-419000,-707000,-913000,-577000,-619000,-396000,-341000,-228000,-397000,-370000
