,https://roic.ai/company/INSE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,122544000,141381000,153400000,199800000,208900000
2,COGS,- -,- -,- -,26684000,30780000,36100000,44500000,50700000
3,Gross Profit,- -,- -,- -,95860000,110601000,117300000,155300000,158200000
4,Gross Profit Ratio,- -,- -,- -,0.7822,0.7823,0.7647,0.7773,0.7573
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3530445,- -,62536000,67538000,81600000,89600000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3530445,- -,62536000,67538000,81600000,89600000,110200000
9,Other Expenses,- -,- -,- -,33810000,41832000,42000000,52300000,- -
10,Operating Expenses,- -,3530445,- -,96346000,109370000,123600000,141900000,110200000
11,COGS and Expenses,- -,3530445,- -,123030000,140150000,159700000,186400000,160900000
12,Interest Income ,- -,14520,- -,55000,205000,100000,600000,- -
13,Interest Expense (Gain),- -,- -,- -,29358000,23602000,30500000,32800000,44300000
14,Depreciation and Amortization,- -,- -,- -,33810000,41832000,43000000,55900000,67500000
15,EBITDA,- -,-3520164,- -,14238000,45020000,36600000,59900000,76700000
16,EBITDA ratio,- -,-Infinity,- -,0.1162,0.3184,0.2386,0.2998,0.3672
17,Operating Income,- -,-3530445,- -,-11897000,-7312000,-13000000,6400000,-600000
18,Operating Income ratio,- -,-Infinity,- -,-0.0971,-0.0517,-0.0847,0.0320,-0.0029
19,Total Other Income Expenses (Gains),- -,4239,- -,-37033000,-13102000,-23900000,-35200000,-37700000
20,Income Before Tax,- -,-3526206,- -,-48930000,-20414000,-36900000,-28800000,-38300000
21,Income Before Tax Ratio,- -,-Infinity,- -,-0.3993,-0.1444,-0.2405,-0.1441,-0.1833
22,Income Tax expense (Gain),- -,- -,- -,184000,182000,100000,400000,1600000
23,Net Income,- -,-3526206,- -,-49114000,-20596000,-37000000,-29200000,-36700000
24,Net Income ratio,- -,-Infinity,- -,-0.4008,-0.1457,-0.2412,-0.1461,-0.1757
25,EPS,- -,-1.27,- -,-2.68,-0.99,-1.69,-1.30,-1.64
26,EPS Diluted,- -,-1.27,- -,-2.68,-0.99,-1.69,-1.30,-1.64
27,Weighted Average Shares Outstanding,2787207,2787207,- -,18296480,20754549,21892964,22399333,22399333
28,Weighted Average Shares Outstanding Diluted,2787207,2787207,- -,18296480,20754549,21892964,22399333,22399333
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1615063/000114420415016019/0001144204-15-016019-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000114420416088189/0001144204-16-088189-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1615063/000161577418014163/0001615774-18-014163-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315221010814/0001493152-21-010814-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000121390021018067/0001213900-21-018067-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315222008568/0001493152-22-008568-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1123278,256239,- -,20028000,22451000,29100000,47100000,47800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1123278,256239,- -,20028000,22451000,29100000,47100000,47800000
34,Net Receivables,- -,- -,- -,30011000,25073000,39500000,27500000,31700000
35,Inventory,- -,- -,- -,5011000,5210000,18800000,17600000,16900000
36,Other Current Assets,17610,62589,- -,8150000,5818000,7900000,16800000,30000000
37,Total Current Assets,1140888,318828,- -,63200000,58552000,95300000,109000000,126400000
38,PP&E,- -,- -,- -,43485000,45707000,88700000,78000000,61000000
39,Goodwill,- -,- -,- -,47076000,45818000,80900000,83700000,82700000
40,Intangible Assets,- -,- -,- -,55673000,45721000,56800000,50100000,18900000
41,Intangible Assets,- -,- -,- -,102749000,91539000,137700000,133800000,101600000
42,Investments,80005240,80009479,- -,- -,- -,600000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,149841,1500,- -,9589000,12114000,5600000,3300000,42700000
45,Total Non-Current Assets,80155081,80010979,- -,155823000,149360000,232600000,215100000,205300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,81295969,80329807,- -,219023000,207912000,327400000,324100000,331700000
48,Accounts Payable,85729,- -,- -,20407000,14400000,22200000,17900000,20800000
49,Short-Term Debt,65,- -,- -,7931000,474000,6300000,4200000,4200000
50,Tax Payable,- -,- -,- -,3134000,2047000,6600000,14400000,12300000
51,Deferred Revenue,- -,- -,- -,11555000,12913000,12000000,11500000,7700000
52,Other Current Liabilities,- -,2645838,- -,21327000,24554000,37800000,48300000,48800000
53,Total Current Liabilities,85794,2645838,- -,61220000,52341000,78300000,81900000,81500000
54,Long-Term Debt,- -,- -,- -,115928000,135425000,275700000,297500000,316400000
55,Deferred Revenue,- -,- -,- -,20144000,23946000,17700000,11400000,6800000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2800000,2800000,- -,24060000,8667000,5200000,22000000,5000000
58,Total Non-Current Liabilities,2800000,2800000,- -,160132000,168038000,298600000,330900000,328200000
