,https://roic.ai/company/CMAX,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,295762000
2,COGS,- -,57566000
3,Gross Profit,- -,238196000
4,Gross Profit Ratio,- -,0.8054
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,3776741,40579000
7,Selling and Marketing Exp.,- -,4955000
8,"Selling, General and Administrative Exp.",3776741,45534000
9,Other Expenses,- -,- -
10,Operating Expenses,3776741,45534000
11,COGS and Expenses,3776741,324585000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),- -,-4492000
14,Depreciation and Amortization,- -,2813000
15,EBITDA,-4011654,-8195000
16,EBITDA ratio,-Infinity,-0.0277
17,Operating Income,9682000,-28822000
18,Operating Income ratio,Infinity,-0.0974
19,Total Other Income Expenses (Gains),-13607092,22306000
20,Income Before Tax,-3925092,-6516000
21,Income Before Tax Ratio,-Infinity,-0.0220
22,Income Tax expense (Gain),- -,159000
23,Net Income,-3925092,-6675000
24,Net Income ratio,-Infinity,-0.0226
25,EPS,0.09,-0.08
26,EPS Diluted,0.09,-0.08
27,Weighted Average Shares Outstanding,80247842,82552520
28,Weighted Average Shares Outstanding Diluted,80247842,82552520
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1813914/000110465921031739/0001104659-21-031739-index.htm,https://www.sec.gov/Archives/edgar/data/1813914/000095017022003946/0000950170-22-003946-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,908711,47917
32,Short-Term Investments,143836562,- -
33,Cash and Short-Term Investments,144745273,47917
34,Net Receivables,- -,- -
35,Inventory,- -,550
36,Other Current Assets,-143638390,59577
37,Total Current Assets,1106883,108044
38,PP&E,- -,15993
39,Goodwill,- -,464566
40,Intangible Assets,- -,59811
41,Intangible Assets,- -,524377
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,143836562,4678
45,Total Non-Current Assets,143836562,545048
46,Other Assets,- -,- -
47,Total Assets,144943445,653092
48,Accounts Payable,458155,3110
49,Short-Term Debt,- -,6275
50,Tax Payable,129913,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,3297913,12574
53,Total Current Liabilities,3756068,21959
54,Long-Term Debt,- -,110960
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,4443250,14803
58,Total Non-Current Liabilities,4443250,125763
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,8199318,147722
62,Preferred Stock,- -,- -
63,Common Stock,131744599,9
64,Retained Earnings,-3925092,33
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,8924620,505328
67,Total Stockholders Equity,136744127,505370
68,Total Liabilities And Stockholders Equity,144943445,653092
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,144943445,653092
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1813914/000110465921031739/0001104659-21-031739-index.htm,https://www.sec.gov/Archives/edgar/data/1813914/000095017022003946/0000950170-22-003946-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-3925092,-6675000
74,Depreciation and Amortization,- -,2813000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,- -,1341000
77,Change in Working Capital,- -,2735270
78,Accounts Receivable,- -,-3836000
79,Inventory,- -,-85000
80,Accounts Payable,455911,-984000
81,Other Working Capital,-2649185,86085
82,Other Non-Cash Items,3469444,-24070270
83,Cash Provided by Operating Activities,-455648,-23856000
84,CAPEX,- -,-3990000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,-143750000,-312589000
89,Cash Used for Investing Activites,-143750000,-316579000
90,Debt Repayment,- -,-27711000
91,Common Stock Issued,25000,415000000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,145089359,-3871000
95,Cash Used/Provided by Financing Activities,145114359,383418000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,908711,47008289
98,Cash at the End of Period,908711,47917000
99,Cash at the Beginning of Period,- -,908711
100,Free Cash Flow,-455648,-27846000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1813914/000110465921031739/0001104659-21-031739-index.htm,https://www.sec.gov/Archives/edgar/data/1813914/000095017022003946/0000950170-22-003946-index.htm
102,false,,
