,https://roic.ai/company/VALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3935000000,3990000000,4123000000,5350000000,8066000000,14549000000,19651000000,32242000000,37426000000,23311000000,45293000000,58990000000,48753000000,46767000000,37539000000,25609000000,27488000000,33967000000,36575000000,37570000000,40018000000,54502000000
2,COGS,2429000000,2327000000,2263000000,3128000000,4081000000,6981000000,10147000000,16463000000,17641000000,13621000000,18814000000,23573000000,27650000000,24245000000,25064000000,20513000000,17650000000,21039000000,22109000000,21187000000,19039000000,21729000000
3,Gross Profit,1506000000,1663000000,1860000000,2222000000,3985000000,7568000000,9504000000,15779000000,19785000000,9690000000,26479000000,35417000000,21103000000,22522000000,12475000000,5096000000,9838000000,12928000000,14466000000,16383000000,20979000000,32773000000
4,Gross Profit Ratio,0.3827,0.4168,0.4511,0.4153,0.4940,0.5202,0.4836,0.4894,0.5286,0.4157,0.5846,0.6004,0.4329,0.4816,0.3323,0.1990,0.3579,0.3806,0.3955,0.4361,0.5242,0.6013
5,Research and Development Exp.,48000000,43000000,50000000,82000000,153000000,288000000,481000000,733000000,1085000000,981000000,878000000,1674000000,1478000000,801000000,734000000,477000000,319000000,340000000,373000000,443000000,443000000,549000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000000,955000000,858000000,491000000,366000000,428000000,461000000,339000000,400000000,332000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389000000,129000000,120000000,12000000,8000000,- -,95000000,92000000,105000000,107000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1972000000,1084000000,978000000,503000000,374000000,428000000,556000000,431000000,505000000,439000000
9,Other Expenses,532000000,691000000,381000000,496000000,709000000,1050000000,816000000,1245000000,1748000000,1130000000,1701000000,2334000000,634000000,3037000000,2156000000,1534000000,1018000000,770000000,496000000,1578000000,1439000000,822000000
10,Operating Expenses,580000000,734000000,431000000,578000000,862000000,1338000000,1297000000,1978000000,2833000000,2111000000,2579000000,4008000000,4084000000,4922000000,3868000000,2514000000,1711000000,1538000000,1425000000,2452000000,2387000000,1810000000
11,COGS and Expenses,3009000000,3061000000,2694000000,3706000000,4943000000,8319000000,11444000000,18441000000,20474000000,15732000000,21393000000,27581000000,31734000000,29167000000,28932000000,23027000000,19361000000,22577000000,23534000000,23639000000,21426000000,23539000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,327000000,295000000,602000000,381000000,290000000,718000000,401000000,- -,193000000,965000000,92000000,176000000,177000000,247000000,375000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1338000000,1592000000,1765000000,1558000000,2646000000,2465000000,2414000000,1716000000,1463000000,891000000,1532000000,1952000000,1743000000,2554000000,2439000000,1445000000
14,Depreciation and Amortization,195000000,212000000,214000000,238000000,674000000,853000000,997000000,2186000000,2807000000,2722000000,3260000000,4122000000,4396000000,4150000000,4288000000,4029000000,3487000000,3708000000,3351000000,3726000000,3234000000,3034000000
15,EBITDA,1249000000,1281000000,745000000,2083000000,3996000000,6337000000,10295000000,18804000000,18325000000,11729000000,26875000000,34754000000,11488000000,13283000000,7608000000,-12309000000,11782000000,12662000000,11782000000,4002000000,10992000000,31621000000
16,EBITDA ratio,0.3174,0.3211,0.1807,0.3893,0.4954,0.4356,0.5239,0.5832,0.4896,0.5032,0.5934,0.5892,0.2356,0.2840,0.2027,-0.4807,0.4286,0.3728,0.3221,0.1065,0.2747,0.5802
17,Operating Income,926000000,929000000,1429000000,1644000000,3123000000,6230000000,7637000000,13194000000,14748000000,6057000000,21695000000,30112000000,9223000000,15063000000,7178000000,-6131000000,7052000000,10930000000,11955000000,1319000000,10843000000,27693000000
18,Operating Income ratio,0.2353,0.2328,0.3466,0.3073,0.3872,0.4282,0.3886,0.4092,0.3941,0.2598,0.4790,0.5105,0.1892,0.3221,0.1912,-0.2394,0.2565,0.3218,0.3269,0.0351,0.2710,0.5081
19,Total Other Income Expenses (Gains),-195000000,191000000,-828000000,10000000,-120000000,-303000000,192000000,2039000000,-1531000000,1066000000,-1381000000,-3313000000,-3801000000,-7822000000,-5625000000,-11589000000,932000000,-3101000000,-5139000000,-4094000000,-5874000000,1848000000
