,https://roic.ai/company/PZG,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,2649,- -,- -,1333,3906,4764,3732,2624,2555,2508
3,Gross Profit,-2649,- -,- -,-1333,-3906,-4764,-3732,-2624,-2555,-2508
4,Gross Profit Ratio,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,745264,1119859,659341,1322815,1729048,1840965,1532690,2051322,1895089,2410272
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",745264,1119859,659341,1322815,1729048,1840965,1532690,2051322,1895089,2410272
9,Other Expenses,3367476,- -,- -,1489739,1241305,6146918,4892930,4334186,4888707,3417126
10,Operating Expenses,4112740,- -,- -,2812554,2970353,7987883,6425620,6385508,6783796,5827398
11,COGS and Expenses,4115389,7193770,2663377,2813887,2974259,7992647,6429352,6388132,6786351,5829906
12,Interest Income ,5312,3413,3404,4195,17478,14727,22176,27177,16509,2293
13,Interest Expense (Gain),812328,1710358,2452468,2252527,216,2404,5610,9481,389209,442211
14,Depreciation and Amortization,2649,- -,- -,1333,3906,4764,3732,2624,2555,2508
15,EBITDA,-4107428,-7182857,-2584871,-2812554,-2970353,-7987883,-6425620,-6385508,-6783796,-5494846
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4115389,-7193770,-2663377,-2813887,-2974259,-7992647,-6429352,-6388132,-6786351,-5829906
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-782016,-1328212,-2371367,-2417320,-2367913,437627,361198,418084,356210,-73712
20,Income Before Tax,-4897405,-8521982,-5034744,-5231207,-5342172,-7555020,-6068154,-5970048,-6430141,-5903618
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-3215418,- -,- -,- -,- -
23,Net Income,-4897405,-8521982,-5034744,-5231207,-5342172,-4339602,-6068154,-5970048,-6430141,-5903618
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.57,-1.00,-0.30,-0.64,-0.63,-0.27,-0.28,-0.23,-0.23,-0.17
26,EPS Diluted,-0.57,-1.00,-0.30,-0.64,-0.63,-0.27,-0.28,-0.23,-0.23,-0.17
27,Weighted Average Shares Outstanding,8518791,8518791,8518791,8185999,8518791,16331165,21566242,25855541,27583566,35533269
28,Weighted Average Shares Outstanding Diluted,8518791,8518791,8518791,8185999,8518791,16331165,21566242,25855541,27583566,35533269
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1629210/000156459015008025/0001564590-15-008025-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459016025274/0001564590-16-025274-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459017018742/0001564590-17-018742-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459018022959/0001564590-18-022959-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459019034803/0001564590-19-034803-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459020044687/0001564590-20-044687-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459021048261/0001564590-21-048261-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,75292,452436,9282534,5874258,1911170,297389,463690,5434081,3113064
32,Short-Term Investments,- -,450000,560099,14657,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,525292,1012535,9297191,5874258,1911170,297389,463690,5434081,3113064
34,Net Receivables,- -,- -,- -,37071,808187,15804,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,329474,230244,247719,761897,213608,260417,348771,442596,1152396
37,Total Current Assets,- -,854766,1242779,9581981,7444342,2140582,557806,812461,5876677,4265460
38,PP&E,- -,28373535,28373535,28044131,25689554,46473045,48869313,47061435,47341780,49203663
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2840991,2626538,2523914,2350131,2086562,1769501,1401833,695041,533703
45,Total Non-Current Assets,- -,31214526,31000073,30568045,28039685,48559607,50638814,48463268,48036821,49737366
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,32069292,32242852,40150026,35484027,50700189,51196620,49275729,53913498,54002826
48,Accounts Payable,- -,82683,29654,233200,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,12890647,15363799,- -,559900,1089228,1029555,1077597,1079491,948972
53,Total Current Liabilities,- -,12973330,15393453,233200,559900,1089228,1029555,1077597,1079491,948972
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,5291856,4161502
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1263584,1291066,1294497,1017940,1044933,970958,868390,460939,1539622
58,Total Non-Current Liabilities,- -,1263584,1291066,1294497,1017940,1044933,970958,868390,5752795,5701124
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,14236914,16684519,1527697,1577840,2134161,2000513,1945987,6832286,6650096
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,29701475,29701475,85188,85188,177800,230750,265200,329584,381542
64,Retained Earnings,- -,-15714261,-20749005,-25980212,-31322384,-35661986,-41730140,-47700188,-54130329,-60033947
65,Other Comprehensive Income/Loss,- -,- -,- -,-1333,-5239,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,3845164,6605863,64518686,65148622,84050214,90695497,94764730,100881957,107005135
67,Total Stockholders Equity,- -,17832378,15558333,38622329,33906187,48566028,49196107,47329742,47081212,47352730
68,Total Liabilities And Stockholders Equity,- -,32069292,32242852,40150026,35484027,50700189,51196620,49275729,53913498,54002826
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,32069292,32242852,40150026,35484027,50700189,51196620,49275729,53913498,54002826
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1629210/000156459015008025/0001564590-15-008025-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459016025274/0001564590-16-025274-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459017018742/0001564590-17-018742-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459018022959/0001564590-18-022959-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459019034803/0001564590-19-034803-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459020044687/0001564590-20-044687-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459021048261/0001564590-21-048261-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-4897405,-8521982,-5034744,-5231207,-5342172,-4339602,-6068154,-5970048,-6430141,-5903618
74,Depreciation and Amortization,2649,- -,- -,1333,3906,4764,3732,2624,2555,2508
75,Deferred Income Tax,- -,- -,- -,- -,- -,-3215418,- -,- -,- -,- -
76,Stock Based Compensation,302653,469778,248450,375788,570837,243421,71335,231527,1179336,618235
77,Change in Working Capital,-191756,-12118564,-2032110,23499455,-2464339,-5833088,-1523103,206613,5062322,-1480698
78,Accounts Receivable,- -,- -,- -,-37071,37071,-15804,15804,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,82683,-53029,203546,-57399,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-12118564,-14150674,9348781,6884442,1051354,-471749,-265136,4797186,3316488
82,Other Non-Cash Items,1205059,14056303,4772346,-20686948,4634298,6623466,1675511,-104231,-4959363,807502
83,Cash Provided by Operating Activities,-3578800,-6114465,-2046058,-2041579,-2597470,-6516457,-5840679,-5633515,-5145291,-5956071
84,CAPEX,-1064001,-14706,- -,-1329,-10806,-2527,-2400000,- -,-4719,-87500
85,Acquisitions Net,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -
86,Purchases of Investments,- -,-62994,-49950,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,462075,-800000,-2601,- -,1927660,- -,- -
89,Cash Used for Investing Activites,-1064001,-77700,-49950,460746,-810806,-1005128,-2400000,1927660,-4719,-87500
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,1470000,- -,3558497,6626898,2911286,4882966,3722554
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4773888,6130655,2473152,8940931,- -,- -,- -,960870,5237435,- -
95,Cash Used/Provided by Financing Activities,4773888,6130655,2473152,10410931,- -,3558497,6626898,3872156,10120401,3722554
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,131087,-61510,377144,8830098,-3408276,-3963088,-1613781,166301,4970391,-2321017
98,Cash at the End of Period,136802,75292,452436,9282534,5874258,1911170,297389,463690,5434081,3113064
99,Cash at the Beginning of Period,5715,136802,75292,452436,9282534,5874258,1911170,297389,463690,5434081
100,Free Cash Flow,-4642801,-6129171,-2046058,-2042908,-2608276,-6518984,-8240679,-5633515,-5150010,-6043571
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1629210/000156459015008025/0001564590-15-008025-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459016025274/0001564590-16-025274-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459017018742/0001564590-17-018742-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459018022959/0001564590-18-022959-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459019034803/0001564590-19-034803-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459020044687/0001564590-20-044687-index.htm,https://www.sec.gov/Archives/edgar/data/1629210/000156459021048261/0001564590-21-048261-index.htm
102,false,,,,,,,,,,
