,https://roic.ai/company/BTI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6771000000,7241000000,7152000000,7120000000,9072000000,10915000000,11371000000,10600000000,10570000000,10768000000,9325000000,9762000000,10018000000,12122000000,14208000000,14883000000,15399000000,15190000000,15260000000,13971000000,13104000000,14751000000,20292000000,24492000000,25877000000,25776000000,25684000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2762000000,2850000000,2772000000,3316000000,4018000000,3707000000,3426000000,3312000000,3243000000,3030000000,3033000000,3733000000,5033000000,4550000000,4437000000,4138000000,4382000000
3,Gross Profit,6771000000,7241000000,- -,7120000000,- -,10915000000,11371000000,24682000,25622000000,10768000000,6563000000,6912000000,7246000000,8806000000,10190000000,11176000000,11973000000,11878000000,12017000000,10941000000,10071000000,11018000000,15259000000,19942000000,21440000000,21638000000,21302000000
4,Gross Profit Ratio,1.0000,1.0000,- -,1.0000,- -,1.0000,1.0000,0.0023,2.4240,1.0000,0.7038,0.7081,0.7233,0.7264,0.7172,0.7509,0.7775,0.7820,0.7875,0.7831,0.7685,0.7469,0.7520,0.8142,0.8285,0.8395,0.8294
5,Research and Development Exp.,43000000,37000000,42000000,45000000,58000000,59000000,59000000,62000000,73000000,29000000,29000000,36000000,43000000,50000000,51000000,82000000,81000000,93000000,91000000,74000000,60000000,53000000,80000000,105000000,126000000,121000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,14800000,14900000,12600000,11400000,47700000,25400000,25300000,28300000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15100000,14800000,14900000,12600000,11400000,47700000,25400000,25300000,28300000,- -
9,Other Expenses,5088000000,5578000000,5265000000,5483000000,7098000000,8297000000,8699000000,7980000000,7719000000,8063000000,6852000000,6720000000,4298000000,8960000000,9740000000,10016000000,9831000000,6295900000,6340200000,6199100000,5407400000,6300600000,8661300000,10374400000,12058700000,11312700000,11065000000
10,Operating Expenses,5131000000,5615000000,5307000000,5528000000,7156000000,8356000000,8758000000,8042000000,7792000000,8092000000,6881000000,6756000000,4341000000,9010000000,9791000000,10098000000,9912000000,6404000000,6446000000,6288000000,5480000000,6365000000,8789000000,10504800000,12210000000,11462000000,11065000000
11,COGS and Expenses,5131000000,5615000000,5307000000,5528000000,7156000000,8356000000,8758000000,8042000000,7792000000,8092000000,9643000000,9606000000,7113000000,12326000000,13809000000,13805000000,13338000000,9716000000,9689000000,9318000000,8513000000,10098000000,13822000000,15054800000,16647000000,15600000000,15447000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,106000000,122000000,111000000,131000000,83000000,58000000,79000000,81000000,62000000,65000000,69000000,68000000,84000000,68000000,84000000,50000000,35000000
13,Interest Expense (Gain),306000000,340000000,368000000,355000000,370000000,489000000,409000000,333000000,335000000,371000000,373000000,410000000,382000000,535000000,602000000,583000000,567000000,580000000,614000000,588000000,582000000,670000000,1124000000,1634000000,1788000000,1784000000,1521000000
14,Depreciation and Amortization,221000000,231000000,239000000,297000000,350000000,401000000,396000000,338000000,477000000,375000000,325000000,353000000,318000000,420000000,504000000,504000000,516000000,475000000,477000000,523000000,428000000,607000000,902000000,1038000000,1512000000,1450000000,1076000000
15,EBITDA,1877000000,2079000000,1376000000,1275000000,1949000000,2242000000,2701000000,2641000000,2222000000,4246000000,3155000000,3375000000,3620000000,4437000000,4943000000,5214000000,5734000000,6422000000,6595000000,5681000000,6633000000,7331000000,31446000000,10845000000,11067000000,11742000000,11587000000
16,EBITDA ratio,0.2772,0.2871,0.1924,0.1791,0.2148,0.2054,0.2375,0.2492,0.2102,0.3943,0.3383,0.3457,0.3613,0.3660,0.3479,0.3503,0.3724,0.4228,0.4322,0.4066,0.5062,0.4970,1.5497,0.4428,0.4277,0.4555,0.4511
17,Operating Income,1646000000,1714000000,1303000000,1011000000,1479000000,1784000000,2176000000,2180000000,1777000000,3760000000,2420000000,2622000000,2904000000,3572000000,4101000000,4318000000,4721000000,5412000000,5526000000,4546000000,4557000000,4655000000,6476000000,9313000000,9016000000,9962000000,10234000000
18,Operating Income ratio,0.2431,0.2367,0.1822,0.1420,0.1630,0.1634,0.1914,0.2057,0.1681,0.3492,0.2595,0.2686,0.2899,0.2947,0.2886,0.2901,0.3066,0.3563,0.3621,0.3254,0.3478,0.3156,0.3191,0.3802,0.3484,0.3865,0.3985
19,Total Other Income Expenses (Gains),-186000000,-88000000,-428000000,-273000000,-108000000,-262000000,-111000000,-67000000,-210000000,-130000000,164000000,142000000,173000000,112000000,-21000000,70000000,210000000,236000000,273000000,302000000,1298000000,1590000000,23115000000,-962000000,-1104000000,-1290000000,-1071000000
20,Income Before Tax,1460000000,1626000000,875000000,738000000,1371000000,1522000000,2065000000,2113000000,1567000000,3630000000,2584000000,2764000000,3077000000,3684000000,4080000000,4388000000,4931000000,5648000000,5799000000,4848000000,5855000000,6245000000,29591000000,8351000000,7912000000,8672000000,9163000000
21,Income Before Tax Ratio,0.2156,0.2246,0.1223,0.1037,0.1511,0.1394,0.1816,0.1993,0.1482,0.3371,0.2771,0.2831,0.3071,0.3039,0.2872,0.2948,0.3202,0.3718,0.3800,0.3470,0.4468,0.4234,1.4583,0.3410,0.3058,0.3364,0.3568
22,Income Tax expense (Gain),490000000,520000000,357000000,277000000,673000000,660000000,886000000,818000000,779000000,673000000,690000000,716000000,790000000,1025000000,1124000000,1248000000,1556000000,1526000000,1600000000,1455000000,1333000000,1406000000,-8113000000,2141000000,2063000000,2108000000,2189000000
23,Net Income,860000000,988000000,412000000,346000000,556000000,692000000,1010000000,1152000000,631000000,2827000000,1767000000,1896000000,2130000000,2457000000,2713000000,2879000000,3095000000,3841000000,3904000000,3115000000,4290000000,4648000000,37533000000,6032000000,5704000000,6400000000,6801000000
24,Net Income ratio,0.1270,0.1364,0.0576,0.0486,0.0613,0.0634,0.0888,0.1087,0.0597,0.2625,0.1895,0.1942,0.2126,0.2027,0.1909,0.1934,0.2010,0.2529,0.2558,0.2230,0.3274,0.3151,1.8496,0.2463,0.2204,0.2483,0.2648
