,https://roic.ai/company/SMED,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,830000,730000,2334747,4201722,4651303,6513025,8419339,8619393,9001177,10562720,11956016,12840911,20297207,39156000,19395000,21787000,21530000,26570000,30902000,33383000,38188000,40141000,44312000,51146000,76424000
2,COGS,- -,630000,560000,1426311,2236727,2332475,4361072,5798150,5108635,5499355,6068399,6942567,7725921,9840965,15502000,13171000,15246000,15183000,17581000,19907000,22272000,26351000,28739000,31042000,35384000,47514000
3,Gross Profit,- -,200000,170000,908436,1964995,2318828,2151953,2621189,3510758,3501822,4494321,5013449,5114990,10456242,23654000,6224000,6541000,6347000,8989000,10995000,11111000,11837000,11402000,13270000,15762000,28910000
4,Gross Profit Ratio,- -,0.2410,0.2329,0.3891,0.4677,0.4985,0.3304,0.3113,0.4073,0.3890,0.4255,0.4193,0.3983,0.5152,0.6041,0.3209,0.3002,0.2948,0.3383,0.3558,0.3328,0.3100,0.2840,0.2995,0.3082,0.3783
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,490000,1190000,2918262,3168543,3206643,2893205,3754014,3419251,3514595,3957653,3945642,4782532,6092308,8815000,9837000,8609000,8619000,9100000,9496000,10812000,12223000,11168000,12003000,14046000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,490000,1190000,2918262,3168543,3206643,2893205,3754014,3419251,3514595,3957653,3945642,4782532,6092308,8815000,9837000,8609000,8619000,9100000,9496000,10812000,12223000,11168000,12003000,14046000,- -
9,Other Expenses,- -,10000,20000,66057,124050,112360,117398,150294,160644,157460,154475,340502,333154,387555,441000,353000,453000,437000,462000,263000,294000,801000,811000,820000,806000,16608000
10,Operating Expenses,- -,500000,1210000,2984319,3292593,3319003,3010603,3904308,3579895,3672055,4112128,4286144,5115686,6479863,9256000,10190000,9062000,9056000,9562000,9759000,11106000,13024000,11979000,12823000,14852000,16608000
11,COGS and Expenses,- -,1130000,1770000,4410630,5529320,5651478,7371675,9702458,8688530,9171410,10180527,11228711,12841607,16320828,24758000,23361000,24308000,24239000,27143000,29666000,33378000,39375000,40718000,43865000,50236000,64122000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27244,37000,55000,36000,27000,24000,36000,32000,13000,20000,24000,14000,- -
13,Interest Expense (Gain),- -,-10000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,94000,87000,127000,194000
14,Depreciation and Amortization,- -,10000,10000,114057,124050,112360,117398,150294,160644,157460,154475,202502,265613,418448,796000,1003000,1117000,1103000,1105000,830000,816000,1485000,1561000,1663000,1606000,1989000
15,EBITDA,- -,-300000,-870000,-1824362,-1157487,-849190,-701640,-1127233,42765,-35640,536104,1008382,350632,3915687,15231000,-3488000,-1381000,-1594000,2094000,2102000,853000,311000,1004000,2134000,2417000,16521000
16,EBITDA ratio,- -,-0.3614,-1.1918,-0.7814,-0.2755,-0.1826,-0.1077,-0.1339,0.0050,-0.0040,0.0508,0.0843,0.0273,0.1929,0.3890,-0.1798,-0.0634,-0.0740,0.0788,0.0680,0.0256,0.0081,0.0250,0.0482,0.0473,0.2162
17,Operating Income,- -,-290000,-1040000,-2075883,-1327598,-1000175,-858650,-1283119,-69137,-170233,382193,727305,-696,3464007,14398000,-4536000,-2521000,-2709000,965000,1236000,5000,-1187000,-577000,447000,910000,12302000
18,Operating Income ratio,- -,-0.3494,-1.4247,-0.8891,-0.3160,-0.2150,-0.1318,-0.1524,-0.0080,-0.0189,0.0362,0.0608,-0.0001,0.1707,0.3677,-0.2339,-0.1157,-0.1258,0.0363,0.0400,0.0001,-0.0311,-0.0144,0.0101,0.0178,0.1610
19,Total Other Income Expenses (Gains),- -,-10000,80000,- -,- -,- -,- -,- -,- -,- -,- -,78575,85715,33232,37000,45000,23000,12000,24000,36000,32000,-102000,-74000,-63000,-226000,2036000
20,Income Before Tax,- -,-300000,-960000,- -,- -,- -,- -,- -,- -,- -,- -,805880,85019,3497239,14435000,-4491000,-2498000,-2697000,989000,1272000,37000,-1289000,-651000,384000,684000,14338000
21,Income Before Tax Ratio,- -,-0.3614,-1.3151,- -,- -,- -,- -,- -,- -,- -,- -,0.0674,0.0066,0.1723,0.3687,-0.2316,-0.1147,-0.1253,0.0372,0.0412,0.0011,-0.0338,-0.0162,0.0087,0.0134,0.1876
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21180,3446,-699851,5079000,-1516000,1123000,15000,33000,112000,24000,4000,21000,170000,-1582000,1470000
23,Net Income,- -,-300000,-960000,-1938419,-1281537,-961550,-819038,-1277527,-117879,-193100,381629,784700,81573,4197090,9356000,-2975000,-3621000,-2712000,956000,1160000,13000,-1293000,-672000,214000,2266000,12868000
24,Net Income ratio,- -,-0.3614,-1.3151,-0.8302,-0.3050,-0.2067,-0.1258,-0.1517,-0.0137,-0.0215,0.0361,0.0656,0.0064,0.2068,0.2389,-0.1534,-0.1662,-0.1260,0.0360,0.0375,0.0004,-0.0339,-0.0167,0.0048,0.0443,0.1684
25,EPS,- -,-0.09,-0.14,-0.25,-0.17,-0.11,-0.09,-0.13,-0.01,-0.02,0.04,0.07,0.01,0.33,0.66,-0.20,-0.24,-0.18,0.06,0.08,0.00,-0.08,-0.04,0.01,0.14,0.78
26,EPS Diluted,- -,-0.09,-0.14,-0.25,-0.17,-0.11,-0.09,-0.13,-0.01,-0.02,0.03,0.06,0.01,0.30,0.63,-0.20,-0.24,-0.18,0.06,0.07,0.00,-0.08,-0.04,0.01,0.14,0.76
27,Weighted Average Shares Outstanding,- -,3490000,6770000,7615567,7626444,8461986,9502888,9863123,10392994,10539215,10547846,11161367,12313160,12907688,14176000,14944000,15109000,15255000,15289000,15327000,15448000,15949000,16055000,16116000,16249000,16593000
28,Weighted Average Shares Outstanding Diluted,- -,3490000,6770000,7615567,7626444,8461986,9502888,9863123,10392994,10980340,10953831,12338047,13540381,13996207,14952000,14944000,15109000,15255000,15401000,15564000,15838000,15949000,16055000,16123000,16431000,17028000
