,https://roic.ai/company/ASPN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,28616000,43209000,45950000,63453000,86094000,102399000,122518000,117738000,111631000,104361000,139375000,100273000,121622000
2,COGS,32250000,37518000,48576000,71421000,75363000,85319000,97870000,94427000,92960000,91692000,113091000,85679000,111685000
3,Gross Profit,-3634000,5691000,-2626000,-7968000,10731000,17080000,24648000,23311000,18671000,12669000,26284000,14594000,9937000
4,Gross Profit Ratio,-0.1270,0.1317,-0.0571,-0.1256,0.1246,0.1668,0.2012,0.1980,0.1673,0.1214,0.1886,0.1455,0.0817
5,Research and Development Exp.,2524000,2985000,4085000,5142000,5159000,5980000,5253000,5306000,6180000,6319000,8407000,8729000,11441000
6,General and Administrative Exp.,5430000,5675000,8914000,11299000,13418000,16853000,15068000,17415000,19023000,19116000,16479000,15681000,22514000
7,Selling and Marketing Exp.,3994000,4526000,5565000,8564000,9271000,10290000,10562000,11810000,12604000,13794000,15557000,11753000,16581000
8,"Selling, General and Administrative Exp.",9424000,10201000,14479000,19863000,22689000,27143000,25630000,29225000,31627000,32910000,32036000,27434000,39095000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11948000,13186000,18564000,25005000,27848000,33123000,30883000,34531000,37807000,39229000,40443000,36163000,50536000
11,COGS and Expenses,44198000,50704000,67140000,96426000,103211000,118442000,128753000,128958000,130767000,130921000,153534000,121842000,162221000
12,Interest Income ,18000,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3075000,2585000,7575000,21790000,30014000,50281000,182000,147000,185000,524000,406000,240000,229000
14,Depreciation and Amortization,5630000,4633000,7521000,9684000,10061000,10183000,9887000,9853000,10753000,10787000,10213000,10198000,9440000
15,EBITDA,-9934000,-2692000,-17736000,-24668000,-7536000,-5860000,3652000,-2023000,-8383000,-23129000,-3946000,-11371000,-27425000
16,EBITDA ratio,-0.3471,-0.0623,-0.3860,-0.3888,-0.0875,-0.0572,0.0298,-0.0172,-0.0751,-0.2216,-0.0283,-0.1134,-0.2255
17,Operating Income,-15582000,-7495000,-20567000,-32973000,-19972000,-16043000,-6235000,-11220000,-19136000,-33916000,-14159000,-21569000,-40599000
18,Operating Income ratio,-0.5445,-0.1735,-0.4476,-0.5196,-0.2320,-0.1567,-0.0509,-0.0953,-0.1714,-0.3250,-0.1016,-0.2151,-0.3338
19,Total Other Income Expenses (Gains),- -,- -,-12265000,-23169000,-27639000,-50281000,-182000,-803000,-185000,-524000,-406000,-240000,3505000
20,Income Before Tax,- -,- -,-32832000,-56142000,-47611000,-66324000,-6417000,-12023000,-19321000,-34440000,-14565000,-21809000,-37094000
21,Income Before Tax Ratio,- -,- -,-0.7145,-0.8848,-0.5530,-0.6477,-0.0524,-0.1021,-0.1731,-0.3300,-0.1045,-0.2175,-0.3050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-18639000,-9910000,-32832000,-56142000,-47611000,-66324000,-6417000,-12023000,-19321000,-34440000,-14565000,-21809000,-37094000
24,Net Income ratio,-0.6513,-0.2294,-0.7145,-0.8848,-0.5530,-0.6477,-0.0524,-0.1021,-0.1731,-0.3300,-0.1045,-0.2175,-0.3050
25,EPS,-0.94,-2.91,-2.46,-0.39,-1.82,-5.37,-0.28,-0.52,-0.83,-1.45,-0.60,-0.83,-1.41
26,EPS Diluted,-0.94,-2.91,-2.46,-0.39,-1.82,-5.37,-0.28,-0.52,-0.83,-1.45,-0.60,-0.83,-1.41
27,Weighted Average Shares Outstanding,23000000,23000000,23000000,23000000,23000000,12349456,22986931,23139807,23390235,23738852,24099438,26377652,26377652
28,Weighted Average Shares Outstanding Diluted,23000000,23000000,23000000,23000000,23000000,12349456,22986931,23139807,23390235,23738852,24099438,26377652,26377652
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145986/000119312516493372/0001193125-16-493372-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459017003151/0001564590-17-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459018004115/0001564590-18-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459019006884/0001564590-19-006884-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459020009181/0001564590-20-009181-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459021012925/0001564590-21-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459022007814/0001564590-22-007814-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27502000,26800000,- -,1343000,1574000,49719000,32804000,18086000,10694000,3327000,3633000,16496000,76564000
32,Short-Term Investments,- -,4020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,27502000,30820000,- -,1343000,1574000,49719000,32804000,18086000,10694000,3327000,3633000,16496000,76564000
34,Net Receivables,4234000,10205000,- -,14162000,18971000,17924000,20624000,17535000,26764000,25565000,32254000,15698000,20426000
35,Inventory,1601000,2253000,- -,6345000,6892000,4897000,6532000,12868000,8915000,7318000,8768000,13099000,11987000
36,Other Current Assets,454000,543000,- -,426000,651000,836000,1687000,1697000,1289000,1041000,1114000,1830000,3173000
37,Total Current Assets,33791000,43821000,- -,22276000,28088000,73376000,61647000,50186000,47662000,37251000,45769000,47123000,112150000
38,PP&E,29763000,42622000,- -,72635000,62023000,71492000,78322000,84394000,76067000,61699000,57649000,50217000,69309000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1181000,2352000,- -,390000,331000,175000,105000,89000,86000,73000,84000,84000,1495000
45,Total Non-Current Assets,30944000,44974000,- -,73025000,62354000,71667000,78427000,84483000,76153000,61772000,57733000,50301000,70804000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,64735000,88795000,- -,95301000,90442000,145043000,140074000,134669000,123815000,99023000,103502000,97424000,182954000
48,Accounts Payable,2927000,5597000,- -,9082000,7114000,14202000,10684000,13065000,10653000,12392000,12596000,5351000,17440000
49,Short-Term Debt,277000,267000,- -,1381000,18816000,76000,67000,35000,3750000,4181000,4161000,2655000,2247000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,630000,447000,- -,1183000,595000,292000,681000,1043000,1304000,2629000,5620000,2037000,6049000
