,https://roic.ai/company/OPT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,240511,192735,2938822649,- -,- -,9571,- -,12235,13344,- -,19130,14351,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68613
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27346,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,240511,192735,2938822649,-27346,- -,9571,- -,12235,13344,- -,19130,14351,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,-Infinity,- -,1.0000,- -,1.0000,1.0000,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,7669,- -,- -,- -,- -,- -,- -,600340,358334,186154,553000,144719,106501,349779,533751,1201367,2674405,3271367,3618360,3650477,7021883,3679797,3136297,3401685,4284229,2674444,3717994,18285120,21954150,12336602,25891851
6,General and Administrative Exp.,- -,- -,59818,43326,74816,113259,132098,204750,252308,- -,332209,320839,1880000,57304,1349685,1341585,1648592,2039456,3394989,3438889,3739477,4543566,4364806,3584465,3109225,2652041,2361587,2863441,3250164,2699847,3389210,3740798,13720226
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,- -,- -,- -,- -,- -,- -,- -,- -,713422,467151,538633,477168,359299,613022,629158,- -,287966,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,59818,43326,74816,113259,132098,204750,252308,- -,332209,320839,1880000,133304,1349685,1341585,1648592,2039456,3394989,3438889,3739477,4543566,5078228,4051616,3647858,3129209,2720886,3476463,3879322,2699847,3677176,3740798,13720226
9,Other Expenses,-7550,7932,767,747,- -,1461,3551,3938,6783,50674,49248,13099,-2420242,3349918,1512400,104779,140339,304369,8308932,1552805,1102233,482704,173061,1166112,91625,60251,-202859,-359132,-49125,881496,103631,1405524,98484
10,Operating Expenses,-7550,7932,68254,44073,74816,114720,135649,208688,259091,651014,739791,520092,12758,3627940,2968586,1796143,2322682,3545192,14378327,8263061,8460070,8676748,12273172,8897525,6875781,6591145,6802256,5791776,7548191,21866464,25734956,17482923,39710561
11,COGS and Expenses,-7550,7932,68254,44073,74816,114720,135649,208688,259091,651014,739791,547438,12758,3627940,2968586,1796143,2322682,3545192,14378327,8263061,8460070,8676748,12273172,8897525,6875781,6591145,6802256,5791776,7548191,21866464,25734956,17482923,39710561
12,Interest Income ,- -,- -,- -,- -,7348,36535,54686,82688,158746,72519,106449,326534,1587520,579068,569194,617152,1144327,815552,1732756,3123533,1863251,1385076,1483779,998385,484578,258846,324556,325574,384350,735700,529299,495640,372002
13,Interest Expense (Gain),7550,3966,5368,2241,668,1461,1420,788,- -,- -,- -,- -,7959,1124,- -,- -,179448,71868,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,-7550,7932,767,747,- -,1461,3551,3938,6783,14976,14887,13099,12758,29000,- -,26592,31297,13689,25415,31334,34068,28589,28085,28579,27340,38221,38562,30791,26614,28655,33093,144021,106668
