,https://roic.ai/company/CWK,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,4193200000,6215700000,6923900000,8219900000,8751000000,7843700000,9388700000
2,COGS,3386300000,5067800000,5639600000,6642400000,6981700000,6455300000,7448400000
3,Gross Profit,806900000,1147900000,1284300000,1577500000,1769300000,1388400000,1940300000
4,Gross Profit Ratio,0.1924,0.1847,0.1855,0.1919,0.2022,0.1770,0.2067
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,858600000,1150600000,1155400000,1271100000,1273400000,1120800000,1226700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",858600000,1150600000,1155400000,1271100000,1273400000,1120800000,1226700000
9,Other Expenses,155900000,260600000,270600000,290000000,296700000,263600000,172100000
10,Operating Expenses,1014500000,1411200000,1426000000,1561100000,1570100000,1384400000,1398800000
11,COGS and Expenses,4400800000,6479000000,7065600000,8203500000,8551800000,7839700000,8847200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),123100000,171800000,183100000,228800000,150600000,- -,- -
14,Depreciation and Amortization,155900000,260600000,270600000,290000000,414600000,381800000,276300000
15,EBITDA,-251000000,-26100000,112800000,308000000,608000000,205200000,616200000
16,EBITDA ratio,-0.0599,-0.0042,0.0163,0.0375,0.0695,0.0262,0.0656
17,Operating Income,-410400000,-295400000,-170200000,12600000,187300000,-53100000,497000000
18,Operating Income ratio,-0.0979,-0.0475,-0.0246,0.0015,0.0214,-0.0068,0.0529
19,Total Other Income Expenses (Gains),-118700000,-163500000,-170700000,-223400000,-144500000,-123500000,-157100000
20,Income Before Tax,-529100000,-458900000,-340900000,-210800000,42800000,-176600000,339900000
21,Income Before Tax Ratio,-0.1262,-0.0738,-0.0492,-0.0256,0.0049,-0.0225,0.0362
22,Income Tax expense (Gain),-56300000,-24300000,-120400000,-25000000,42600000,43900000,89900000
23,Net Income,-473700000,-434200000,-220500000,-185800000,200000,-220500000,250000000
24,Net Income ratio,-0.1130,-0.0699,-0.0318,-0.0226,0.0000,-0.0281,0.0266
25,EPS,-2.63,-2.40,-0.98,-1.09,0.00,-1.00,1.12
26,EPS Diluted,-2.63,-2.40,-0.98,-1.09,0.00,-1.00,1.10
27,Weighted Average Shares Outstanding,179930900,181273200,179930900,171200000,217700000,220800000,223000000
28,Weighted Average Shares Outstanding Diluted,179930900,181273200,179930900,171200000,224500000,220800000,226500000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1628369/000162836919000006/0001628369-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836920000014/0001628369-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836921000016/0001628369-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836922000011/0001628369-22-000011-index.htm
30,BALANCE SHEET, , , , , , , 
