,https://roic.ai/company/MDXL,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,40000,- -,- -,- -,22230,1860,2690,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,130000,1020000,684090,348620,657160,1663090,2898620,3423640,5308452
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",130000,1020000,684090,348620,657160,1663090,2898620,3423640,5308452
9,Other Expenses,- -,1561,-3,1,- -,2,-3,-4,623580
10,Operating Expenses,130000,1021561,684087,348621,657160,1663092,2898617,3423636,5932032
11,COGS and Expenses,130000,1020000,684090,348620,657160,1663090,2985290,3423640,5932032
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-20000,9132,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,3000,3145,69946,4000
15,EBITDA,-170000,-980868,-684090,-348620,-657160,-1637860,-2980285,-3351004,-5928032
16,EBITDA ratio,-Infinity,-24.5217,-Infinity,-Infinity,-Infinity,-73.6779,-1602.3038,-1245.7264,-Infinity
17,Operating Income,-130000,-979061,-684087,-348621,-657160,-1640860,-2983430,-3420950,-5932032
18,Operating Income ratio,-Infinity,-24.4765,-Infinity,-Infinity,-Infinity,-73.8129,-1603.9946,-1271.7286,-Infinity
19,Total Other Income Expenses (Gains),-20000,-10939,-3,1,- -,- -,- -,- -,- -
20,Income Before Tax,-150000,-990000,-684090,-348620,-657160,-1640860,-2983430,-3420950,-5932032
21,Income Before Tax Ratio,-Infinity,-24.7500,-Infinity,-Infinity,-Infinity,-73.8129,-1603.9946,-1271.7286,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-150000,-990000,-684090,-348620,-657160,-1640860,-2983430,-3420950,-5932032
24,Net Income ratio,-Infinity,-24.7500,-Infinity,-Infinity,-Infinity,-73.8129,-1603.9946,-1271.7286,-Infinity
25,EPS,-0.06,-0.45,-0.30,-0.15,-0.25,-0.03,-0.05,-0.05,-0.07
26,EPS Diluted,-0.06,-0.45,-0.30,-0.15,-0.25,-0.03,-0.05,-0.05,-0.07
27,Weighted Average Shares Outstanding,2520000,2281443,2520537,2536195,2595379,53625637,65012738,74134225,90630829
28,Weighted Average Shares Outstanding Diluted,2520000,2281443,2520537,2536195,2595379,53625637,65012738,74134225,90630829
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1601280/000155335015000404/0001553350-15-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335016001947/0001553350-16-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335017000330/0001553350-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335018000161/0001553350-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335019000563/0001553350-19-000563-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335020000442/0001553350-20-000442-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335021000523/0001553350-21-000523-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,50000,380,- -,114970,191440,201510,446220,645762
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,50000,380,- -,114970,191440,201510,446220,645762
34,Net Receivables,- -,- -,- -,- -,- -,- -,160590,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,488000
37,Total Current Assets,- -,50000,380,- -,114970,191440,362100,446220,1133762
38,PP&E,- -,- -,- -,- -,- -,12430,15160,135060,70293
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,163870,351460,356700,439404
41,Intangible Assets,- -,- -,- -,- -,- -,163870,351460,356700,439404
42,Investments,- -,- -,- -,25000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,10,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,25000,- -,176310,366620,491760,509697
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,50000,380,25000,114970,367750,728720,937980,1643459
48,Accounts Payable,90000,160000,- -,463680,- -,- -,- -,160780000000,- -
49,Short-Term Debt,130000,- -,- -,- -,- -,- -,- -,- -,72573
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,210000,290000,1044540,563610,1020500,592280,185760,-160779506060,1048636
53,Total Current Liabilities,430000,450000,1044540,1027290,1020500,592280,185760,493940,1121209
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,140346
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,46280,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,46280,140346
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,117639,47200
61,Total Liabilities,430000,450000,1044540,1027290,1020500,592280,185760,540220,1261555
62,Preferred Stock,- -,600,600,- -,265,265,265,265,1904
63,Common Stock,- -,40000,37870,38430,2600,59220,69490,80950,98898
64,Retained Earnings,-3020000,-4010000,-4689190,-5037810,-5694970,-7335830,-10228830,-13649780,-19581816
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -
