,https://roic.ai/company/SHYF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10000000,14700000,24900000,33500000,35700000,50700000,94300000,123300000,165600000,191500000,154100000,174700000,178600000,255300000,306200000,251405660,226262753,259527274,237371906,312270384,343007000,445377639,681922475,844390226,429926452,480736000,426010000,470577000,469538000,506764000,550414000,590777000,707098000,816164000,756542000,675973000,991792000
2,COGS,8000000,11800000,19500000,26400000,29400000,40900000,77500000,100200000,138100000,156800000,129800000,146700000,153400000,215400000,264200000,215874205,189478179,213529881,202523597,270891827,294232000,372001666,585421207,696120232,347917878,408191000,365393000,411969000,416475000,443685000,503302000,518249000,617863000,717909000,639515000,529696000,792527000
3,Gross Profit,2000000,2900000,5400000,7100000,6300000,9800000,16800000,23100000,27500000,34700000,24300000,28000000,25200000,39900000,42000000,35531455,36784574,45997393,34848309,41378557,48775000,73375973,96501268,148269994,82008574,72545000,60617000,58608000,53063000,63079000,47112000,72528000,89235000,98255000,117027000,146277000,199265000
4,Gross Profit Ratio,0.2000,0.1973,0.2169,0.2119,0.1765,0.1933,0.1782,0.1873,0.1661,0.1812,0.1577,0.1603,0.1411,0.1563,0.1372,0.1413,0.1626,0.1772,0.1468,0.1325,0.1422,0.1648,0.1415,0.1756,0.1908,0.1509,0.1423,0.1245,0.1130,0.1245,0.0856,0.1228,0.1262,0.1204,0.1547,0.2164,0.2009
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,4200000,4700000,5500000,7000000,6341169,6210483,7151688,7069784,7943487,9431000,12622487,15868348,19460546,17703745,16912000,13931000,12873000,10911000,11676000,4560000,6772000,6523000,7332000,4864000,4361000,8541000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93068000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1300000,1600000,2200000,3100000,3600000,4900000,6300000,9300000,11500000,13100000,16400000,14300000,15800000,19100000,26900000,19009446,19635906,21532148,21604659,24450503,26693000,31359187,41382741,60097686,44947159,43869000,44305000,45707000,45496000,51205000,52695000,56172000,65497000,73381000,64473000,93068000,106672000
9,Other Expenses,100000,100000,200000,300000,300000,400000,400000,700000,900000,1600000,2000000,1900000,1900000,2600000,3900000,2239472,- -,- -,- -,- -,- -,2086394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1400000,1700000,2400000,3400000,3900000,5300000,6700000,10000000,12400000,17700000,18400000,20400000,22400000,27200000,37800000,27590087,25846389,28683836,28674443,32393990,36124000,46068068,57251089,79558232,62650904,60781000,58236000,58580000,56407000,62881000,57255000,62944000,72020000,80713000,69337000,97429000,115213000
11,COGS and Expenses,9400000,13500000,21900000,29800000,33300000,46200000,84200000,110200000,150500000,174500000,148200000,167100000,175800000,242600000,302000000,243464292,215324568,242213717,231198040,303285817,330356000,418069734,642672296,775678464,410568782,468972000,423629000,470549000,472882000,506566000,560557000,581193000,689883000,798622000,708852000,627125000,907740000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,728912,337433,438404,- -,- -,859000,1011613,724852,679229,753048,444000,276000,569000,659000,418000,244000,488000,717000,2240000,1370000,601000,842000
13,Interest Expense (Gain),100000,100000,- -,500000,900000,800000,500000,200000,500000,500000,500000,500000,- -,1200000,- -,1617771,1375128,347803,330346,366183,141000,347071,1747754,2061767,1338635,950000,324000,335000,311000,341000,365000,410000,864000,1080000,1839000,1293000,414000
14,Depreciation and Amortization,100000,100000,200000,300000,300000,400000,400000,700000,900000,1600000,2000000,1900000,1900000,2600000,3900000,2239472,2204810,1884711,2022583,2309569,2723896,2862721,4062789,6059138,7764683,10718000,10010000,8990000,9238000,8378000,7437000,7903000,9937000,10370000,11180000,14187000,11356000
15,EBITDA,700000,1400000,3200000,4000000,3000000,5000000,10700000,14600000,17300000,18600000,7900000,6200000,-10600000,11500000,5600000,389725,13596077,19905986,9706544,11869476,16233896,31182239,44037820,75450129,27162400,18826000,11617000,6968000,1697000,7789000,-4290000,17023000,26826000,28723000,10808000,58166000,95201000
16,EBITDA ratio,0.0700,0.0952,0.1285,0.1194,0.0840,0.0986,0.1135,0.1184,0.1045,0.0971,0.0513,0.0355,-0.0594,0.0450,0.0183,0.0016,0.0601,0.0767,0.0409,0.0380,0.0473,0.0700,0.0646,0.0894,0.0632,0.0392,0.0273,0.0148,0.0036,0.0154,-0.0078,0.0288,0.0379,0.0352,0.0143,0.0860,0.0960
17,Operating Income,600000,1200000,3000000,3700000,2400000,4500000,10100000,13100000,15100000,17000000,5900000,7600000,2800000,12700000,4200000,7941368,10938185,17313557,6173866,8984567,12651000,27307905,39250179,68711762,18644669,10758000,1331000,-2591000,-8198000,-1151000,-12479000,8625000,16171000,16113000,47614000,48848000,84052000
18,Operating Income ratio,0.0600,0.0816,0.1205,0.1104,0.0672,0.0888,0.1071,0.1062,0.0912,0.0888,0.0383,0.0435,0.0157,0.0497,0.0137,0.0316,0.0483,0.0667,0.0260,0.0288,0.0369,0.0613,0.0576,0.0814,0.0434,0.0224,0.0031,-0.0055,-0.0175,-0.0023,-0.0227,0.0146,0.0229,0.0197,0.0629,0.0723,0.0847
19,Total Other Income Expenses (Gains),-100000,- -,- -,-500000,-600000,-700000,-300000,600000,800000,-500000,-500000,-3800000,-15300000,-5000000,-2500000,-888859,-1037695,90601,-429319,209157,718000,664542,-1022902,-1382538,-585587,-506000,-48000,234000,348000,77000,-121000,78000,-147000,1160000,-469000,-692000,428000
20,Income Before Tax,500000,1200000,3000000,3200000,1800000,3800000,9800000,13700000,15900000,16500000,5400000,3800000,-12500000,7700000,1700000,7052509,9900490,17404158,5744547,9193724,13369000,27972447,38227277,67329224,18059082,10252000,1283000,-2357000,-7850000,-1074000,-12600000,8703000,16024000,17273000,47145000,48156000,84480000
