,https://roic.ai/company/ELYS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,7770,- -,- -,636167,- -,- -,- -,- -,- -,- -,- -,- -,1741531,4872902,8897963,22865146,34575097,35583131,37266367
2,COGS,- -,7064,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1448653,- -,- -,14672099,- -,414226612,- -
3,Gross Profit,- -,706,- -,- -,636167,- -,-207118,- -,- -,- -,- -,- -,- -,292878,- -,- -,8193047,- -,-378643481,- -
4,Gross Profit Ratio,- -,0.0909,- -,- -,1.0000,- -,-Infinity,- -,- -,- -,- -,- -,- -,0.1682,- -,- -,0.3583,- -,-10.6411,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7402,9633,- -,- -,- -,229863,207118,129554,34865,70846,- -,15825,8411,892781,2837800,4512812,5597881,10005713,10994554,13789391
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3663165,5846019,- -,24142110,27584492,26109221
8,"Selling, General and Administrative Exp.",7402,9633,5832,137792,432132,229863,207118,129554,34865,70846,25197,15825,8411,892781,6500965,10358831,5597881,34147823,38579046,39898612
9,Other Expenses,- -,- -,- -,- -,253153,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,9633,- -,- -,685285,- -,- -,- -,- -,- -,- -,- -,- -,892781,- -,- -,5597881,- -,38579046,39898612
11,COGS and Expenses,7402,16697,5832,139990,685285,229863,207118,129554,34865,70846,25197,15825,8411,2341434,6500965,10358831,20269980,34147823,38579046,39898612
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5020,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),300,300,225,184,517622,- -,- -,- -,- -,- -,6547,7598,8244,29086,210664,736135,506732,2615598,5127365,1146845
14,Depreciation and Amortization,- -,- -,- -,2198,102060,1791,1434,1149,917,732,147,- -,- -,101145,429210,522199,601266,488464,946185,1058113
15,EBITDA,-7402,-8927,-5832,-309286,-11136,-228072,-230684,496534,-33948,-55824,-25050,-15825,-8411,-2035912,-1346798,-512300,3446808,1160455,-2603079,-6825080
16,EBITDA ratio,-Infinity,-1.1489,-Infinity,-Infinity,-0.0175,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.1690,-0.2764,-0.0576,0.1507,0.0336,-0.0732,-0.1831
17,Operating Income,-7402,-8927,-5832,-139990,-49118,- -,- -,- -,- -,-70846,- -,-15825,-8411,-599903,-1628063,-1460868,2595166,427274,-2995915,-7532245
18,Operating Income ratio,-Infinity,-1.1489,-Infinity,-Infinity,-0.0772,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-0.3445,-0.3341,-0.1642,0.1135,0.0124,-0.0842,-0.2021
19,Total Other Income Expenses (Gains),- -,- -,- -,171494,-581700,- -,-25000,-624939,-142500,-14290,- -,-7598,-8244,-1566240,-358609,-309766,-256356,-2370881,-5680714,-1497793
20,Income Before Tax,- -,- -,- -,- -,-630818,- -,-232118,-754493,-177365,-85136,- -,-23423,-16655,-2166143,-1986672,-1770634,2338810,-1943607,-8676629,-9030038
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.9916,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-1.2438,-0.4077,-0.1990,0.1023,-0.0562,-0.2438,-0.2423
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5091,35991,198025,972924,1102701,598176,906644
23,Net Income,-7702,-9227,-6057,31320,-630818,-2204240,-484058,-754493,-177365,-85136,-31744,-23423,-16655,-2171234,-2022663,-1968659,1365886,-3046308,-9274805,-9936682
24,Net Income ratio,-Infinity,-1.1875,-Infinity,Infinity,-0.9916,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2467,-0.4151,-0.2212,0.0597,-0.0881,-0.2607,-0.2666
25,EPS,-0.09,-0.10,-0.07,0.27,-1.76,-1.24,-0.20,-0.04,-0.04,-0.02,-0.01,-0.00,-0.00,-0.44,-0.32,-0.36,0.16,-0.32,-0.91,-0.71
26,EPS Diluted,-0.09,-0.10,-0.07,0.27,-1.76,-1.24,-0.20,-0.04,-0.04,-0.02,-0.01,-0.00,-0.00,-0.44,-0.32,-0.36,0.16,-0.32,-0.91,-0.71
27,Weighted Average Shares Outstanding,87612,91245,91153,116491,350673,1764762,2315371,4410752,4668950,4668950,4668950,4668950,4668950,5023473,5853032,7039166,9254078,9485993,10226432,14047725
28,Weighted Average Shares Outstanding Diluted,87612,91245,91153,116491,350673,1764762,2315371,4410752,4668950,4668950,4668950,4668950,4668950,5023473,5853032,7039166,9418118,9485993,10226432,14047725
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000116552704000054/0001165527-04-000054-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000153/0001017386-15-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000175/0001017386-15-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000108031915000005/0001080319-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738616000420/0001017386-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738617000059/0001017386-17-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738618000073/0001017386-18-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000148/0001017386-20-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000196/0001017386-20-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738621000091/0001017386-21-000091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4186,2823,11,- -,274186,- -,- -,- -,- -,- -,- -,- -,- -,422276,157363,2230422,6469858,6289903,5182598,18945817
32,Short-Term Investments,- -,- -,- -,- -,68869,- -,- -,- -,- -,- -,- -,- -,- -,389536,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4186,2823,11,- -,343055,- -,- -,- -,- -,- -,- -,- -,- -,811812,157363,2230422,6469858,6289903,5182598,18945817
34,Net Receivables,- -,- -,- -,4978,11449,- -,- -,- -,- -,- -,- -,- -,- -,627895,178151,242949,1280320,1081048,1399007,1619370
35,Inventory,7064,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,5010,69930,101433,2348,20000,- -,- -,- -,- -,- -,472598,352391,320326,100235,180412,682945,628479
37,Total Current Assets,11250,2823,11,9988,424434,101433,2348,20000,- -,- -,- -,- -,- -,1912305,687905,2793697,7850413,7551363,7264550,21193666
38,PP&E,- -,- -,- -,14182,21610,7163,5729,4581,3664,2932,- -,- -,- -,17995,88705,203660,280111,354799,1312803,1177159
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179239,260318,260318,260318,262552,1663385,1663120
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1982434,2376540,3690978,3245748,12583457,15857027,10257582
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2161673,2636858,3951296,3506066,12846009,17520412,11920702
42,Investments,- -,- -,- -,- -,- -,839207,986589,177985,- -,- -,- -,- -,- -,40594,6729,6508,1,275000,177500,467500
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,813931,9508660,1469,1727,1407,207906,- -,- -,- -,- -,3,232013,475916,587905,1560539,1549917,1098952
45,Total Non-Current Assets,- -,- -,- -,828113,9530270,847839,994045,183973,211570,2932,- -,- -,- -,2220265,2964305,4637380,4374083,15036347,20560632,14664313
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11250,2823,11,838101,9954704,949272,996393,203973,211570,2932,- -,- -,- -,4132570,3652210,7431077,12224496,22587710,27825182,35857979
48,Accounts Payable,- -,- -,- -,201295,210476,- -,- -,- -,- -,- -,- -,6250,8265,352605,274942,621228,2881416,5653031,8536415,11045914
49,Short-Term Debt,5000,5000,8020,12073,707370,- -,- -,- -,- -,- -,- -,- -,- -,828567,719699,1148746,1865202,5131521,4698758,926071
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121531,165166,525361,1555371,1056430,298476,946858
