,https://roic.ai/company/CMS-PB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,5232000000,5721000000,6064000000,6421000000,5963000000,6156000000,6253000000,6013000000,6321000000,6800000000,6165000000,6064000000,6222000000,6464000000,6376000000,6189000000,7021000000
2,COGS,2664000000,3367000000,3752000000,3950000000,3470000000,3344000000,3345000000,4214000000,4352000000,4741000000,4044000000,3750000000,3822000000,4183000000,3949000000,3596000000,4396000000
3,Gross Profit,2568000000,2354000000,2312000000,2471000000,2493000000,2812000000,2908000000,1799000000,1969000000,2059000000,2121000000,2314000000,2400000000,2281000000,2427000000,2593000000,2625000000
4,Gross Profit Ratio,0.4908,0.4115,0.3813,0.3848,0.4181,0.4568,0.4651,0.2992,0.3115,0.3028,0.3440,0.3816,0.3857,0.3529,0.3806,0.4190,0.3739
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,1757000000,1856000000,1730000000,1705000000,1804000000,1886000000,1923000000,815000000,851000000,924000000,999000000,1080000000,1148000000,1216000000,1325000000,1372000000,1450000000
10,Operating Expenses,1757000000,1856000000,1730000000,1705000000,1804000000,1886000000,1923000000,815000000,851000000,924000000,999000000,1080000000,1148000000,1216000000,1325000000,1372000000,1450000000
11,COGS and Expenses,4421000000,5223000000,5482000000,5655000000,5274000000,5230000000,5268000000,5029000000,5203000000,5665000000,5043000000,4830000000,4970000000,5399000000,5274000000,4968000000,5846000000
12,Interest Income ,45000000,62000000,70000000,26000000,23000000,18000000,9000000,5000000,3000000,5000000,12000000,5000000,10000000,10000000,7000000,8000000,7000000
13,Interest Expense (Gain),272000000,289000000,264000000,247000000,292000000,277000000,269000000,244000000,245000000,250000000,250000000,268000000,276000000,289000000,-301000000,320000000,311000000
14,Depreciation and Amortization,- -,- -,524000000,574000000,559000000,572000000,542000000,592000000,622000000,678000000,744000000,803000000,872000000,921000000,992000000,1048000000,1114000000
15,EBITDA,129000000,566000000,1225000000,1383000000,1307000000,1537000000,1545000000,1572000000,1747000000,1801000000,1890000000,2007000000,2119000000,2057000000,1619000000,2357000000,2449000000
16,EBITDA ratio,0.0247,0.0989,0.2020,0.2154,0.2192,0.2497,0.2471,0.2614,0.2764,0.2649,0.3066,0.3310,0.3406,0.3182,0.2539,0.3808,0.3488
17,Operating Income,-372000000,281000000,582000000,766000000,689000000,926000000,985000000,984000000,1118000000,1135000000,1122000000,1234000000,1252000000,1065000000,1239000000,1221000000,1175000000
18,Operating Income ratio,-0.0711,0.0491,0.0960,0.1193,0.1155,0.1504,0.1575,0.1636,0.1769,0.1669,0.1820,0.2035,0.2012,0.1648,0.1943,0.1973,0.1674
19,Total Other Income Expenses (Gains),229000000,-4000000,-145000000,-204000000,-233000000,-238000000,-251000000,-248000000,-238000000,-262000000,-226000000,-298000000,-281000000,-218000000,-311000000,-232000000,-151000000
20,Income Before Tax,-143000000,277000000,437000000,562000000,456000000,688000000,734000000,736000000,880000000,873000000,896000000,936000000,971000000,847000000,928000000,989000000,1024000000
21,Income Before Tax Ratio,-0.0273,0.0484,0.0721,0.0875,0.0765,0.1118,0.1174,0.1224,0.1392,0.1284,0.1453,0.1544,0.1561,0.1310,0.1455,0.1598,0.1458
22,Income Tax expense (Gain),-47000000,91000000,125000000,198000000,163000000,254000000,267000000,297000000,346000000,306000000,302000000,320000000,339000000,142000000,185000000,173000000,156000000
23,Net Income,-96000000,186000000,312000000,364000000,293000000,434000000,467000000,439000000,534000000,567000000,594000000,616000000,632000000,705000000,743000000,816000000,868000000
24,Net Income ratio,-0.0183,0.0325,0.0515,0.0567,0.0491,0.0705,0.0747,0.0730,0.0845,0.0834,0.0964,0.1016,0.1016,0.1091,0.1165,0.1318,0.1236
25,EPS,-0.34,0.66,1.11,1.30,1.04,1.54,1.66,1.56,1.90,2.02,2.11,2.19,2.25,2.51,2.64,2.90,3.09
26,EPS Diluted,-0.34,0.66,1.11,1.30,1.04,1.54,1.66,1.56,1.90,2.02,2.11,2.19,2.25,2.51,2.64,2.90,3.09
27,Weighted Average Shares Outstanding,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380
