,https://roic.ai/company/PWFL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5555000,945000,923000,5544000,7959000,13741000,19004000,24740000,17083000,27046000,10316000,25861000,39292000,44635000,39946000,45633000,41784000,36822000,40958000,53064000,81915000,113593000,126208000
2,COGS,3066000,606000,548000,2430000,4075000,6509000,9708000,13701000,8929000,13466000,5554000,11440000,18723000,21705000,22036000,25627000,24761000,18528000,20031000,27266000,43551000,54576000,66025000
3,Gross Profit,2489000,339000,375000,3114000,3884000,7232000,9296000,11039000,8154000,13580000,4762000,14421000,20569000,22930000,17910000,20006000,17023000,18294000,20927000,25798000,38364000,59017000,60183000
4,Gross Profit Ratio,0.4481,0.3587,0.4063,0.5617,0.4880,0.5263,0.4892,0.4462,0.4773,0.5021,0.4616,0.5576,0.5235,0.5137,0.4484,0.4384,0.4074,0.4968,0.5109,0.4862,0.4683,0.5195,0.4769
5,Research and Development Exp.,232000,1751000,1038000,938000,891000,1234000,1625000,2639000,2849000,2883000,2604000,4429000,3534000,4341000,4389000,6649000,4556000,4536000,3965000,6863000,8540000,10597000,11058000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34872000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2121000,4035000,3552000,3835000,4456000,5879000,7140000,12943000,15963000,16760000,16543000,23326000,21995000,22409000,21769000,25094000,22750000,20126000,21053000,24671000,34872000,51878000,57100000
9,Other Expenses,101000,116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,441000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2454000,5902000,4590000,4773000,5347000,7113000,8765000,15582000,18812000,19643000,19147000,27755000,25529000,26750000,26158000,32184000,27306000,24662000,25018000,31534000,43412000,62475000,68158000
11,COGS and Expenses,5520000,6508000,5138000,7203000,9422000,13622000,18473000,29283000,27741000,33109000,24701000,39195000,44252000,48455000,48194000,57811000,52067000,43190000,45049000,58800000,86963000,117051000,134183000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,2226000,933000,675000,243000,507000,635000,566000,342000,285000,253000,262000,125000,55000,45000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,56000,- -,- -,- -,- -,- -,293000,342000,173000,948000,4467000,-2764000
14,Depreciation and Amortization,101000,116000,163000,201000,173000,349000,362000,468000,544000,540000,533000,2435000,2367000,2186000,2171000,2216000,718000,685000,1132000,1561000,3347000,8425000,- -
15,EBITDA,457000,-4738000,-3745000,-1183000,-1026000,747000,1213000,-1148000,-6797000,-3635000,-12529000,-10120000,-2063000,-1068000,-5391000,-9359000,-9234000,-5392000,-2707000,-4078000,-6743000,4923000,-13450000
16,EBITDA ratio,0.0823,-5.0138,-4.0574,-0.2134,-0.1289,0.0544,0.0638,-0.0464,-0.3979,-0.1344,-1.2145,-0.3913,-0.0525,-0.0239,-0.1350,-0.2051,-0.2210,-0.1464,-0.0661,-0.0769,-0.0823,0.0433,-0.1066
17,Operating Income,35000,-5563000,-4215000,-1659000,-1463000,119000,531000,-4543000,-10658000,-6063000,-14385000,-13334000,-4960000,-3820000,-8248000,-12178000,-10283000,-6368000,-4091000,-5736000,-10183000,-3458000,-7975000
18,Operating Income ratio,0.0063,-5.8868,-4.5666,-0.2992,-0.1838,0.0087,0.0279,-0.1836,-0.6239,-0.2242,-1.3944,-0.5156,-0.1262,-0.0856,-0.2065,-0.2669,-0.2461,-0.1729,-0.0999,-0.1081,-0.1243,-0.0304,-0.0632
19,Total Other Income Expenses (Gains),321000,709000,307000,- -,54000,147000,151000,155000,89000,-338000,390000,104000,530000,566000,686000,603000,331000,-2000,-90000,-76000,-873000,-4514000,-2711000
20,Income Before Tax,356000,-4854000,-3908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4430000,-3254000,-7562000,-11575000,-9952000,-6370000,-4181000,-5812000,-11056000,-7972000,-10686000
21,Income Before Tax Ratio,0.0641,-5.1365,-4.2340,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1127,-0.0729,-0.1893,-0.2537,-0.2382,-0.1730,-0.1021,-0.1095,-0.1350,-0.0702,-0.0847
22,Income Tax expense (Gain),149000,77000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-390000,-662000,-63000,- -,- -,- -,-311000,- -,-75000,1038000,2602000
23,Net Income,207000,-4931000,-3908000,-1384000,-1199000,398000,851000,-1616000,-7341000,-4175000,-13192000,-12611000,-4040000,-2592000,-7499000,-11575000,-9952000,-6370000,-3870000,-5812000,-10963000,-9007000,-13288000
24,Net Income ratio,0.0373,-5.2180,-4.2340,-0.2496,-0.1506,0.0290,0.0448,-0.0653,-0.4297,-0.1544,-1.2788,-0.4876,-0.1028,-0.0581,-0.1877,-0.2537,-0.2382,-0.1730,-0.0945,-0.1095,-0.1338,-0.0793,-0.1053
25,EPS,0.05,-0.86,-0.67,-0.21,-0.17,0.05,0.11,-0.15,-0.66,-0.38,-1.20,-1.12,-0.36,-0.22,-0.63,-0.96,-0.79,-0.49,-0.26,-0.34,-0.59,-0.46,-0.38
26,EPS Diluted,0.04,-0.86,-0.67,-0.21,-0.17,0.05,0.09,-0.15,-0.66,-0.38,-1.20,-1.12,-0.36,-0.22,-0.63,-0.96,-0.79,-0.49,-0.26,-0.34,-0.59,-0.46,-0.38
27,Weighted Average Shares Outstanding,4545000,4545000,5840000,6711000,6905000,7455000,7771000,10501000,11205000,10887000,10991000,11239000,11162000,11744000,11912000,12098000,12614000,12984000,14961000,17233000,20476000,29703000,35019000
28,Weighted Average Shares Outstanding Diluted,5566000,5721000,5840000,6711000,6905000,8783000,9332000,10501000,11205000,10887000,10991000,11239000,11162000,11744000,11912000,12098000,12614000,12984000,14961000,17233000,20476000,29703000,35019000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315220006032/0001493152-20-006032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315222007009/0001493152-22-007009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7021000,3085000,2426000,3758000,3179000,8440000,2138000,9644000,5103000,12558000,19481000,14491000,8386000,1614000,6582000,5974000,4489000,4972000,5097000,10159000,16395000,18127000,26452000
32,Short-Term Investments,6005000,5588000,3039000,3031000,3339000,3195000,5463000,60716000,21385000,8550000,33909000,4565000,6904000,4794000,4090000,3249000,259000,115000,1201000,394000,- -,- -,- -
33,Cash and Short-Term Investments,13026000,8673000,5465000,6789000,6518000,11635000,7601000,70360000,26488000,21108000,53390000,19056000,15290000,6408000,10672000,9223000,4748000,5087000,6298000,10553000,16395000,18127000,26452000
34,Net Receivables,1842000,646000,234000,1197000,2326000,1834000,7372000,6330000,3597000,8630000,3349000,7450000,9164000,11957000,13625000,16681000,12851000,11351000,10041000,10283000,27016000,24147000,32094000
35,Inventory,123000,748000,844000,1471000,676000,1739000,2952000,6430000,4420000,3273000,4487000,7295000,8114000,7512000,5156000,6252000,7152000,3920000,4586000,4649000,16381000,12873000,18243000
36,Other Current Assets,201000,125000,111000,306000,129000,324000,174000,271000,291000,491000,686000,2370000,4832000,4385000,3384000,4253000,5877000,7550000,8229000,7175000,11398000,9620000,11121000
37,Total Current Assets,15192000,10192000,6654000,9763000,9649000,15532000,18099000,83391000,34796000,33502000,61912000,36171000,37400000,30262000,32837000,36409000,30628000,27908000,29154000,32660000,71190000,64767000,87910000
38,PP&E,307000,632000,540000,679000,845000,1009000,1159000,1394000,1398000,1050000,917000,3853000,3092000,2401000,2239000,1520000,3119000,3075000,2747000,2149000,15264000,18504000,18775000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,619000,1837000,1837000,1837000,1837000,1837000,1837000,1837000,7318000,7318000,89068000,83344000,83487000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,375000,5571000,4399000,3230000,2064000,977000,842000,706000,5417000,4705000,36639000,31276000,26122000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,378000,994000,7408000,6236000,5067000,3901000,2814000,2679000,2543000,12735000,12023000,125707000,114620000,109609000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,34911000,6752000,9364000,9779000,9064000,3100000,4066000,1339000,1499000,10278000,4131000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2475000,1506000,4262000
44,Other Non-Current Assets,324000,146000,117000,2505000,2976000,618000,582000,120000,38602000,107000,- -,4089000,6324000,13772000,13438000,7677000,6663000,9221000,6018000,6840000,8397000,9404000,9311000
45,Total Non-Current Assets,631000,778000,657000,3184000,3821000,1627000,1741000,1514000,40000000,36446000,8663000,24714000,25431000,30304000,22678000,16077000,13800000,16338000,31778000,25143000,151843000,144034000,141957000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15823000,10970000,7311000,12947000,13470000,17159000,19840000,84905000,74796000,69948000,70575000,60885000,62831000,60566000,55515000,52486000,44428000,44246000,60932000,57803000,223033000,208801000,229867000
48,Accounts Payable,545000,699000,574000,1205000,1055000,2541000,3881000,2950000,2594000,- -,- -,- -,7160000,3833000,5303000,7190000,8026000,6195000,6233000,6644000,15400000,9877000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8373000,5579000,14868000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,26000,89000,95000,155000,221000,291000,424000,501000,2186000,3090000,4689000,4641000,6742000,7383000,7197000,9711000,7902000,8536000,7339000,6519000
52,Other Current Liabilities,65000,22000,110000,237000,325000,199000,209000,221000,19000,2175000,13732000,9141000,2322000,1805000,1105000,3061000,1147000,4420000,3130000,2329000,9499000,13103000,22901000
53,Total Current Liabilities,610000,721000,684000,1468000,1469000,2835000,4245000,3392000,2904000,2599000,14233000,11327000,12572000,10327000,11049000,16993000,16556000,17812000,19074000,16875000,41808000,35898000,44288000
54,Long-Term Debt,32000,18000,- -,- -,649000,449000,240000,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26515000,23179000,18110000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000,461000,4813000,4659000,5869000,6538000,7929000,6941000,10066000,7738000,9186000,8544000,6006000,4428000
56,Deferred Tax Liabilities,42000,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3722000,10763000,5220000
57,Other Non-Current Liabilities,- -,- -,142000,66000,373000,303000,189000,210000,222000,- -,- -,- -,- -,343000,479000,309000,361000,366000,1149000,208000,10871000,1675000,12961000
58,Total Non-Current Liabilities,74000,37000,142000,66000,1022000,752000,429000,229000,222000,264000,461000,4813000,4659000,6212000,7017000,8238000,7302000,10432000,8887000,9394000,49652000,41623000,40719000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,149000,- -,- -,- -,- -,7239000,9805000,- -
61,Total Liabilities,684000,758000,826000,1534000,2491000,3587000,4674000,3621000,3126000,2863000,14694000,16140000,17231000,16539000,18066000,25231000,23858000,28244000,27961000,26269000,91460000,77521000,85007000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47393000,51992000,- -
63,Common Stock,57000,57000,59000,68000,71000,77000,79000,113000,115000,120000,120000,121000,121000,122000,123000,124000,129000,129000,183000,192000,308000,323000,373000
64,Retained Earnings,-472000,-5403000,-9200000,-10584000,-11783000,-11386000,-10535000,-12151000,-19492000,-23667000,-36859000,-49470000,-53510000,-56102000,-63601000,-75176000,-85128000,-91498000,-95368000,-101180000,-112143000,-121150000,-134437000
65,Other Comprehensive Income/Loss,-124000,-240000,-240000,-591000,-764000,-738000,-978000,-1324000,-1868000,-1823000,-2060000,-2528000,-3723000,-4614000,-5619000,-6748000,-7331000,-7880000,-7134000,-7969000,-8811000,399,391000
66,Other Total Stockholders Equity,15678000,15798000,15866000,22520000,23455000,25619000,26600000,94646000,92915000,92455000,94680000,96622000,102712000,104621000,106546000,109055000,112900000,115251000,135290000,140491000,204836000,200039601,225870000
67,Total Stockholders Equity,15139000,10212000,6485000,11413000,10979000,13572000,15166000,81284000,71670000,67085000,55881000,44745000,45600000,44027000,37449000,27255000,20570000,16002000,32971000,31534000,131583000,131205000,92197000
68,Total Liabilities And Stockholders Equity,15823000,10970000,7311000,12947000,13470000,17159000,19840000,84905000,74796000,69948000,70575000,60885000,62831000,60566000,55515000,52486000,44428000,44246000,60932000,57803000,223043000,208726000,177204000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,75000,52663000
70,Total Liabilities & Equity,15823000,10970000,7311000,12947000,13470000,17159000,19840000,84905000,74796000,69948000,70575000,60885000,62831000,60566000,55515000,52486000,44428000,44246000,60932000,57803000,223033000,208801000,229867000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315220006032/0001493152-20-006032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315222007009/0001493152-22-007009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,207000,-4931000,-3908000,-1384000,-1199000,398000,851000,-1616000,-7341000,-4175000,-13192000,-12611000,-4040000,-2592000,-7499000,-11575000,-9952000,-6370000,-3870000,-5812000,-10963000,-9007000,-13288000
74,Depreciation and Amortization,101000,116000,163000,201000,173000,349000,362000,468000,544000,540000,533000,2435000,2367000,2186000,2171000,2216000,718000,685000,1132000,1561000,3347000,8425000,- -
75,Deferred Income Tax,18000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-390000,-272000,-63000,- -,- -,- -,- -,- -,-167000,359000,- -
