,https://roic.ai/company/OMER,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,200000,1923000,1170000,1444000,2105000,4524000,6022000,1600000,539000,13509000,41617000,64826000,29868000,111805000,73813000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041000,1412000,1078000,512000,865000,902000,- -
3,Gross Profit,- -,1923000,1170000,1444000,2105000,4524000,- -,- -,- -,12468000,40205000,63748000,29356000,110940000,72911000,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,0.9229,0.9661,0.9834,0.9829,0.9923,0.9878,- -
5,Research and Development Exp.,20528000,15922000,17850000,16929000,23465000,23718000,31922000,36297000,47946000,48379000,50699000,55599000,89860000,109696000,110817000,118775000
6,General and Administrative Exp.,3625000,10398000,7845000,5273000,8746000,8216000,10985000,15819000,22601000,35327000,43782000,52044000,51718000,64626000,72695000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3625000,10398000,7845000,5273000,8746000,8216000,10985000,15819000,22601000,35327000,43782000,52044000,51718000,64626000,72695000,54842000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,24153000,26320000,25695000,22202000,32211000,31934000,42907000,52116000,70547000,83706000,94481000,107643000,141578000,174322000,183512000,173617000
11,COGS and Expenses,24153000,26320000,25695000,22202000,32211000,31934000,42907000,52116000,70547000,84747000,95893000,108721000,142090000,175187000,184414000,173617000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),91000,151000,335000,2202000,1535000,1884000,1729000,2366000,3470000,3573000,7819000,11030000,16252000,22657000,26751000,-19669000
14,Depreciation and Amortization,232000,375000,434000,451000,472000,435000,320000,302000,326000,209000,300000,551000,962000,1790000,1616000,1386000
15,EBITDA,-22454000,-22565000,-23058000,-18436000,-27244000,-26227000,-36395000,-37128000,-69877000,-71314000,-58626000,-41900000,-122472000,-60039000,-121705000,-172231000
16,EBITDA ratio,-112.2700,-11.7343,-19.7077,-12.7673,-12.9425,-5.7973,-6.0437,-23.2050,-129.6419,-5.2790,-1.4087,-0.6463,-4.1004,-0.5370,-1.6488,-Infinity
17,Operating Income,-23953000,-24397000,-24525000,-20758000,-30106000,-27410000,-36885000,-50516000,-70008000,-71238000,-54276000,-43895000,-112222000,-63382000,-110601000,-173617000
18,Operating Income ratio,-119.7650,-12.6869,-20.9615,-14.3753,-14.3021,-6.0588,-6.1250,-31.5725,-129.8850,-5.2734,-1.3042,-0.6771,-3.7573,-0.5669,-1.4984,-Infinity
19,Total Other Income Expenses (Gains),1176000,1306000,698000,1871000,2390000,748000,-1559000,10720000,-3665000,-3858000,-12469000,-9586000,-27464000,-21104000,-39471000,-17929000
20,Income Before Tax,-22777000,-23091000,-23827000,- -,- -,- -,-38444000,-39796000,-73673000,-75096000,-66745000,-53481000,-139686000,-84486000,-150072000,-191546000
21,Income Before Tax Ratio,-113.8850,-12.0078,-20.3650,- -,- -,- -,-6.3839,-24.8725,-136.6846,-5.5590,-1.6038,-0.8250,-4.6768,-0.7557,-2.0331,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12929000,- -,-12011000,- -
23,Net Income,-22777000,-23091000,-23827000,-21089000,-29251000,-28546000,-38444000,-39796000,-73673000,-75096000,-66745000,-53481000,-126757000,-84486000,-138061000,194235000
24,Net Income ratio,-113.8850,-12.0078,-20.3650,-14.6046,-13.8960,-6.3099,-6.3839,-24.8725,-136.6846,-5.5590,-1.6038,-0.8250,-4.2439,-0.7557,-1.8704,Infinity
25,EPS,-1.60,-1.62,-1.65,-2.92,-1.37,-1.29,-1.59,-1.39,-2.22,-2.00,-1.65,-1.17,-2.61,-1.71,-2.41,3.12
26,EPS Diluted,-1.60,-1.62,-1.65,-2.92,-1.37,-1.29,-1.59,-1.39,-2.22,-2.00,-1.65,-1.17,-2.61,-1.71,-2.41,3.12
27,Weighted Average Shares Outstanding,14274992,14274992,14274992,7218915,21420883,22212351,24155690,28560360,33234294,37560257,40446410,45539362,48582636,49523444,57176743,62344100
28,Weighted Average Shares Outstanding Diluted,14274992,14274992,14274992,7218915,21420883,22212351,24155690,28560360,33234294,37560257,40446410,45539362,48582636,49523444,57176743,62344100
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285819/000095012310030881/0000950123-10-030881-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312511067278/0001193125-11-067278-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312512117593/0001193125-12-117593-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312513112709/0001193125-13-112709-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581914000002/0001285819-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581915000003/0001285819-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581916000014/0001285819-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581917000004/0001285819-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581918000003/0001285819-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000162828019002324/0001628280-19-002324-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837020001891/0001558370-20-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837021002177/0001558370-21-002177-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837022002582/0001558370-22-002582-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5925000,12726000,820000,3278000,4005000,1520000,1384000,354000,1365000,2224000,3394000,5861000,3084000,10501000,100808000
32,Short-Term Investments,- -,18157000,7256000,59485000,38715000,20565000,20830000,12717000,6532000,26898000,43107000,80355000,54637000,57704000,124452000,56458000
33,Cash and Short-Term Investments,- -,24082000,19982000,60305000,41993000,24570000,22350000,14101000,6886000,28263000,45331000,83749000,60498000,60788000,134953000,157266000
34,Net Receivables,- -,190000,207000,248000,1479000,876000,1934000,379000,392000,6517000,12037000,17144000,22818000,35185000,3841000,38155000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,568000,472000,1128000,443000,88000,1147000,1355000,- -
36,Other Current Assets,- -,189000,289000,111000,282000,502000,416000,337000,1311000,1894000,1766000,7036000,6463000,6625000,11136000,52468000
37,Total Current Assets,- -,24461000,20478000,60664000,43754000,25948000,24700000,14817000,9157000,37146000,60262000,108372000,89867000,103745000,151285000,247889000
38,PP&E,- -,839000,918000,1086000,1622000,739000,1037000,939000,782000,951000,1181000,2121000,3845000,30911000,28077000,30007000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,164000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,164000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1154000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1698000,225000,312000,328000,295000,838000,779000,1151000,10898000,5835000,5835000,1070000,2313000,1680000,141372000
45,Total Non-Current Assets,- -,2701000,1203000,1398000,1950000,1034000,1875000,1718000,1933000,11849000,7016000,7956000,6069000,33224000,29757000,171379000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27162000,21681000,62062000,45704000,26982000,26575000,16535000,11090000,48995000,67278000,116328000,95936000,136969000,181042000,419268000
48,Accounts Payable,- -,2567000,1229000,2620000,2398000,2002000,2632000,2329000,4915000,6428000,2519000,6691000,6281000,5328000,4199000,13400000
49,Short-Term Debt,- -,- -,- -,4931000,395000,5895000,- -,5600000,6446000,73000,- -,- -,- -,- -,73000,10510000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,500000,232000,702000,8014000,5748000,970000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4868000,22100000,2837000,5067000,5340000,5716000,3944000,7070000,9752000,13552000,19616000,31075000,50131000,32464000,27879000
53,Total Current Liabilities,- -,7935000,23561000,11090000,15874000,18985000,9318000,11873000,18431000,16253000,16071000,26307000,37356000,55459000,36736000,51789000
54,Long-Term Debt,- -,- -,118000,7827000,9360000,13551000,20103000,14898000,26263000,49769000,79188000,83307000,148981000,158213000,236288000,313458000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,89168000,89168000,- -,- -,- -,3685000,8148000,9050000,9207000,9466000,9528000,9755000,32318000,28770000,30241000
58,Total Non-Current Liabilities,- -,89168000,89286000,7827000,9360000,13551000,23788000,23046000,35313000,58976000,88654000,92835000,158736000,190531000,265058000,343699000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522000,1300000,2467000,35822000,32552000,- -
61,Total Liabilities,- -,97103000,112847000,18917000,25234000,32536000,33106000,34919000,53744000,75229000,104725000,119142000,196092000,245990000,301794000,395488000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
