,https://roic.ai/company/NOA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,181157000,247267000,249351000,344186000,378533000,357323000,492237272,629945803,989695505,972536000,758965000,858048000,1006545000,470484000,471777000,281282000,213180000,292557000,410061000,719067000,500374000,654143000
2,COGS,- -,- -,- -,- -,- -,322385000,321157000,390185661,505975554,789650242,797231000,619680000,799912000,945644000,424745000,420377000,249392000,180837000,252910000,340985000,622655000,405992000,563726000
3,Gross Profit,- -,- -,- -,- -,- -,56148000,36166000,102051611,123970249,200045263,175305000,139285000,58136000,60901000,45739000,51400000,31890000,32343000,39647000,69076000,96412000,94382000,90417000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.1483,0.1012,0.2073,0.1968,0.2021,0.1803,0.1835,0.0678,0.0605,0.0972,0.1089,0.1134,0.1517,0.1355,0.1685,0.1341,0.1886,0.1382
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39901000,33462000,26298000,27222000,25299000,38842000,36934000,24102000,35374000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39901000,33462000,26298000,27222000,25299000,38842000,36934000,24102000,35374000
9,Other Expenses,- -,- -,- -,- -,- -,97290000,26725000,30894442,41309963,70919658,75492000,65811000,66192000,59550000,3276000,3648000,1990000,1688000,918000,412000,711000,578000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,97290000,26725000,30894442,41309963,70919658,75492000,65811000,66192000,59550000,43177000,37110000,28288000,28910000,26217000,39254000,37645000,24680000,35374000
11,COGS and Expenses,- -,- -,- -,- -,- -,419675000,347882000,421080103,547285517,860569900,872723000,685491000,866104000,1005194000,467922000,457487000,277680000,209747000,279127000,380239000,660300000,430672000,599100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5579000,- -,- -,- -,276000,- -,142000,194000,144000,175000,107000,10000,62000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32221000,26080000,29991000,30325000,17647000,10641000,8061000,5406000,6290000,8220000,20761000,17600000,18030000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,26168000,24130000,25792854,35053044,38534101,39189000,44355000,42980000,54602000,39767000,46575000,42030000,42482000,45653000,58762000,102293000,89586000,108016000
15,EBITDA,- -,1348000,3759000,920000,5869000,979000,-20447000,4593648,53538976,95696944,-53382000,112333000,31873000,56542000,120496000,56016000,42507000,47394000,58411000,88364000,162790000,167658000,186739000
16,EBITDA ratio,- -,0.0074,0.0152,0.0037,0.0171,0.0026,-0.0572,0.0093,0.0850,0.0967,-0.0549,0.1480,0.0371,0.0562,0.2561,0.1187,0.1511,0.2223,0.1997,0.2155,0.2264,0.3351,0.2855
17,Operating Income,- -,181157000,36009000,20191000,31037000,-41142000,9441000,49431340,51125461,92396873,99813000,73474000,-10829000,-390000,-2683000,11599000,2837000,3923000,13407000,29980000,58798000,68945000,55128000
18,Operating Income ratio,- -,1.0000,0.1456,0.0810,0.0902,-0.1087,0.0264,0.1004,0.0812,0.0934,0.1026,0.0968,-0.0126,-0.0004,-0.0057,0.0246,0.0101,0.0184,0.0458,0.0731,0.0818,0.1378,0.0843
19,Total Other Income Expenses (Gains),- -,-166015000,-39584000,-17893000,-11928000,15953000,-54018000,-70630546,-32639529,-35234030,-224605000,-31576000,-30269000,-27995000,-21466000,-12327000,-10421000,-4417000,-6939000,-8563000,-18807000,-8473000,5565000
20,Income Before Tax,- -,15142000,-3575000,2298000,19109000,-25189000,-44577000,-21199206,18485932,57162843,-124792000,41898000,-41098000,-28385000,-24149000,-728000,-7584000,-494000,6468000,21417000,39991000,60472000,60693000
21,Income Before Tax Ratio,- -,0.0836,-0.0145,0.0092,0.0555,-0.0665,-0.1248,-0.0431,0.0293,0.0578,-0.1283,0.0552,-0.0479,-0.0282,-0.0513,-0.0015,-0.0270,-0.0023,0.0221,0.0522,0.0556,0.1209,0.0928
22,Income Tax expense (Gain),- -,-6897000,3667000,-689000,-6620000,-9492000,-2264000,736805,-2593404,17378870,14723000,13679000,-6448000,-7223000,-6102000,-31000,-114000,-49000,1204000,6096000,2858000,11264000,9285000
23,Net Income,- -,8245000,92000,1609000,12489000,-15697000,-42313000,-21936011,21079336,39783973,-139515000,28219000,-34650000,-21162000,69184000,-1169000,-7470000,-445000,5264000,15286000,36878000,49208000,51408000
24,Net Income ratio,- -,0.0455,0.0004,0.0065,0.0363,-0.0415,-0.1184,-0.0446,0.0335,0.0402,-0.1435,0.0372,-0.0404,-0.0210,0.1470,-0.0025,-0.0266,-0.0021,0.0180,0.0373,0.0513,0.0983,0.0786
25,EPS,- -,0.44,0.00,0.09,0.67,-0.84,-2.27,-0.22,0.87,1.11,-3.87,0.78,-0.96,-0.58,1.91,-0.03,-0.23,-0.01,0.20,0.61,1.45,1.75,1.81
26,EPS Diluted,- -,0.31,0.00,0.06,0.46,-0.84,-2.27,-0.22,0.83,1.08,-3.87,0.77,-0.96,-0.58,1.89,-0.03,-0.23,-0.01,0.18,0.54,1.12,1.60,1.64
27,Weighted Average Shares Outstanding,- -,18629253,18629253,18629253,18629253,18629253,18629253,100000,24352156,35788776,36020763,36040857,36119356,36249082,36269996,35014418,32758088,29965899,26697066,24991517,25444374,28165130,28325489
28,Weighted Average Shares Outstanding Diluted,- -,26987656,26987656,26987656,26987656,26987656,26987656,100000,25443907,36915635,36020763,36721026,36119356,36249082,36612953,35014418,32758088,29965899,29605726,31427791,32843211,32300824,33946957
29,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1272869/000119312504161393/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312505231965/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312506181612/d20f.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,36595000,17922000,42704344,7895526,32871104,98880000,103005000,722000,1400000,13742000,956000,32351000,13666000,8186000,19508000,5544000,43915000,16601000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,36595000,17922000,42704344,7895526,32871104,98880000,103005000,722000,1400000,13742000,956000,32351000,13666000,8186000,19508000,5544000,43915000,16601000
34,Net Receivables,- -,- -,- -,- -,- -,61323000,99156000,67234937,176052814,236885094,134230000,196586000,231421000,300988000,102345000,110125000,42301000,56045000,69854000,94833000,85939000,43407000,78546000
35,Inventory,- -,- -,- -,- -,- -,1609000,134000,57216,155673,110071,11814000,5659000,7735000,11855000,5907000,7449000,2575000,3437000,4754000,13391000,21649000,19174000,44544000
36,Other Current Assets,- -,- -,- -,- -,- -,1272000,16962000,50872256,44957334,21220039,11814000,10362000,11486000,10880000,5882000,37451000,1862000,1798000,6486000,2647000,4245000,13462000,7488000
37,Total Current Assets,- -,- -,- -,- -,- -,100799000,134174000,160868753,229061347,291086308,256738000,315612000,251364000,325123000,127876000,155981000,79089000,74946000,89280000,130379000,117377000,119958000,147179000
38,PP&E,- -,- -,- -,- -,- -,167905000,177089000,185566324,255962869,281038988,329705000,328743000,321864000,312775000,277975000,260898000,258752000,256452000,278648000,528157000,609570000,651896000,655718000
