,https://roic.ai/company/CNCE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,19467000,12849000,25408000,8576000,66729000,174000,143891000,10505000,1077000,7902000,32578
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,12849000,25408000,8576000,66729000,- -,- -,- -,- -,7902,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,23436000,24193000,21790000,27474000,28885000,36983000,30223000,43149000,59816000,61624000,39
6,General and Administrative Exp.,7377000,7266000,8028000,11700000,13056000,14358000,21019000,22940000,19970000,18624000,22531
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7377000,7266000,8028000,11700000,13056000,14358000,21019000,22940000,19970000,18624000,22531
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,306000,301000,87516
10,Operating Expenses,30813000,31459000,29818000,39174000,41941000,51341000,51242000,66089000,80092000,80549000,110086
11,COGS and Expenses,30813000,31459000,29818000,39174000,41941000,51341000,51242000,66089000,80092000,80549000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),18000,1856000,1667000,1150000,309000,- -,815000,- -,- -,- -,- -
14,Depreciation and Amortization,1619000,1452000,1346000,1052000,785000,893000,1008000,1247000,1664000,1605000,1479000
15,EBITDA,-9683000,-17136000,-3043000,-29497000,25697000,-49827000,97162000,-54464000,-76502000,-73246000,1398949
16,EBITDA ratio,-0.4974,-1.3336,-0.1198,-3.4395,0.3851,-286.3621,0.6752,-5.1846,-71.0325,-9.2693,42.9415
17,Operating Income,-11346000,-18610000,-4410000,-30598000,24788000,-51167000,92649000,-55584000,-79015000,-72647000,-77508000
18,Operating Income ratio,-0.5828,-1.4484,-0.1736,-3.5679,0.3715,-294.0632,0.6439,-5.2912,-73.3658,-9.1935,-2379.1516
19,Total Other Income Expenses (Gains),26000,-1834000,-1646000,-1101000,-185000,447000,2690000,-127000,849000,-2204000,77427949
20,Income Before Tax,-11320000,-20444000,-6056000,-31699000,24603000,-50720000,95339000,-55711000,-78166000,-74851000,-80051
21,Income Before Tax Ratio,-0.5815,-1.5911,-0.2384,-3.6962,0.3687,-291.4943,0.6626,-5.3033,-72.5775,-9.4724,-2.4572
