,https://roic.ai/company/NCNO,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , 
1,Revenue,58142000,91534000,138180000,204293000,273865000
2,COGS,30471000,46451000,64070000,88135000,111413000
3,Gross Profit,27671000,45083000,74110000,116158000,162452000
4,Gross Profit Ratio,0.4759,0.4925,0.5363,0.5686,0.5932
5,Research and Development Exp.,16559000,22230000,35304000,58263000,79363000
6,General and Administrative Exp.,8933000,14791000,22536000,40772000,71545000
7,Selling and Marketing Exp.,20954000,31278000,44440000,59731000,82901000
8,"Selling, General and Administrative Exp.",29887000,46069000,66976000,100503000,154446000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,46446000,68299000,102280000,158766000,233809000
11,COGS and Expenses,76917000,114750000,166350000,246901000,345222000
12,Interest Income ,260000,1193000,988000,361000,194000
13,Interest Expense (Gain),- -,- -,- -,130000,1514000
14,Depreciation and Amortization,970000,1458000,4609000,7431000,10006000
15,EBITDA,-17569000,-20654000,-22399000,-32389000,-61759000
16,EBITDA ratio,-0.3022,-0.2256,-0.1621,-0.1585,-0.2255
17,Operating Income,-18775000,-23216000,-28170000,-42608000,-71357000
18,Operating Income ratio,-0.3229,-0.2536,-0.2039,-0.2086,-0.2606
19,Total Other Income Expenses (Gains),236000,1104000,1021000,1924000,-2597000
20,Income Before Tax,-18539000,-22112000,-27149000,-40684000,-73954000
21,Income Before Tax Ratio,-0.3189,-0.2416,-0.1965,-0.1991,-0.2700
22,Income Tax expense (Gain),50000,194000,586000,586000,-23833000
23,Net Income,-18589000,-22306000,-27594000,-40536000,-49446000
24,Net Income ratio,-0.3197,-0.2437,-0.1997,-0.1984,-0.1805
25,EPS,-0.21,-0.25,-0.31,-0.46,-0.55
26,EPS Diluted,-0.21,-0.25,-0.31,-0.46,-0.55
27,Weighted Average Shares Outstanding,89643127,89643127,89643127,89643127,89643127
28,Weighted Average Shares Outstanding Diluted,89643127,89643127,89643127,89643127,89643127
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1566895/000156689521000007/0001566895-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1902733/000190273322000013/0001902733-22-000013-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,74347000,91184000,371425000,88014000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,74347000,91184000,371425000,88014000
34,Net Receivables,- -,29829000,43406000,55517000,74528000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4991000,10687000,15289000,20967000
37,Total Current Assets,- -,109167000,145277000,442231000,183509000
38,PP&E,- -,10406000,13477000,29943000,73847000
39,Goodwill,- -,- -,55840000,57149000,841487000
40,Intangible Assets,- -,- -,26093000,23137000,180122000
41,Intangible Assets,- -,- -,81933000,80286000,1021609000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,368000,1675000
44,Other Non-Current Assets,- -,393000,9464000,10573000,20374000
45,Total Non-Current Assets,- -,10799000,104874000,121170000,1117505000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,119966000,250151000,563401000,1301014000
48,Accounts Payable,- -,3443000,4666000,5997000,11366000
49,Short-Term Debt,- -,- -,- -,324000,3548000
50,Tax Payable,- -,- -,- -,- -,- -
