,https://roic.ai/company/SPOT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1940000000,2952000000,4090000000,5259000000,6764000000,7880000000,9668000000
2,COGS,1714000000,2551000000,3241000000,3906000000,5042000000,5865000000,7077000000
3,Gross Profit,226000000,401000000,849000000,1353000000,1722000000,2015000000,2591000000
4,Gross Profit Ratio,0.1165,0.1358,0.2076,0.2573,0.2546,0.2557,0.2680
5,Research and Development Exp.,136000000,207000000,396000000,493000000,615000000,837000000,912000000
6,General and Administrative Exp.,106000000,175000000,264000000,283000000,354000000,442000000,450000000
7,Selling and Marketing Exp.,219000000,368000000,567000000,620000000,826000000,1029000000,1135000000
8,"Selling, General and Administrative Exp.",325000000,543000000,831000000,903000000,1180000000,1471000000,1585000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,461000000,750000000,1227000000,1396000000,1795000000,2308000000,2497000000
11,COGS and Expenses,2175000000,3301000000,4468000000,5302000000,6837000000,8173000000,9574000000
12,Interest Income ,2000000,5000000,19000000,25000000,31000000,17000000,246000000
13,Interest Expense (Gain),1000000,5000000,4000000,6000000,43000000,54000000,91000000
14,Depreciation and Amortization,30000000,38000000,54000000,32000000,87000000,111000000,127000000
15,EBITDA,-194000000,-492000000,-1175000000,-135000000,-1000000,-544000000,467000000
16,EBITDA ratio,-0.1000,-0.1667,-0.2873,-0.0257,-0.0001,-0.0690,0.0483
17,Operating Income,-235000000,-349000000,-378000000,-43000000,-73000000,-293000000,94000000
18,Operating Income ratio,-0.1211,-0.1182,-0.0924,-0.0082,-0.0108,-0.0372,0.0097
19,Total Other Income Expenses (Gains),10000000,-186000000,-855000000,-130000000,-58000000,-416000000,155000000
20,Income Before Tax,-225000000,-535000000,-1233000000,-173000000,-131000000,-709000000,249000000
21,Income Before Tax Ratio,-0.1160,-0.1812,-0.3015,-0.0329,-0.0194,-0.0900,0.0258
22,Income Tax expense (Gain),5000000,4000000,2000000,-95000000,55000000,-128000000,283000000
23,Net Income,-230000000,-539000000,-1235000000,-78000000,-186000000,-581000000,-34000000
24,Net Income ratio,-0.1186,-0.1826,-0.3020,-0.0148,-0.0275,-0.0737,-0.0035
25,EPS,-1.37,-3.21,-4.28,-0.44,-1.03,-3.10,-0.18
26,EPS Diluted,-1.37,-3.21,-4.28,-0.51,-1.03,-3.10,-1.03
27,Weighted Average Shares Outstanding,167778952,167778952,166146849,177154405,180960579,187583307,191298397
28,Weighted Average Shares Outstanding Diluted,167778952,167778952,166146849,181210292,180960579,187583307,193943455
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639920/000156459019002688/0001564590-19-002688-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,597000000,755000000,477000000,891000000,1065000000,1151000000,2744000000
32,Short-Term Investments,- -,830000000,1032000000,915000000,692000000,596000000,756000000
33,Cash and Short-Term Investments,597000000,1585000000,1509000000,1806000000,1757000000,1747000000,3500000000
34,Net Receivables,247000000,306000000,360000000,402000000,406000000,468000000,626000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,27000000,18000000,29000000,38000000,68000000,151000000,246000000
37,Total Current Assets,871000000,1909000000,1898000000,2246000000,2231000000,2366000000,4372000000
38,PP&E,81000000,85000000,73000000,197000000,780000000,757000000,809000000
39,Goodwill,65000000,73000000,135000000,146000000,478000000,736000000,894000000
40,Intangible Assets,8000000,7000000,27000000,28000000,58000000,97000000,89000000
41,Intangible Assets,73000000,80000000,162000000,174000000,536000000,833000000,983000000
42,Investments,1000000,- -,911000000,1646000000,1497000000,2277000000,916000000
43,Tax Assets,4000000,3000000,9000000,8000000,9000000,15000000,13000000
44,Other Non-Current Assets,21000000,23000000,54000000,65000000,69000000,78000000,77000000
45,Total Non-Current Assets,180000000,191000000,1209000000,2090000000,2891000000,3960000000,2798000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1051000000,2100000000,3107000000,4336000000,5122000000,6326000000,7170000000
48,Accounts Payable,119000000,139000000,242000000,295000000,377000000,434000000,793000000
49,Short-Term Debt,- -,5000000,1000000,- -,- -,- -,- -
50,Tax Payable,5000000,56000000,100000000,123000000,157000000,190000000,23000000
51,Deferred Revenue,92000000,149000000,216000000,258000000,319000000,380000000,458000000
52,Other Current Liabilities,587000000,927000000,1401000000,1594000000,1743000000,2086000000,1975000000
53,Total Current Liabilities,798000000,1220000000,1860000000,2147000000,2439000000,2900000000,3226000000
54,Long-Term Debt,- -,1107000000,- -,- -,622000000,577000000,1781000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,3000000,2000000,2000000,- -,- -
57,Other Non-Current Liabilities,24000000,13000000,62000000,93000000,22000000,44000000,44000000
58,Total Non-Current Liabilities,24000000,1120000000,65000000,95000000,646000000,621000000,1825000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,6000000,1000000,- -,622000000,577000000,579000000
61,Total Liabilities,822000000,2340000000,1925000000,2242000000,3085000000,3521000000,5051000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-653000000,-1192000000,-2427000000,-2505000000,-2709000000,-3290000000,-3220000000
65,Other Comprehensive Income/Loss,85000000,122000000,177000000,875000000,924000000,1687000000,853000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,229000000,-240000000,1182000000,2094000000,2037000000,2805000000,2119000000
68,Total Liabilities And Stockholders Equity,1051000000,2100000000,3107000000,4336000000,5122000000,6326000000,7170000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1051000000,2100000000,3107000000,4336000000,5122000000,6326000000,7170000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639920/000156459019002688/0001564590-19-002688-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-230000000,-539000000,-1235000000,-78000000,-186000000,-581000000,-34000000
74,Depreciation and Amortization,30000000,38000000,54000000,32000000,87000000,111000000,127000000
75,Deferred Income Tax,5000000,4000000,2000000,-95000000,55000000,-128000000,283000000
76,Stock Based Compensation,28000000,53000000,65000000,88000000,122000000,176000000,223000000
77,Change in Working Capital,175000000,300000000,420000000,251000000,451000000,317000000,-36000000
78,Accounts Receivable,-121000000,-60000000,-112000000,-61000000,-27000000,-187000000,-245000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,251000000,245000000,447000000,291000000,454000000,425000000,137000000
81,Other Working Capital,45000000,115000000,85000000,21000000,24000000,79000000,72000000
82,Other Non-Cash Items,-46000000,245000000,873000000,146000000,44000000,364000000,-202000000
83,Cash Provided by Operating Activities,-38000000,101000000,179000000,344000000,573000000,259000000,361000000
84,CAPEX,-49000000,-27000000,-46000000,-125000000,-135000000,-78000000,-85000000
85,Acquisitions Net,- -,- -,- -,- -,-331000000,-336000000,-115000000
86,Purchases of Investments,- -,-1397000000,-1386000000,-1069000000,-901000000,-1354000000,-497000000
87,Sales/Maturities of Investments,- -,609000000,1080000000,1226000000,1163000000,1421000000,519000000
88,Other Investing Activites,-23000000,-12000000,-93000000,-54000000,-14000000,-25000000,-9000000
89,Cash Used for Investing Activites,-67000000,-827000000,-435000000,-22000000,-218000000,-372000000,-187000000
90,Debt Repayment,-4000000,- -,-4000000,- -,-17000000,-24000000,-35000000
91,Common Stock Issued,474000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-72000000,-438000000,- -,-89000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6000000,916000000,38000000,164000000,252000000,309000000,1374000000
95,Cash Used/Provided by Financing Activities,476000000,916000000,34000000,92000000,-203000000,285000000,1250000000
96,Effect of Forex Changes on Cash,20000000,-32000000,-56000000,- -,22000000,-86000000,169000000
97,Net Change In Cash,391000000,158000000,-278000000,414000000,174000000,86000000,1593000000
98,Cash at the End of Period,597000000,755000000,477000000,891000000,1065000000,1151000000,2744000000
99,Cash at the Beginning of Period,206000000,597000000,755000000,477000000,891000000,1065000000,1151000000
100,Free Cash Flow,-87000000,74000000,133000000,219000000,438000000,181000000,276000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1639920/000156459019002688/0001564590-19-002688-index.html,- -,- -,- -
102,Forex Rate,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
