,https://roic.ai/company/VYNT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1665687,2521579,3019407,4301563,6609957,10199387,18040000,27049000,29121000,27470000,7305000,5751000,1148000
2,COGS,2531618,3516189,3117411,3928993,4924626,8453671,14098000,17104000,18070000,18724000,3701000,3353000,2718000
3,Gross Profit,-865931,-994610,-98004,372570,1685331,1745716,3942000,9945000,11051000,8746000,3604000,2398000,-1570000
4,Gross Profit Ratio,-0.5199,-0.3944,-0.0325,0.0866,0.2550,0.1712,0.2185,0.3677,0.3795,0.3184,0.4934,0.4170,-1.3676
5,Research and Development Exp.,1336037,1166553,2073661,2111947,2190204,4622526,5483000,5967000,4789000,2488000,- -,- -,4273000
6,General and Administrative Exp.,1844572,3445998,4439170,4502424,6115035,12368739,14567000,16034000,19894000,19184000,5171000,6595000,- -
7,Selling and Marketing Exp.,239459,715966,1574088,1398786,1841675,3963537,5269000,4668000,4990000,5268000,1146000,1246000,- -
8,"Selling, General and Administrative Exp.",2084031,4161964,6013258,5901210,7956710,16332276,19836000,20702000,24884000,24452000,6317000,7841000,8424000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2740000,4157000
10,Operating Expenses,3420068,5328517,8086919,8013157,10146914,20954802,25319000,26669000,29673000,26940000,6317000,10581000,16854000
11,COGS and Expenses,5951686,8844706,11204330,11942150,15071540,29408473,39417000,43773000,47743000,45664000,10018000,13934000,16854000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2091807,792415,1314234,4701028,2387733,472820,344000,454000,2128000,2120000,1437000,272000,372000
14,Depreciation and Amortization,3241,537307,13048,353405,326476,838596,1662000,2375000,2165000,2114000,757000,166000,1054000
15,EBITDA,-5233244,-7077619,-18559758,-1611194,-10322244,-17681688,-19362000,-12974000,-18666000,-16139000,-5026000,-7563000,-17149000
16,EBITDA ratio,-3.1418,-2.8068,-6.1468,-0.3746,-1.5616,-1.7336,-1.0733,-0.4796,-0.6410,-0.5875,-0.6880,-1.3151,-14.9382
17,Operating Income,-4285999,-6323127,-8184923,-7640587,-8461583,-19209086,-21377000,-16724000,-18622000,-18194000,-2713000,-7623000,-15706000
18,Operating Income ratio,-2.5731,-2.5076,-2.7108,-1.7762,-1.2801,-1.8834,-1.1850,-0.6183,-0.6395,-0.6623,-0.3714,-1.3255,-13.6812
19,Total Other Income Expenses (Gains),-3042293,-2084214,-11702117,974960,-4574870,215982,9000,921000,-4337000,-2179000,-4684000,-420000,-2869000
20,Income Before Tax,-7328292,-8407341,-19887040,-6665627,-13036453,-18993104,-21368000,-15803000,-22959000,-20373000,-7397000,-8043000,-18575000
21,Income Before Tax Ratio,-4.3996,-3.3342,-6.5864,-1.5496,-1.9722,-1.8622,-1.1845,-0.5842,-0.7884,-0.7416,-1.0126,-1.3985,-16.1803
22,Income Tax expense (Gain),- -,- -,- -,- -,-663900,-2350185,-1184000,- -,-2079000,- -,-512000,- -,22284000
23,Net Income,-7328292,-8407341,-19887040,-6665627,-12372553,-16642919,-20184000,-15803000,-20880000,-20373000,-6708000,-8001000,-40859000
24,Net Income ratio,-4.3996,-3.3342,-6.5864,-1.5496,-1.8718,-1.6318,-1.1188,-0.5842,-0.7170,-0.7416,-0.9183,-1.3912,-35.5915
25,EPS,-61.19,-70.20,-76.20,-55.80,-79.50,-52.80,-58.80,-30.00,-30.30,-22.50,-3.48,-4.15,-21.19
26,EPS Diluted,-61.12,-70.12,-76.20,-118.50,-109.20,-54.00,-58.79,-30.00,-30.30,-22.50,-3.48,-4.15,-21.19
27,Weighted Average Shares Outstanding,119763,119763,260680,119763,155508,314969,343263,528694,688759,909690,1928000,1928000,1928000
28,Weighted Average Shares Outstanding Diluted,119896,119896,260680,119896,155864,315385,343296,528694,688759,909690,1928000,1928000,1928000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1349929/000119312514121698/0001193125-14-121698-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992915000004/0001349929-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992916000062/0001349929-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992917000024/0001349929-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992918000002/0001349929-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992919000003/0001349929-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992920000005/0001349929-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992921000004/0001349929-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000149315222008085/0001493152-22-008085-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1779251,2417256,819906,49459564,25554064,19459000,9502000,9541000,161000,3880000,2444000,20608000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
