,https://roic.ai/company/LYB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,17120000000,50706000000,30828000000,41151000000,48183000000,45352000000,44062000000,45608000000,32735000000,29183000000,34484000000,39004000000,34727000000,27753000000,46173000000
2,COGS,15196000000,48780000000,29372000000,37181000000,42758000000,39577000000,37927000000,38933000000,25633000000,23185000000,28036000000,32530000000,29267000000,24359000000,37397000000
3,Gross Profit,1924000000,1926000000,1456000000,3970000000,5425000000,5775000000,6135000000,6675000000,7102000000,5998000000,6448000000,6474000000,5460000000,3394000000,8776000000
4,Gross Profit Ratio,0.1124,0.0380,0.0472,0.0965,0.1126,0.1273,0.1392,0.1464,0.2170,0.2055,0.1870,0.1660,0.1572,0.1223,0.1901
5,Research and Development Exp.,230000000,194000000,145000000,154000000,196000000,172000000,150000000,127000000,102000000,99000000,106000000,115000000,111000000,113000000,124000000
6,General and Administrative Exp.,- -,- -,- -,853000000,918000000,909000000,870000000,806000000,828000000,833000000,859000000,1129000000,1199000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,853000000,918000000,909000000,870000000,806000000,828000000,833000000,859000000,1129000000,1199000000,- -,1255000000
9,Other Expenses,740000000,1197000000,850000000,19000000,10000000,- -,- -,- -,- -,- -,- -,- -,- -,1140000000,- -
10,Operating Expenses,970000000,1391000000,995000000,1026000000,1124000000,1081000000,1020000000,933000000,930000000,932000000,965000000,1244000000,1310000000,1253000000,1379000000
11,COGS and Expenses,16166000000,50171000000,30367000000,30842000000,43854000000,40683000000,38961000000,39872000000,26613000000,24123000000,29024000000,33773000000,30611000000,25612000000,38776000000
12,Interest Income ,70000000,69000000,18000000,22000000,38000000,15000000,15000000,33000000,33000000,17000000,24000000,45000000,19000000,12000000,9000000
13,Interest Expense (Gain),353000000,2476000000,1795000000,545000000,1044000000,655000000,309000000,352000000,310000000,322000000,491000000,360000000,347000000,526000000,519000000
14,Depreciation and Amortization,472000000,1911000000,1774000000,1123000000,931000000,983000000,1021000000,1019000000,1047000000,1064000000,1174000000,1241000000,1312000000,1385000000,1393000000
15,EBITDA,1765000000,-3782000000,-707000000,11989000000,5170000000,5813000000,6323000000,7085000000,7563000000,6608000000,7142000000,6904000000,5704000000,3288000000,8671000000
16,EBITDA ratio,0.1031,-0.0746,-0.0229,0.2913,0.1073,0.1282,0.1435,0.1553,0.2310,0.2264,0.2071,0.1770,0.1643,0.1185,0.1878
17,Operating Income,934000000,-5928000000,317000000,2944000000,3998000000,4676000000,5102000000,5736000000,6122000000,5060000000,5460000000,5231000000,4116000000,1559000000,6773000000
18,Operating Income ratio,0.0546,-0.1169,0.0103,0.0715,0.0830,0.1031,0.1158,0.1258,0.1870,0.1734,0.1583,0.1341,0.1185,0.0562,0.1467
19,Total Other Income Expenses (Gains),6000000,-2256000000,-4594000000,5931000000,-467000000,-491000000,-106000000,-24000000,87000000,173000000,33000000,80000000,-64000000,-173000000,13000000
20,Income Before Tax,940000000,-8184000000,-4277000000,8875000000,3531000000,4185000000,4996000000,5712000000,6209000000,5233000000,5493000000,5311000000,4052000000,1386000000,6786000000
21,Income Before Tax Ratio,0.0549,-0.1614,-0.1387,0.2157,0.0733,0.0923,0.1134,0.1252,0.1897,0.1793,0.1593,0.1362,0.1167,0.0499,0.1470
22,Income Tax expense (Gain),279000000,-848000000,-1411000000,170000000,1048000000,1327000000,1136000000,1540000000,1730000000,1386000000,598000000,613000000,648000000,-43000000,1163000000
23,Net Income,661000000,-7321000000,-2865000000,10151000000,2147000000,2848000000,3857000000,4174000000,4476000000,3836000000,4879000000,4690000000,3397000000,1420000000,5596000000
24,Net Income ratio,0.0386,-0.1444,-0.0929,0.2467,0.0446,0.0628,0.0875,0.0915,0.1367,0.1314,0.1415,0.1202,0.0978,0.0512,0.1212
25,EPS,1.17,-12.98,-5.08,2.79,3.76,4.98,7.03,8.57,10.17,9.49,12.37,12.04,9.59,4.24,16.82
26,EPS Diluted,1.17,-12.98,-5.08,2.78,3.74,4.92,6.75,7.99,9.59,9.13,12.23,12.01,9.58,4.24,16.82
27,Weighted Average Shares Outstanding,564000000,564000000,564000000,564000000,568000000,572010676,548824138,486969402,440150069,404046331,394512054,389000000,353000000,334000000,334000000
28,Weighted Average Shares Outstanding Diluted,564000000,564000000,564000000,566000000,572000000,577000000,570000000,521000000,466000000,420000000,399000000,389000000,353000000,334000000,334000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1489393/000095012311026580/h80612e10vk.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312512088192/0001193125-12-088192-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312513051488/0001193125-13-051488-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312514060399/d664462d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000095012315003039/d860940d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312516465311/0001193125-16-465311-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312517047661/0001193125-17-047661-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312518054181/0001193125-18-054181-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939319000011/0001489393-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939320000009/0001489393-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939321000007/0001489393-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000009/0001489393-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
