,https://roic.ai/company/OB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1240800000,1242100000,1265000000,1186400000,1194400000,- -,- -,687333000,767142000,1015630000
2,COGS,650000000,622100000,815100000,700700000,656000000,- -,- -,545548000,602080000,775370000
3,Gross Profit,590800000,620000000,449900000,485700000,538400000,- -,- -,141785000,165062000,240260000
4,Gross Profit Ratio,0.4761,0.4992,0.3557,0.4094,0.4508,- -,- -,0.2063,0.2152,0.2366
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,26391000,28961000,39169000
6,General and Administrative Exp.,13400000,12000000,13800000,15400000,14200000,- -,- -,51038000,48354000,70749000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,78941000,77570000,95786000
8,"Selling, General and Administrative Exp.",13400000,12000000,13800000,15400000,14200000,- -,- -,129979000,125924000,166535000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13400000,12000000,13800000,15400000,14200000,- -,- -,156370000,154885000,205704000
11,COGS and Expenses,663400000,634100000,828900000,716100000,670200000,- -,- -,701918000,756965000,981074000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,152000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,601000,832000,3964000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,16744000,18509000,19470000
15,EBITDA,-10800000,180300000,18900000,23900000,94900000,- -,- -,2311000,26991000,8899000
16,EBITDA ratio,-0.0087,0.1452,0.0149,0.0201,0.0795,- -,- -,0.0034,0.0352,0.0088
17,Operating Income,105900000,181300000,40600000,25300000,96100000,- -,- -,-14585000,10177000,34556000
18,Operating Income ratio,0.0853,0.1460,0.0321,0.0213,0.0805,- -,- -,-0.0212,0.0133,0.0340
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-449000,-2527000,-49091000
20,Income Before Tax,105900000,181300000,40600000,25300000,96100000,- -,- -,-15034000,7650000,-14535000
21,Income Before Tax Ratio,0.0853,0.1460,0.0321,0.0213,0.0805,- -,- -,-0.0219,0.0100,-0.0143
22,Income Tax expense (Gain),8400000,34300000,-14600000,-12900000,-12500000,- -,- -,5480000,3293000,-25530000
23,Net Income,-19200000,146000000,33500000,36800000,107400000,- -,- -,-20514000,4357000,10995000
24,Net Income ratio,-0.0155,0.1175,0.0265,0.0310,0.0899,- -,- -,-0.0298,0.0057,0.0108
25,EPS,21.33,162.22,55.83,73.60,268.50,- -,- -,-0.44,-0.11,0.19
26,EPS Diluted,-32.00,243.33,55.83,61.33,179.00,- -,- -,-0.44,-0.11,0.19
27,Weighted Average Shares Outstanding,-900000,900000,600000,500000,400000,- -,- -,46730573,46085525,56701394
28,Weighted Average Shares Outstanding Diluted,600000,600000,600000,600000,600000,- -,- -,49498897,46085525,56701394
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1369817/000144530513000391/0001445305-13-000391-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981714000020/0001369817-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981715000015/0001369817-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981716000100/0001369817-16-000100-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981717000013/0001369817-17-000013-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1454938/000145493822000003/0001454938-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,43900000,168100000,87000000,95200000,69600000,- -,- -,49593000,93641000,455397000
32,Short-Term Investments,232800000,157000000,202200000,69200000,112100000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,276700000,325100000,289200000,164400000,181700000,- -,- -,49593000,93641000,455397000
34,Net Receivables,225600000,228200000,241500000,219000000,228300000,- -,- -,141746000,165449000,192814000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,13306000,18326000,27873000
37,Total Current Assets,502300000,553300000,530700000,383400000,410000000,- -,- -,204645000,277416000,676084000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,24532000,24756000,28008000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,32881000,32881000,32881000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,13302000,9812000,5719000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,46183000,42693000,38600000
42,Investments,1012400000,30500000,5000000,33900000,29300000,- -,- -,- -,- -,- -
43,Tax Assets,137800000,90600000,131800000,140200000,126700000,- -,- -,- -,- -,32867000
44,Other Non-Current Assets,3749000000,4537200000,2911900000,3047000000,3023900000,- -,- -,7164000,11621000,20331000
45,Total Non-Current Assets,4899200000,4658300000,3048700000,3221100000,3179900000,- -,- -,77879000,79070000,119806000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5401500000,5211600000,3579400000,3604500000,3589900000,- -,- -,282524000,356486000,795890000
48,Accounts Payable,4800000,12300000,- -,- -,- -,- -,- -,85619000,118491000,160790000
49,Short-Term Debt,18200000,12500000,7100000,1700000,- -,- -,- -,- -,- -,3069000
50,Tax Payable,39000000,32600000,35000000,24300000,5200000,- -,- -,- -,- -,9240000
51,Deferred Revenue,573800000,544900000,588300000,560300000,575100000,- -,- -,3213000,5512000,4784000
52,Other Current Liabilities,39000000,32600000,35000000,24300000,5200000,- -,- -,101999000,132747000,119852000
53,Total Current Liabilities,635800000,602300000,630400000,586300000,580300000,- -,- -,190831000,256750000,288495000
54,Long-Term Debt,274700000,274700000,274700000,274800000,273200000,- -,- -,- -,- -,236000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,137800000,90600000,131800000,140200000,126700000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,181355000,179549000,14620000
58,Total Non-Current Liabilities,412500000,365300000,406500000,415000000,399900000,- -,- -,181355000,179549000,250620000
59,Other Liabilities,4163700000,3870300000,2308500000,2432300000,2388200000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3804000,3853000,3069000
61,Total Liabilities,4387000000,4107300000,2532400000,2603600000,2568600000,- -,- -,372186000,436299000,539115000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,0,0,0,0,0,- -,- -,17000,17000,58000
