,https://roic.ai/company/LINC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,105738000,139201000,198881000,261275000,299221000,321506000,327774000,376907000,552536000,639494000,512625000,402697000,345024000,325022000,193220000,196910000,261853000,263200000,273342000,293095000,335336000
2,COGS,52952000,66580000,85201000,104843000,121524000,136631000,139500000,153530000,211295000,239738000,222959000,192205000,172685000,164352000,92165000,94922000,129413000,125373000,123495000,122196000,138931000
3,Gross Profit,52786000,72621000,113680000,156432000,177697000,184875000,188274000,223377000,341241000,399756000,289666000,210492000,172339000,160670000,101055000,101988000,132440000,137827000,149847000,170899000,196405000
4,Gross Profit Ratio,0.4992,0.5217,0.5716,0.5987,0.5939,0.5750,0.5744,0.5927,0.6176,0.6251,0.5651,0.5227,0.4995,0.4943,0.5230,0.5179,0.5058,0.5237,0.5482,0.5831,0.5857
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156199000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",59019000,- -,97714000,130941000,145194000,157309000,162396000,187722000,252673000,270879000,244398000,204299000,178494000,168441000,98319000,103129000,138779000,141244000,145176000,156199000,168923000
9,Other Expenses,- -,- -,-22000,368000,-7000,-435000,-15000,80000,- -,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,59019000,- -,97692000,131309000,145187000,156874000,162381000,187802000,252673000,270871000,244398000,204299000,178494000,168441000,98319000,103129000,138779000,141244000,145176000,156199000,168923000
11,COGS and Expenses,111971000,66580000,182893000,236152000,266711000,293505000,301881000,341332000,463968000,510609000,467357000,396504000,351179000,332793000,190484000,198051000,268192000,266617000,268671000,278395000,307854000
12,Interest Income ,- -,- -,133000,- -,775000,981000,- -,- -,29000,30000,50000,2000,37000,153000,52000,155000,56000,31000,8000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,4275000,4533000,4369000,4475000,4667000,5613000,7438000,6001000,7098000,2422000,2963000,1275000,2015000
14,Depreciation and Amortization,5474000,- -,7827000,11124000,13279000,15058000,15933000,17920000,24240000,26218000,28464000,26848000,23701000,19338000,14506000,11066000,8702000,8421000,8116000,7400000,7140000
15,EBITDA,829000,-775000,21401000,33344000,43915000,41617000,34205000,51456000,112622000,148934000,63418000,-14098000,-3327000,-35407000,18836000,-11037000,4042000,4498000,13362000,22181000,56401000
16,EBITDA ratio,0.0078,-0.0056,0.1076,0.1276,0.1468,0.1294,0.1044,0.1365,0.2038,0.2329,0.1237,-0.0350,-0.0096,-0.1089,0.0975,-0.0561,0.0154,0.0171,0.0489,0.0757,0.1682
17,Operating Income,-6233000,1950000,15988000,25123000,32510000,28001000,25893000,35575000,88318000,122641000,34886000,-27657000,-9557000,-48549000,778000,-5163000,-4716000,-3954000,5238000,14781000,49261000
18,Operating Income ratio,-0.0589,0.0140,0.0804,0.0962,0.1086,0.0871,0.0790,0.0944,0.1598,0.1918,0.0681,-0.0687,-0.0277,-0.1494,0.0040,-0.0262,-0.0180,-0.0150,0.0192,0.0504,0.1469
19,Total Other Income Expenses (Gains),-1354000,-2725000,-2414000,-2903000,-1874000,-1442000,-2134000,-2039000,-4211000,-4458000,-4301000,-4459000,-4612000,-5163000,-3244000,865000,-7042000,-2391000,-2955000,-1275000,-2015000
20,Income Before Tax,-7587000,-775000,13574000,22220000,30636000,26559000,23759000,33536000,84107000,118183000,30585000,-32116000,-14169000,-53712000,-2466000,-4298000,-11758000,-6345000,2283000,13506000,47246000
21,Income Before Tax Ratio,-0.0718,-0.0056,0.0683,0.0850,0.1024,0.0826,0.0725,0.0890,0.1522,0.1848,0.0597,-0.0798,-0.0411,-0.1653,-0.0128,-0.0218,-0.0449,-0.0241,0.0084,0.0461,0.1409
22,Income Tax expense (Gain),- -,-101000,5355000,9242000,11927000,11007000,9932000,13341000,34868000,48452000,13045000,-8235000,19591000,-4225000,242000,200000,-274000,200000,268000,-35059000,12528000
23,Net Income,-4645000,-674000,8219000,12978000,18709000,15552000,8340000,20195000,49239000,69731000,17540000,-37186000,-51286000,-56133000,-3350000,-28304000,-11484000,-6545000,2015000,48565000,34718000
24,Net Income ratio,-0.0439,-0.0048,0.0413,0.0497,0.0625,0.0484,0.0254,0.0536,0.0891,0.1090,0.0342,-0.0923,-0.1486,-0.1727,-0.0173,-0.1437,-0.0439,-0.0249,0.0074,0.1657,0.1035
25,EPS,-0.22,-0.03,0.38,0.60,0.80,0.61,0.33,0.80,1.87,2.86,0.80,-1.68,-2.28,-2.46,-0.14,-1.21,-0.48,-0.27,0.08,1.49,1.04
26,EPS Diluted,-0.22,-0.03,0.37,0.56,0.76,0.60,0.32,0.78,1.82,2.79,0.79,-1.68,-2.28,-2.46,-0.14,-1.21,-0.48,-0.27,0.08,1.49,1.04
27,Weighted Average Shares Outstanding,21355000,21662000,21667000,21676000,23475000,25336000,25479000,25308000,26337000,24418000,22020000,22195000,22513000,22814000,23167000,23453000,23906000,24423000,24554000,24748000,25080789
28,Weighted Average Shares Outstanding Diluted,21355000,21662000,22364000,23095000,24503000,26086000,26090000,25984000,27095000,25024000,22155000,22195000,22513000,22814000,23167000,23453000,23906000,24423000,24554000,24748000,25080789
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1286613/000114036107005892/0001140361-07-005892-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036108006886/0001140361-08-006886-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036109006928/0001140361-09-006928-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036110011374/0001140361-10-011374-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036111016427/0001140361-11-016427-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036112014550/0001140361-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036113012003/0001140361-13-012003-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036114012117/0001140361-14-012117-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036115011951/0001140361-15-011951-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036116057345/0001140361-16-057345-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036117011579/0001140361-17-011579-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036118012880/0001140361-18-012880-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000156761919006729/0001567619-19-006729-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036120005108/0001140361-20-005108-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036121007700/0001140361-21-007700-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036122007738/0001140361-22-007738-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,48965000,41445000,50257000,6461000,3502000,15234000,46076000,65995000,26524000,61708000,12886000,12299000,38420000,21064000,14563000,17571000,23644000,38026000,83307000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,48965000,41445000,50257000,6461000,3502000,15234000,46076000,65995000,26524000,61708000,12886000,12299000,38420000,21064000,14563000,17571000,23644000,38026000,83307000
34,Net Receivables,- -,- -,10803000,12820000,14402000,20473000,29373000,23685000,36614000,33697000,19696000,17370000,16127000,13533000,9613000,10294000,15791000,18675000,20652000,30021000,26159000
35,Inventory,- -,- -,1087000,1664000,1764000,2438000,2540000,3374000,3329000,3555000,3051000,2677000,2269000,1486000,1043000,1058000,1657000,1451000,1608000,2394000,2721000
36,Other Current Assets,- -,- -,7806000,8295000,6735000,8796000,8346000,8968000,19942000,14245000,23387000,17758000,72340000,85746000,56188000,33881000,12707000,19414000,4573000,3723000,9440000
37,Total Current Assets,- -,- -,68661000,64224000,73158000,38168000,43761000,51261000,105961000,117492000,72658000,99513000,103622000,113064000,105264000,66297000,44718000,57111000,50477000,74164000,121627000
38,PP&E,- -,- -,42035000,55149000,68932000,94368000,106564000,108567000,149310000,172431000,180014000,154096000,127332000,69740000,66508000,55445000,52866000,49292000,98410000,103575000,114606000
39,Goodwill,- -,- -,- -,- -,- -,84995000,82714000,91460000,112953000,106709000,97371000,65527000,62465000,22207000,14536000,14536000,14536000,14536000,14536000,14536000,14536000
40,Intangible Assets,- -,- -,19951000,32802000,59467000,- -,- -,- -,- -,- -,- -,2231000,1881000,1191000,50000,32000,16000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,19951000,32802000,59467000,84995000,82714000,91460000,112953000,106709000,97371000,67758000,64346000,23398000,14586000,14568000,14552000,14536000,14536000,14536000,14536000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,992000,2166000,2790000,2688000,5500000,7080000,4236000,1524000,1877000,17065000,- -,- -,- -,- -,424000,424000,- -,35718000,23708000
