,https://roic.ai/company/MRIN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,7527000,19005000,36121000,59558000,77315000,99354000,108530000,99878000,74991000,58631000,49036000,29983000,24420000
2,COGS,5101000,11040000,18691000,24764000,31109000,35614000,40137000,35203000,32520000,27154000,22843000,17946000,12885000
3,Gross Profit,2426000,7965000,17430000,34794000,46206000,63740000,68393000,64675000,42471000,31477000,26193000,12037000,11535000
4,Gross Profit Ratio,0.3223,0.4191,0.4825,0.5842,0.5976,0.6415,0.6302,0.6475,0.5663,0.5369,0.5342,0.4015,0.4724
5,Research and Development Exp.,3410000,4568000,7071000,14014000,20715000,28751000,33318000,27841000,26564000,22450000,17845000,12815000,10788000
6,General and Administrative Exp.,2171000,5195000,6679000,13432000,17028000,21257000,22391000,19890000,16444000,13113000,10446000,8559000,9327000
7,Selling and Marketing Exp.,6146000,8884000,20357000,32633000,42799000,47716000,45132000,32889000,26936000,23425000,15836000,6958000,5482000
8,"Selling, General and Administrative Exp.",8317000,14079000,27036000,46065000,59827000,68973000,67523000,52779000,43380000,36538000,26282000,15517000,14809000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11727000,18647000,34107000,60079000,80542000,97724000,100841000,80620000,69944000,58988000,44127000,28332000,25597000
11,COGS and Expenses,16828000,29687000,52798000,84843000,111651000,133338000,140978000,115823000,102464000,86142000,66970000,46278000,38482000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),212000,230000,378000,520000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,382000,1016000,1800000,3167000,5878000,8705000,12677000,12103000,11277000,8969000,7652000,5003000,3207000
15,EBITDA,-9011000,-9588000,-15106000,-22574000,-29482000,-25922000,-19667000,-2973000,-19207000,-31689000,-4876000,-9759000,-9871000
16,EBITDA ratio,-1.1972,-0.5045,-0.4182,-0.3790,-0.3813,-0.2609,-0.1812,-0.0298,-0.2561,-0.5405,-0.0994,-0.3255,-0.4042
17,Operating Income,-9301000,-10682000,-16677000,-25285000,-34336000,-33984000,-32448000,-15945000,-30270000,-42251000,-19844000,-16295000,-14062000
18,Operating Income ratio,-1.2357,-0.5621,-0.4617,-0.4245,-0.4441,-0.3420,-0.2990,-0.1596,-0.4036,-0.7206,-0.4047,-0.5435,-0.5758
