,https://roic.ai/company/ABMC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,610876,2200000,7038000,7653000,- -,10312000,12484000,12241000,13015000,13838000,13872000,12657000,9726000,10421000,9272000,9343000,8894000,7285000,6317000,5609000,4914000,3872000,3655000,4147000
2,COGS,- -,259862,1100000,3356000,3602000,- -,4476000,5477000,5647000,6970000,7035000,8141000,7396000,5611000,6313000,5396000,5999000,5322000,4223000,3462000,3119000,2917000,2584000,2471000,2909000
3,Gross Profit,- -,351014,1100000,3682000,4051000,- -,5836000,7007000,6594000,6045000,6803000,5731000,5261000,4115000,4108000,3876000,3344000,3572000,3062000,2855000,2490000,1997000,1288000,1184000,1238000
4,Gross Profit Ratio,- -,0.5746,0.5000,0.5232,0.5293,- -,0.5659,0.5613,0.5387,0.4645,0.4916,0.4131,0.4157,0.4231,0.3942,0.4180,0.3579,0.4016,0.4203,0.4520,0.4439,0.4064,0.3326,0.3239,0.2985
5,Research and Development Exp.,- -,74978,200000,336000,799000,- -,297000,639000,606000,683000,606000,669000,563000,418000,297000,223000,207000,645000,228000,148000,184000,117000,93000,82000,90000
6,General and Administrative Exp.,- -,867903,5300000,5040000,5223000,- -,4790000,5489000,5642000,5702000,5946000,5918000,2575000,2317000,2315000,2022000,2237000,2336000,1940000,1769000,1502000,1511000,1412000,1236000,1276000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2749000,2052000,2030000,1777000,1829000,1722000,1111000,1164000,1061000,680000,545000,459000,493000
8,"Selling, General and Administrative Exp.",- -,867903,5300000,5040000,5223000,- -,4790000,5489000,5642000,5702000,5946000,5918000,5324000,4369000,4345000,3799000,4066000,4058000,3051000,2933000,2563000,2191000,1957000,1695000,1769000
9,Other Expenses,- -,96134,100000,25000,106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,1039015,5600000,5401000,6128000,- -,5087000,6128000,6248000,6385000,6552000,6587000,5887000,4787000,4642000,4022000,4273000,4703000,3279000,3081000,2747000,2308000,2050000,1777000,1859000
11,COGS and Expenses,- -,1298877,6700000,8757000,9730000,- -,9563000,11605000,11895000,13355000,13587000,14728000,13283000,10398000,10955000,9418000,10272000,10025000,7502000,6543000,5866000,5225000,4634000,4248000,4768000
12,Interest Income ,- -,56180,- -,103000,84000,- -,34000,32000,8000,5000,7000,9000,3000,1000,1000,- -,1000,2000,- -,-1000,- -,- -,1000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,7000,21000,- -,58000,78000,53000,55000,67000,149000,213000,203000,216000,198000,194000,310000,244000,206000,284000,272000,284000,265000,175000
14,Depreciation and Amortization,- -,96134,100000,78000,106000,- -,154000,168000,269000,378000,376000,437000,353000,336000,289000,277000,123000,116000,111000,91000,91000,80000,81000,81000,79000
15,EBITDA,- -,-409187,-4300000,-1606000,-2009000,- -,931000,1277000,637000,58000,644000,-401000,-283000,-360000,-241000,140000,-796000,-360000,-133000,-34000,34000,-193000,-661000,-340000,-544000
16,EBITDA ratio,- -,-0.6698,-1.9545,-0.2282,-0.2625,- -,0.0903,0.1023,0.0520,0.0045,0.0465,-0.0289,-0.0224,-0.0370,-0.0231,0.0151,-0.0852,-0.0405,-0.0183,-0.0054,0.0061,-0.0393,-0.1707,-0.0930,-0.1312
17,Operating Income,- -,-688001,-4500000,-1719000,-2077000,- -,749000,879000,346000,-340000,251000,-856000,-626000,-672000,-534000,-146000,-929000,-1131000,-217000,-226000,-257000,-311000,-762000,-593000,-621000
18,Operating Income ratio,- -,-1.1263,-2.0455,-0.2442,-0.2714,- -,0.0726,0.0704,0.0283,-0.0261,0.0181,-0.0617,-0.0495,-0.0691,-0.0512,-0.0157,-0.0994,-0.1272,-0.0298,-0.0358,-0.0458,-0.0633,-0.1968,-0.1622,-0.1497
19,Total Other Income Expenses (Gains),- -,126500,100000,-68000,-59000,- -,-30000,198000,-31000,-35000,-50000,-131000,-223000,-227000,-212000,-189000,-184000,345000,-271000,-105000,-84000,-234000,-264000,-93000,-177000
20,Income Before Tax,- -,- -,- -,- -,-2136000,- -,719000,- -,315000,-375000,201000,-987000,-849000,-899000,-746000,-335000,-1113000,-786000,-488000,-331000,-341000,-545000,-1026000,-686000,-798000
