,https://roic.ai/company/SHOP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,23713000,50252000,105018000,205233000,389330000,673304000,1073229000,1578173000,2929491000,4611856000
2,COGS,4776000,13513000,43223000,94162000,179835000,293051000,476962000,712530000,1387971000,2130712000
3,Gross Profit,18937000,36739000,61795000,111071000,209495000,380253000,596267000,865643000,1541520000,2481144000
4,Gross Profit Ratio,0.7986,0.7311,0.5884,0.5412,0.5381,0.5648,0.5556,0.5485,0.5262,0.5380
5,Research and Development Exp.,6452000,13682000,25915000,39722000,74336000,135997000,230674000,355015000,552127000,854383000
6,General and Administrative Exp.,1737000,3975000,11566000,18731000,43110000,67719000,107444000,178934000,297192000,374844000
7,Selling and Marketing Exp.,12262000,23351000,45929000,70374000,129214000,225694000,350069000,472841000,602048000,901557000
8,"Selling, General and Administrative Exp.",13999000,27326000,57495000,89105000,172324000,293413000,457513000,651775000,899240000,1276401000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,81717000
10,Operating Expenses,20451000,41008000,83410000,128827000,246660000,429410000,688187000,1006790000,1451367000,2212501000
11,COGS and Expenses,25227000,54521000,126633000,222989000,426495000,722461000,1165149000,1719320000,2839338000,4343213000
12,Interest Income ,50000,42000,57000,200000,1536000,7850000,29436000,48182000,23434000,15356000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,9085000,1150000
14,Depreciation and Amortization,767000,1758000,4672000,7236000,13967000,23382000,27052000,35651000,70060000,66308000
15,EBITDA,-465000,-3079000,-17639000,-11554000,-21388000,-16613000,-37501000,-60164000,319509000,3208050000
16,EBITDA ratio,-0.0196,-0.0613,-0.1680,-0.0563,-0.0549,-0.0247,-0.0349,-0.0381,0.1091,0.6956
17,Operating Income,-1514000,-4269000,-21615000,-17756000,-37165000,-49157000,-91920000,-141147000,90153000,268643000
18,Operating Income ratio,-0.0638,-0.0850,-0.2058,-0.0865,-0.0955,-0.0730,-0.0856,-0.0894,0.0308,0.0583
19,Total Other Income Expenses (Gains),282000,-568000,-696000,-1034000,1810000,9162000,27367000,45332000,150211000,2871949000
20,Income Before Tax,-1232000,-4837000,-22311000,-18790000,-35355000,-39995000,-64553000,-95815000,240364000,3140592000
21,Income Before Tax Ratio,-0.0520,-0.0963,-0.2124,-0.0916,-0.0908,-0.0594,-0.0601,-0.0607,0.0820,0.6810
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,29027000,-79145000,225933000
23,Net Income,-1232000,-4837000,-22311000,-18790000,-35355000,-39995000,-64553000,-124842000,319509000,2914659000
24,Net Income ratio,-0.0520,-0.0963,-0.2124,-0.0916,-0.0908,-0.0594,-0.0601,-0.0791,0.1091,0.6320
25,EPS,-0.02,-0.07,-0.34,-0.30,-0.42,-0.42,-0.61,-1.10,2.67,24.38
26,EPS Diluted,-0.02,-0.07,-0.34,-0.30,-0.42,-0.42,-0.61,-1.10,2.59,24.38
