,https://roic.ai/company/LTRX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,32980000,44975000,55198000,57646000,49509000,48885000,48502000,51943000,55306000,57586000,49147000,46375000,49321000,45382000,46655000,44546000,42946000,40592000,44730000,45580000,46890000,59878000,71477000
2,COGS,15851000,20185000,26582000,40510000,37603000,25026000,24326000,25276000,26964000,28518000,23478000,22257000,24907000,23236000,24555000,22261000,22648000,21214000,21150000,20212000,20617000,32978000,38452000
3,Gross Profit,17129000,24790000,28616000,17136000,11906000,23859000,24176000,26667000,28342000,29068000,25669000,24118000,24414000,22146000,22100000,22285000,20298000,19378000,23580000,25368000,26273000,26900000,33025000
4,Gross Profit Ratio,0.5194,0.5512,0.5184,0.2973,0.2405,0.4881,0.4985,0.5134,0.5125,0.5048,0.5223,0.5201,0.4950,0.4880,0.4737,0.5003,0.4726,0.4774,0.5272,0.5566,0.5603,0.4492,0.4620
5,Research and Development Exp.,2615000,3186000,4478000,9225000,10413000,7813000,6314000,5999000,7362000,6944000,5888000,6338000,7033000,6910000,6748000,6746000,6923000,6910000,7960000,8065000,9079000,9691000,11113000
6,General and Administrative Exp.,- -,- -,27104000,46350000,34693000,23640000,24781000,24203000,23243000,23892000,19517000,19035000,22373000,17684000,14612000,14234000,14134000,12191000,14641000,15390000,14954000,18516000,20096000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2728000,1823000,1678000,1407000,702000,771000,705000,828000,712000
8,"Selling, General and Administrative Exp.",9768000,17557000,27104000,46350000,34693000,23640000,24781000,24203000,23243000,23892000,19517000,19035000,22373000,17684000,17340000,16057000,15812000,13598000,15343000,16161000,15659000,19344000,20808000
9,Other Expenses,973000,2434000,1490000,52091000,7710000,148000,65000,980000,162000,72000,72000,72000,72000,54000,439000,355000,217000,227000,214000,184000,192000,2275000,3094000
10,Operating Expenses,13356000,23177000,33072000,107666000,52816000,31601000,31160000,31182000,30767000,30908000,25477000,25445000,29478000,24648000,24527000,23158000,22952000,20735000,23517000,24410000,24930000,31310000,35015000
11,COGS and Expenses,29207000,43362000,59654000,148176000,90419000,56627000,55486000,56458000,57731000,59426000,48955000,47702000,54385000,47884000,49082000,45419000,45600000,41949000,44667000,44622000,45547000,64288000,73467000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186000,149000,123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,973000,2434000,2619000,6219000,7506000,3961000,2108000,1014000,473000,654000,879000,1018000,1143000,988000,852000,895000,878000,759000,594000,442000,464000,2805000,3911000
15,EBITDA,4857000,4138000,-2418000,-93903000,-39793000,-12018000,-4667000,-2062000,-1216000,-1973000,284000,-328000,-3949000,-1979000,-1863000,23000,-1835000,-1140000,385000,1220000,197000,-7789000,62000
16,EBITDA ratio,0.1473,0.0920,-0.0438,-1.6290,-0.8038,-0.2458,-0.0962,-0.0397,-0.0220,-0.0343,0.0058,-0.0071,-0.0801,-0.0436,-0.0399,0.0005,-0.0427,-0.0281,0.0086,0.0268,0.0042,-0.1301,0.0009
