,https://roic.ai/company/ARTW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10200000,17600000,19700000,22300000,19200000,21900000,19400000,20300000,20500000,20300000,13800000,11100000,23600000,17200000,14229178,10891398,10899822,11411376,12784396,14618904,19853812,25517750,32041138,26296133,28951378,27619760,36456830,34226553,36169811,27935791,21557649,20715080,19726793,22889173,22409123,24965086
2,COGS,- -,7600000,12200000,13400000,15100000,12900000,14100000,13100000,13700000,13000000,15100000,9700000,7500000,18100000,12400000,11349942,8768676,8130059,8035414,9186971,10213951,14148787,17837030,24078747,20923886,22142242,20612750,26424567,25860107,27445242,20952109,16237766,16632979,16215237,18961260,20009523,18368596
3,Gross Profit,- -,2600000,5400000,6300000,7200000,6300000,7800000,6300000,6600000,7500000,5200000,4100000,3600000,5500000,4800000,2879236,2122722,2769763,3375962,3597425,4404953,5705025,7680720,7962391,5372247,6809136,7007010,10032263,8366446,8724569,6983682,5319883,4082101,3511556,3927913,2399600,6596490
4,Gross Profit Ratio,- -,0.2549,0.3068,0.3198,0.3229,0.3281,0.3562,0.3247,0.3251,0.3659,0.2562,0.2971,0.3243,0.2331,0.2791,0.2023,0.1949,0.2541,0.2958,0.2814,0.3013,0.2874,0.3010,0.2485,0.2043,0.2352,0.2537,0.2752,0.2444,0.2412,0.2500,0.2468,0.1971,0.1780,0.1716,0.1071,0.2642
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,600000,300000,- -,- -,- -,- -,208378,4283,310715,189587,483831,428336,338286,323265,358132,417521,433766,331061,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2600000,3000000,4100000,4300000,4500000,5500000,5800000,5400000,5100000,5100000,3500000,- -,4800000,4200000,3268964,2200212,1963646,2023810,2315599,2231432,3503849,3585584,3136930,2676396,2686065,2940408,3762162,3879580,4205375,4736866,3437591,3343500,3438981,3343443,4685274,4058933
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1735936,1629330,1810522,1703072,1611215,2155640,2372299,2149659,1838971,1889461,1936147,1602006,1623960,2014149
8,"Selling, General and Administrative Exp.",- -,2600000,3000000,4100000,4300000,4500000,5500000,5800000,5400000,5100000,5100000,3500000,2200000,4800000,4200000,3268964,2200212,1963646,2023810,2315599,2231432,3503849,3585584,4872866,4305726,4496587,4643480,5373377,6035220,6577674,6886525,5276562,5232961,5375128,4945449,6309234,6073082
9,Other Expenses,- -,500000,200000,200000,200000,300000,400000,400000,500000,600000,600000,600000,300000,500000,600000,517462,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,514086,482057,500820,429910,501182,640430,479345,- -,- -
10,Operating Expenses,- -,3100000,3200000,4300000,4500000,4800000,5900000,6200000,5900000,6400000,6300000,4400000,2500000,5300000,4800000,3786426,2408590,1967929,2334525,2505186,2715263,3932185,3923870,5196131,4663858,4914108,5077246,5704438,6549306,7059731,7387345,5706472,5734143,6015558,5424794,6309234,6073082
11,COGS and Expenses,- -,10700000,15400000,17700000,19600000,17700000,20000000,19300000,19600000,19400000,21400000,14100000,10000000,23400000,17200000,15136368,11177266,10097988,10369939,11692157,12929214,18080972,21760900,29274878,25587744,27056350,25689996,32129005,32409413,34504973,28339454,21944238,22367122,22230795,24386054,26318757,24441678
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559785,- -,- -,156113,180013,- -,- -,- -,461412,508145,423267,428538,413594,296640,351899,329455,248580,319622,304566,358174,304611,313485
14,Depreciation and Amortization,- -,500000,200000,200000,200000,300000,400000,400000,500000,600000,600000,600000,300000,500000,600000,517462,453603,251913,278962,311314,268616,303754,445566,594673,656118,715885,780169,852910,704457,906702,929180,671967,702349,960606,1003541,818234,613409
15,EBITDA,- -,-1500000,2200000,2300000,3100000,2000000,2400000,500000,1100000,1400000,-1100000,-600000,1100000,- -,-100000,-538182,-1863122,825048,1298280,1414969,1742936,1720600,3824895,3806734,2379418,2697075,2789641,5254531,3206941,2561106,393573,2612,-1038908,-2632146,-407105,-1837111,1193784
16,EBITDA ratio,- -,-0.1471,0.1250,0.1168,0.1390,0.1042,0.1096,0.0258,0.0542,0.0683,-0.0542,-0.0435,0.0991,- -,-0.0058,-0.0378,-0.1711,0.0757,0.1138,0.1107,0.1192,0.0867,0.1499,0.1188,0.0905,0.0932,0.1010,0.1441,0.0937,0.0708,0.0141,0.0001,-0.0502,-0.1334,-0.0178,-0.0820,0.0478
17,Operating Income,- -,-500000,2200000,2000000,2700000,1500000,1900000,100000,700000,1100000,-1100000,-300000,1100000,200000,- -,-907190,-1914832,801834,1041437,1092239,1689690,1772840,3756850,2766260,708389,1895028,1929764,4327825,1817140,1664838,-403663,-431447,-1722042,-3095270,-1496881,-3909634,523408
18,Operating Income ratio,- -,-0.0490,0.1250,0.1015,0.1211,0.0781,0.0868,0.0052,0.0345,0.0537,-0.0542,-0.0217,0.0991,0.0085,- -,-0.0638,-0.1758,0.0736,0.0913,0.0854,0.1156,0.0893,0.1472,0.0863,0.0269,0.0655,0.0699,0.1187,0.0531,0.0460,-0.0144,-0.0200,-0.0831,-0.1569,-0.0654,-0.1745,0.0210
