,https://roic.ai/company/VERB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,6966,- -,- -,- -,5914,32000,9100000,9965000,10524000
2,COGS,- -,- -,- -,- -,- -,- -,52000,4870000,4801000,4504000
3,Gross Profit,- -,6966,- -,- -,- -,- -,-20000,4230000,5164000,6020000
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,- -,-0.6250,0.4648,0.5182,0.5720
5,Research and Development Exp.,- -,- -,156762,81588,257803,375220,980000,4312000,7933000,12345000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4327529,6792000,14710000,20458000,25710000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4096118,4708163,5334564,2873185,4327529,6792000,14710000,20458000,25710000
9,Other Expenses,- -,-4070908,- -,- -,- -,- -,- -,1042000,1510000,- -
10,Operating Expenses,- -,25210,4864925,5416152,3130988,4702749,7772000,20064000,29901000,38055000
11,COGS and Expenses,- -,25210,4864925,5416152,3130988,4702749,7824000,24934000,34702000,42559000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,314316,- -,739174,973433,1830000,1844000,646000,2575000
14,Depreciation and Amortization,- -,- -,14668,362626,21301,21512,20000,1391000,2055000,3014000
15,EBITDA,- -,-18244,-4850257,-5053526,-3109687,-6270008,-10276000,-12681000,-22254000,-28896000
16,EBITDA ratio,- -,-2.6190,-Infinity,-Infinity,-Infinity,-1060.1975,-321.1250,-1.3935,-2.2332,-2.7457
17,Operating Income,- -,-4581547,-4864925,-6803252,-3130988,-4696835,-7792000,-15834000,-24737000,-33712000
18,Operating Income ratio,- -,-657.7013,-Infinity,-Infinity,-Infinity,-794.1892,-243.5000,-1.7400,-2.4824,-3.2033
19,Total Other Income Expenses (Gains),- -,4563303,-314316,-151976,-1142251,-2568118,-4334000,-82000,-218000,-773000
20,Income Before Tax,- -,-18244,-5179241,-6955228,-4273239,-7264953,-12126000,-15916000,-24955000,-34485000
21,Income Before Tax Ratio,- -,-2.6190,-Infinity,-Infinity,-Infinity,-1228.4330,-378.9375,-1.7490,-2.5043,-3.2768
22,Income Tax expense (Gain),- -,- -,- -,- -,866,1600,1000,2000,1000,1000
23,Net Income,- -,-18244,-5179241,-6955228,-4274105,-7266553,-12127000,-15918000,-24956000,-34486000
24,Net Income ratio,- -,-2.6190,-Infinity,-Infinity,-Infinity,-1228.7036,-378.9688,-1.7492,-2.5044,-3.2769
