,https://roic.ai/company/CURO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,700731000,764262000,826047000,956965000,1018956000,744036000,660453000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,257522000,303740000,281571000,294130000,292270000,279901000,237109000
7,Selling and Marketing Exp.,65664000,43921000,52058000,68333000,53398000,44552000,38762000
8,"Selling, General and Administrative Exp.",323186000,347661000,333629000,362463000,345668000,324453000,275871000
9,Other Expenses,253814000,-70661000,-57629000,-64463000,-50668000,- -,- -
10,Operating Expenses,577000000,277000000,276000000,298000000,295000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),65020000,64334000,82684000,84356000,69763000,72709000,97334000
14,Depreciation and Amortization,19112000,18905000,18837000,18838000,18630000,17498000,26955000
15,EBITDA,120006000,191260000,193250000,82630000,238438000,171835000,204846000
16,EBITDA ratio,0.1713,0.2503,0.2339,0.0863,0.2340,0.2309,0.3102
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,21223000
20,Income Before Tax,35874000,108021000,91729000,-20564000,142455000,80343000,80557000
21,Income Before Tax Ratio,0.0512,0.1413,0.1110,-0.0215,0.1398,0.1080,0.1220
22,Income Tax expense (Gain),18105000,42577000,42576000,1489000,38557000,5895000,21223000
23,Net Income,17769000,65444000,49153000,-22053000,111488000,75733000,59334000
24,Net Income ratio,0.0254,0.0856,0.0595,-0.0230,0.1094,0.1018,0.0898
25,EPS,2.67,9.82,1.10,-0.48,2.71,1.83,1.44
26,EPS Diluted,2.67,9.82,1.10,-0.48,2.26,1.77,1.44
27,Weighted Average Shares Outstanding,6666667,6666667,44561419,45815000,41156224,41370504,41220000
28,Weighted Average Shares Outstanding Diluted,6666667,6666667,44561419,47965000,45974000,42091000,41220000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1711291/000119312518151005/0001193125-18-151005-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129119000019/0001711291-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129120000014/0001711291-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129121000014/0001711291-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129122000011/0001711291-22-000011-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,100561000,193525000,162374000,71034000,75242000,213343000,63179000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100561000,193525000,162374000,71034000,75242000,213343000,63179000
34,Net Receivables,16716000,18559000,18514000,30512000,25990000,45324000,31774000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,271302000,300363000,413381000,-30512000,-25990000,545652000,1627086000
37,Total Current Assets,388579000,512447000,594269000,71034000,75242000,804319000,1722039000
38,PP&E,99707000,95896000,87086000,76750000,188264000,174781000,170935000
39,Goodwill,145035000,141554000,145607000,119281000,120609000,136091000,429792000
40,Intangible Assets,32696000,30901000,32769000,29784000,33927000,40425000,109930000
41,Intangible Assets,177731000,172455000,178376000,149065000,154536000,176516000,539722000
42,Investments,- -,- -,- -,- -,10000000,27370000,27900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,98807000,94860000,- -,- -
45,Total Non-Current Assets,277438000,268351000,265462000,324622000,447660000,378667000,738557000
46,Other Assets,- -,- -,- -,- -,- -,1561653000,3199153000
47,Total Assets,666017000,780798000,859731000,395656000,522902000,1182986000,2460596000
48,Accounts Payable,24899000,50846000,47950000,47278000,45819000,49106000,156408000
49,Short-Term Debt,8050000,147771000,120402000,107479000,112221000,139661000,965072000
50,Tax Payable,406000,1372000,4798000,2617000,295000,540000,680000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-22375000,82798000,- -,- -
53,Total Current Liabilities,32949000,198617000,168352000,132382000,240838000,188767000,1121480000
54,Long-Term Debt,563837000,479363000,588204000,698857000,678323000,802648000,1103152000
55,Deferred Revenue,15719000,12342000,11984000,9663000,10170000,5394000,21649000
56,Deferred Tax Liabilities,15760000,14313000,11486000,13730000,4452000,11021000,6044000
57,Other Non-Current Liabilities,- -,- -,- -,84086000,97599000,- -,- -
58,Total Non-Current Liabilities,595316000,506018000,611674000,806336000,790544000,819063000,1130845000
59,Other Liabilities,1247766000,1047344000,1295917000,- -,- -,1681377000,2309631000
60,Capital Lease Obligations,- -,- -,- -,- -,124999000,122648000,122431000
61,Total Liabilities,685399000,739943000,852595000,938718000,1031382000,1051081000,2300266000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,8000,9000,9000,9000,- -
64,Retained Earnings,71391000,136835000,3988000,-18065000,93423000,160068000,- -
65,Other Comprehensive Income/Loss,-53630000,-59985000,-42939000,-61060000,-38663000,-30132000,-32378000
66,Other Total Stockholders Equity,-37144000,-35996000,46079000,60015000,-4256000,1960000,- -
67,Total Stockholders Equity,-19382000,40855000,7136000,-19101000,50513000,131905000,160330000
68,Total Liabilities And Stockholders Equity,666017000,780798000,859731000,919617000,1081895000,1182986000,2460596000
69,Minority Interest,- -,- -,- -,-523961000,-558993000,- -,- -
70,Total Liabilities & Equity,666017000,780798000,859731000,395656000,522902000,1182986000,2460596000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1711291/000119312518151005/0001193125-18-151005-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129119000019/0001711291-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129120000014/0001711291-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129121000014/0001711291-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129122000011/0001711291-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,17769000,65444000,49153000,-22053000,111488000,75733000,59334000
74,Depreciation and Amortization,19112000,18905000,18837000,18838000,18630000,17498000,26955000
75,Deferred Income Tax,-2190000,-680000,9036000,1508000,-6396000,11691000,-18297000
76,Stock Based Compensation,1271000,1148000,965000,8210000,10323000,12910000,13976000
77,Change in Working Capital,-307634000,123868000,81822000,-655617000,-104248000,165596000,-538036000
78,Accounts Receivable,- -,- -,- -,- -,-12844000,23714000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-2168000,2010000,8896000,-2999000,9798000,-11612000,43832000
81,Other Working Capital,388579000,512447000,594269000,-61348000,-165596000,- -,-538036000
82,Other Non-Cash Items,288786000,-160973000,-142403000,1183578000,620834000,121791000,779241000
83,Cash Provided by Operating Activities,17114000,47712000,17410000,534464000,650631000,405219000,323173000
84,CAPEX,-19832000,-16026000,-9757000,-14265000,-13981000,-10920000,-23648000
85,Acquisitions Net,- -,- -,- -,- -,- -,-14418000,-91203000
86,Purchases of Investments,- -,- -,- -,- -,-8168000,-12757000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-6423000,3104000,-9575000,-606580000,-522324000,-216961000,-808637000
89,Cash Used for Investing Activites,-26255000,-12922000,-19332000,-620845000,-544473000,-255056000,-923488000
90,Debt Repayment,-69000000,-56989000,-621375000,-858492000,-257479000,-112482000,-31250000
91,Common Stock Issued,- -,- -,81117000,11167000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-71942000,-5908000,-45448000
93,Dividends Paid,- -,- -,-182000000,- -,- -,-9088000,- -
94,Other Financing Activites,56679000,116371000,685567000,866417000,231453000,134807000,- -
95,Cash Used/Provided by Financing Activities,-12321000,59382000,-36691000,19092000,-97968000,7329000,- -
96,Effect of Forex Changes on Cash,-8064000,-1208000,7462000,-7345000,1974000,595000,- -
97,Net Change In Cash,-29526000,92964000,-31151000,-74634000,10164000,158087000,- -
98,Cash at the End of Period,100561000,193525000,162374000,99857000,110021000,268108000,- -
99,Cash at the Beginning of Period,130087000,100561000,193525000,174491000,99857000,110021000,- -
100,Free Cash Flow,-2718000,31686000,7653000,520199000,636650000,394299000,299525000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1711291/000119312518151005/0001193125-18-151005-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129119000019/0001711291-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129120000014/0001711291-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129121000014/0001711291-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1711291/000171129122000011/0001711291-22-000011-index.htm
102,false,,,,,,,
