,https://roic.ai/company/CVVUF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008000,477000,- -,- -,- -,- -,- -,- -,- -,10000,8000,10000,18000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1008000,-477000,- -,- -,- -,- -,- -,- -,- -,-10000,-8000,-10000,-18000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409000,2732000,2028000,1660000,1130000,652000,979000,753000,1678000,993000,1441000,1431000,3192000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409000,2732000,2122000,1660000,1130000,652000,979000,753000,1678000,993000,1441000,1431000,3192000
9,Other Expenses,- -,- -,615690,427199,438506,738078,1812617,1640607,2043566,3853365,179000,227000,264000,5255000,1168000,-47000,-1776000,243000,378000,130000,402000,2978000,625000
10,Operating Expenses,- -,- -,615690,427199,438506,738078,1812617,1640607,2043566,3853365,2588000,2959000,2386000,6915000,2298000,605000,-797000,996000,2056000,1123000,1843000,4409000,3817000
11,COGS and Expenses,- -,- -,615690,427199,438506,738078,1812617,1640607,2043566,3853365,3596000,3436000,2386000,6915000,2298000,605000,-797000,996000,2056000,1133000,1851000,4419000,3835000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000,88000,90000,119000,24000,10000,15000,5000,9000,5000,9000,41000,21000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,28133,21138,16049,16883,23471,36242,75260,188197,232000,211000,178000,136000,108000,80000,62000,48000,32000,10000,8000,10000,18000
15,EBITDA,- -,- -,2073899,230710,-305677,-736328,-1143093,-1429226,-798357,-3688903,-2970000,-3136000,-2243000,-6706000,-2104000,-412000,870000,-297000,-1955000,-1106000,-1833000,-4408000,-3808000
16,EBITDA ratio,- -,- -,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,-2652967,-1049535,-685605,-793541,-2415829,-1810006,-3983460,-4814111,- -,- -,-2386000,-6915000,-2298000,-605000,942000,-972000,-2056000,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-2661456,-636771,-116780,15133,-30689,46237,981215,1243424,-227000,-1000,297000,46000,-62000,-103000,-141000,-670000,-60000,-12000,58000,289000,69000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-2446518,-1763769,-3002245,-3570687,-3823000,-3437000,-2089000,-6869000,-2360000,-708000,801000,-1642000,-2116000,-1145000,-1793000,-4130000,-3766000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-534300,-1435610,-1173486,-840801,-1107000,-461000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2984772,-502796,-3267300,-1057328,-558663,-712481,-1912218,-328159,-1828759,-2729886,-2716000,-2976000,-2138000,-6869000,-2360000,-708000,801000,-1642000,-2116000,-1145000,-1793000,-4130000,-3766000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-7.47,-1.03,-4.40,-0.90,-0.40,-0.30,-0.60,-0.10,-0.20,-0.20,-0.20,-0.20,-0.12,-0.34,-0.11,-0.03,0.04,-0.07,-0.08,-0.04,-0.06,-0.08,-0.06
26,EPS Diluted,-7.47,-1.03,-4.40,-0.90,-0.40,-0.30,-0.60,-0.10,-0.20,-0.20,-0.20,-0.20,-0.12,-0.34,-0.11,-0.03,0.03,-0.07,-0.08,-0.04,-0.06,-0.08,-0.06
27,Weighted Average Shares Outstanding,399723,487061,746572,1127871,1376033,2046886,3335664,5563344,8691991,11704323,13716000,15376600,18114000,20425000,22058000,22066000,22068000,22169000,26349000,27861000,32003000,49334000,64407000
28,Weighted Average Shares Outstanding Diluted,399723,487061,746572,1127871,1467511,2686443,4037559,6197639,9481173,11704323,13716000,15376600,18114000,20425000,22058000,22066000,26100000,22169000,26349000,27861000,32003000,49334000,64407000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023109/999999999702056375/9999999997-02-056375-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000102310903000012/0001023109-03-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105000777/0001137171-05-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105001452/0001137171-05-001452-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717106001821/0001137171-06-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717107001174/0001137171-07-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717108000992/0001137171-08-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717109000806/0001137171-09-000806-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717110000489/0001137171-10-000489-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717111000454/0001137171-11-000454-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717112000303/0001137171-12-000303-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717113000279/0001137171-13-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717114000201/0001137171-14-000201-index.htm,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,147469,1280871,2000697,4148887,10076042,7151603,6339000,8722000,11416000,4394000,1265000,1044000,1605000,943000,1197000,899000,1073000,1611000,7016000
32,Short-Term Investments,- -,- -,- -,- -,412575,401244,364983,384753,611124,882268,276000,261000,559000,223000,86000,414000,670000,548000,589000,502000,315000,254000,669000
33,Cash and Short-Term Investments,- -,- -,- -,- -,560044,1682115,2365680,4533640,10687166,8033871,6615000,8983000,11975000,4617000,1351000,1458000,2275000,1491000,1786000,1401000,1388000,1865000,7685000
34,Net Receivables,- -,- -,- -,- -,24958,10819,117833,742480,2779134,2151496,996000,1148000,422000,243000,58000,52000,98000,85000,59000,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,18191,364317,191822,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,110000,121000,130000
37,Total Current Assets,- -,- -,- -,- -,585002,1692934,2483513,5294311,13830617,10377189,7611000,10131000,12397000,4860000,1409000,1510000,2373000,1576000,1845000,1468000,1498000,1986000,7815000
38,PP&E,- -,- -,- -,- -,1810402,2087048,3558629,10811604,18698790,31919280,39960000,46988000,54758000,1860000,1613000,1107000,958000,571000,109000,218000,394000,420000,482000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317000,391000,- -,345000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,65887,731007,1029055,2716187,678031,710751,- -,- -,343000,- -,203000,189000,131000,131000,128000,72000,75000,49000,49000
45,Total Non-Current Assets,- -,- -,- -,- -,1876289,2818055,4587684,13527791,19376821,32630031,40277000,47379000,55101000,2205000,1816000,1296000,1089000,702000,237000,290000,469000,469000,531000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,2461291,4510989,7071197,18822102,33207438,43007220,47888000,57510000,67498000,7065000,3225000,2806000,3462000,2278000,2082000,1758000,1967000,2455000,8346000
48,Accounts Payable,- -,- -,- -,- -,54710,67298,92801,275281,1326060,2596421,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000,157000,154000,172000
49,Short-Term Debt,- -,- -,- -,- -,7350,- -,4500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3000,7500,22510,2535000,1626000,6057000,1792000,195000,382000,137000,156000,196000,- -,- -,- -,150000
53,Total Current Liabilities,- -,- -,- -,- -,62060,67298,97301,278281,1333560,2618931,2535000,1626000,6057000,1792000,195000,382000,137000,156000,196000,210000,157000,154000,322000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,946017,1376406,- -,3399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,946017,1376406,- -,3399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,7350,- -,4500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,62060,67298,97301,278281,2279577,3995337,2535000,5025000,6057000,1792000,195000,382000,137000,156000,196000,210000,157000,154000,322000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75219000,76337000,79600000,86265000
64,Retained Earnings,- -,- -,- -,- -,-16307695,-17020176,-18932394,-19260553,-21089312,-23819198,-26379000,-30668000,-32806000,-78496000,-80856000,-81564000,-80763000,-82405000,-84521000,-85666000,-85644000,-89774000,-93540000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,165812,9000,10000,267000,53000,10681000,10783000,-64000,11202000,11901000,11995000,10680000,12475000,15299000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,2399231,4443691,6973896,18543821,30927861,39011883,37753000,39885000,42441000,5273000,3030000,2424000,3325000,2122000,1886000,1548000,1810000,2301000,8024000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,2461291,4510989,7071197,18822102,33207438,43007220,40288000,44910000,48498000,7065000,3225000,2806000,3462000,2278000,2082000,1758000,1967000,2455000,8346000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,12600000,19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,2461291,4510989,7071197,18822102,33207438,43007220,47888000,57510000,67498000,7065000,3225000,2806000,3462000,2278000,2082000,1758000,1967000,2455000,8346000
