,https://roic.ai/company/CTXR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,1797045,2933199,2936252,6562925,8596898,8812810,12240503
6,General and Administrative Exp.,25637,19618,28118,- -,1432884,4516092,7050059,7226218,7001463,8897875,11291391
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25637,19618,28118,- -,1432884,4516092,7050059,7226218,7001463,8897875,11291391
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25637,19618,28118,- -,3229929,7449291,9986311,13789143,15598361,17710685,23531894
11,COGS and Expenses,25637,19618,28118,- -,3229929,7449291,9986311,13789143,15598361,17710685,23531894
12,Interest Income ,- -,- -,- -,- -,3066,806,- -,- -,52660,68066,261825
13,Interest Expense (Gain),- -,2388,3251,- -,7500,8994,850789,15838,16443,15673,10839
14,Depreciation and Amortization,- -,- -,- -,- -,- -,1343,- -,1753,893,152364,164868
15,EBITDA,-24933,-19618,-28118,- -,-3226863,-7447948,-9983679,-13787390,-15597468,-17380048,-23045284
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-25637,-19618,-28118,- -,-3229929,-7449291,-9986311,-13789143,-15598361,-17710685,-23531894
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-704,-2388,-3251,- -,327661,-846407,-398642,1252505,36217,162600,477460
20,Income Before Tax,-26341,-22006,-31369,- -,-2902268,-8295698,-10384953,-12536638,-15562144,-17548085,-23054434
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-26341,-22006,-31369,- -,-2902268,-8295698,-10384953,-12536638,-15562144,-17548085,-23054434
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.04,-0.03,-0.04,- -,-1.35,-2.25,-1.89,-1.17,-0.77,-0.45,-0.23
26,EPS Diluted,-0.04,-0.03,-0.04,- -,-1.35,-2.25,-1.89,-1.17,-0.77,-0.45,-0.23
27,Weighted Average Shares Outstanding,750003,750003,750003,2122373,2122373,3623226,5482494,10731875,20161854,39165248,108599080
28,Weighted Average Shares Outstanding Diluted,750003,750003,750003,2122373,2122373,3623226,5482494,10731875,20161854,39165248,108599080
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,212,135,- -,1552060,676137,294351,3204108,9184003,7893804,13859748,70072946
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,212,135,- -,1552060,676137,294351,3204108,9184003,7893804,13859748,70072946
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,818343,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,60000,598484,220246,57732,48111,122237,2741404
37,Total Current Assets,212,135,- -,1552060,736137,892835,3424354,10060078,7941915,13981985,72814350
38,PP&E,- -,- -,- -,- -,- -,3742,3236,1483,590,987781,829851
39,Goodwill,- -,- -,- -,- -,- -,1586796,1586796,1586796,1586796,9346796,9346796
40,Intangible Assets,- -,- -,- -,5401,5401,19400000,19400000,19400000,19400000,19400000,59400000
41,Intangible Assets,- -,- -,- -,5401,5401,20986796,20986796,20986796,20986796,28746796,68746796
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,66968,2167,2167,57093,57093,38062
45,Total Non-Current Assets,- -,- -,- -,5401,5401,21057506,20992199,20990446,21044479,29791670,69614709
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,43773655,142429059
48,Accounts Payable,906,- -,11474,106169,559150,909156,602431,1573444,2713542,1856235,1277095
49,Short-Term Debt,18493,17047,3209,600000,- -,672970,172970,172970,172970,331969,177237
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4654,28935,11,1593227,817601,3601832,1693764,1438426,1721210,1908929,2527960
53,Total Current Liabilities,24053,45982,14694,2299396,1376751,5183958,2469165,3184840,4607722,4097133,3982292
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,164583,678234
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4985800,4985800
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,855471,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6005854,5664034
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1014470,855471
61,Total Liabilities,24053,45982,14694,2299396,1376751,5183958,2469165,3184840,4607722,10102987,9646326
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18000,18000,18000,30025,34118,73138,8346,16199,28930,55577,145979
64,Retained Earnings,-41841,-63847,-95216,-6138281,-9040549,-17336247,-27721200,-40257838,-55819982,-70593867,-96047821
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4780,-7412,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,62522,5366321,8371218,34034272,49667654,68107323,80169724,104208958,228084195
67,Total Stockholders Equity,-23841,-45847,-14694,-741935,-635213,16766383,21947388,27865684,24378672,33670668,132182353
68,Total Liabilities And Stockholders Equity,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,43773655,141828679
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600380
70,Total Liabilities & Equity,212,135,- -,1557461,741538,21950341,24416553,31050524,28986394,43773655,142429059
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-26341,-22006,-31369,- -,-2902268,-8295698,-10384953,-12536638,-15562144,-17548085,-23054434
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1343,- -,1753,893,152364,164868
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,486271,732151,986620,779701,715983,803261,1454979
77,Change in Working Capital,5560,- -,-22006,31153,-732642,106722,-3650509,5246312,5920049,-3541045,6550659
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,906,-906,11474,-100000,452981,105230,-306725,971013,1140098,-857307,-579140
81,Other Working Capital,-23841,-23841,-45847,-14694,-747336,-640614,-4291123,955189,6875238,3334193,9884852
82,Other Non-Cash Items,- -,1682,32771,-211153,763223,1555061,5077637,-4809266,-3512532,3202847,-9366486
83,Cash Provided by Operating Activities,-20781,-20324,-20604,-180000,-2385416,-5900421,-7971205,-11318138,-12437751,-16930658,-24250414
84,CAPEX,- -,- -,- -,- -,- -,- -,-2126,- -,- -,-1831,-40006938
85,Acquisitions Net,- -,- -,- -,- -,- -,255748,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,255748,-2126,- -,- -,-1831,-40006938
90,Debt Repayment,- -,- -,-30147,- -,- -,-600000,- -,- -,- -,- -,-172970
91,Common Stock Issued,- -,- -,- -,- -,1509493,5427688,6673048,16172885,11124336,15577301,89430752
92,Common Stock Repurchased,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18493,20247,50616,1630000,- -,435199,4210040,1125148,23216,7321132,31212768
95,Cash Used/Provided by Financing Activities,18493,20247,20469,1680000,1509493,5262887,10883088,17298033,11147552,22898433,120470550
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2288,-77,- -,1500000,-875923,-381786,2909757,5979895,-1290199,5965944,56213198
98,Cash at the End of Period,212,135,- -,1500000,676137,294351,3204108,9184003,7893804,13859748,70072946
99,Cash at the Beginning of Period,2500,212,135,- -,1552060,676137,294351,3204108,9184003,7893804,13859748
100,Free Cash Flow,-20781,-20324,-20604,-180000,-2385416,-5900421,-7973331,-11318138,-12437751,-16932489,-64257352
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1506251/000118518513000090/0001185185-13-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000118518514000261/0001185185-14-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793214007353/0001477932-14-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000147793215007617/0001477932-15-007617-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000147793216014315/0001477932-16-014315-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390017013191/0001213900-17-013191-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390018017214/0001213900-18-017214-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390019026259/0001213900-19-026259-index.html,https://www.sec.gov/Archives/edgar/data/1506251/000121390020043004/0001213900-20-043004-index.htm,https://www.sec.gov/Archives/edgar/data/1506251/000121390021065464/0001213900-21-065464-index.htm
102,false,,,,,,,,,,,
