,https://roic.ai/company/ICD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,15123000,42786000,70347000,88418000,70062000,90007000,142609000,203602000,83418000,87955000
2,COGS,21304000,38587000,58835000,73238000,67085000,93577000,126111000,190280000,109286000,- -
3,Gross Profit,-6181000,4199000,11512000,15180000,2977000,-3570000,16498000,13322000,-25868000,- -
4,Gross Profit Ratio,-0.4087,0.0981,0.1636,0.1717,0.0425,-0.0397,0.1157,0.0654,-0.3101,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7813000,8911000,12222000,14483000,16144000,13213000,15907000,16051000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7813000,8911000,12222000,14483000,16144000,13213000,15907000,16051000,- -,15699000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,13484000,- -
10,Operating Expenses,7813000,8911000,12222000,14483000,16144000,13213000,15907000,16051000,13484000,15699000
11,COGS and Expenses,29117000,47498000,71057000,87721000,83229000,106790000,142018000,206331000,122770000,131070000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10000,257000,1648000,3254000,3045000,2983000,7562000,14415000,14627000,-15193000
14,Depreciation and Amortization,5904000,10186000,16181000,21151000,23808000,25844000,30891000,45367000,43919000,- -
15,EBITDA,-4435000,6564000,-13697000,16200000,4877000,4816000,18551000,-1128000,-38239000,-63373000
16,EBITDA ratio,-0.2933,0.1534,-0.1947,0.1832,0.0696,0.0535,0.1301,-0.0055,-0.4584,-0.7205
17,Operating Income,-13994000,-4657000,-33067000,-4951000,-18931000,-21028000,-12340000,-46495000,-82158000,-43115000
18,Operating Income ratio,-0.9253,-0.1088,-0.4701,-0.0560,-0.2702,-0.2336,-0.0865,-0.2284,-0.9849,-0.4902
19,Total Other Income Expenses (Gains),3645000,778000,1541000,-3254000,-3045000,-2983000,-7562000,-14415000,-14627000,-5065000
20,Income Before Tax,-10349000,-3879000,-31526000,-8205000,-21976000,-24011000,-19902000,-60910000,-96785000,-48180000
21,Income Before Tax Ratio,-0.6843,-0.0907,-0.4481,-0.0928,-0.3137,-0.2668,-0.1396,-0.2992,-1.1602,-0.5478
22,Income Tax expense (Gain),-5401000,-1882000,-3358000,-325000,202000,287000,91000,-122000,-147000,18532000
23,Net Income,-4948000,-1997000,-28168000,-7880000,-22178000,-24298000,-19993000,-60788000,-96638000,-66712000
24,Net Income ratio,-0.3272,-0.0467,-0.4004,-0.0891,-0.3165,-0.2700,-0.1402,-0.2986,-1.1585,-0.7585
25,EPS,-9.80,-1.80,-33.00,-6.60,-13.40,-12.80,-8.40,-16.20,-19.69,-9.11
26,EPS Diluted,-9.80,-1.80,-33.00,-6.60,-13.40,-12.80,-8.40,-16.20,-19.69,-9.11
27,Weighted Average Shares Outstanding,507050,1142757,853900,1195200,1655900,1888100,2379000,3773550,4907000,7321000
28,Weighted Average Shares Outstanding Diluted,507050,1142757,853900,1195200,1655900,1888100,2379000,3773550,4907000,7321000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1537028/000153702815000002/icd-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702816000018/0001537028-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702817000064/0001537028-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702818000029/0001537028-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702819000025/0001537028-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702820000057/0001537028-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702821000041/0001537028-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702822000007/0001537028-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,37407000,2730000,10757000,5344000,7071000,2533000,12247000,5206000,12279000,4140000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,37407000,2730000,10757000,5344000,7071000,2533000,12247000,5206000,12279000,4140000
34,Net Receivables,5968000,9089000,19127000,18240000,11468000,18056000,41987000,35834000,10050000,22211000
35,Inventory,889000,1128000,2124000,2317000,2336000,2710000,2693000,2325000,1038000,1171000
36,Other Current Assets,3594000,8210000,4292000,3436000,7017000,7594000,28641000,13380000,4075000,4787000
37,Total Current Assets,47858000,21157000,36300000,29337000,27892000,30893000,85568000,56745000,27442000,32309000
38,PP&E,83476000,129488000,250498000,283378000,273188000,272388000,496197000,457530000,382239000,362346000
39,Goodwill,11007000,11007000,- -,- -,- -,- -,1627000,- -,- -,- -
40,Intangible Assets,25095000,22357000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,36102000,33364000,- -,- -,- -,- -,1627000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,19037000
44,Other Non-Current Assets,- -,959000,2749000,2074000,1027000,1364000,1470000,2726000,3528000,-16588000
45,Total Non-Current Assets,119578000,163811000,253247000,285452000,274215000,273752000,499294000,460256000,385767000,364795000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,167436000,184968000,289547000,314789000,302107000,304645000,584862000,517001000,413209000,397104000
48,Accounts Payable,10121000,9061000,21993000,8584000,10031000,11627000,16312000,22674000,4072000,15304000
49,Short-Term Debt,- -,- -,- -,- -,441000,533000,587000,4160000,8601000,4464000
50,Tax Payable,599000,944000,2118000,2585000,1943000,2693000,4908000,4716000,2166000,- -
51,Deferred Revenue,601000,684000,1281000,4591000,1139000,762000,1374000,701000,119000,- -
52,Other Current Liabilities,1817000,3789000,6097000,5615000,6682000,6207000,27845000,21028000,9640000,18519000
53,Total Current Liabilities,12539000,13534000,29371000,18790000,18293000,19129000,46118000,48563000,22432000,38287000
54,Long-Term Debt,- -,19780000,22519000,62708000,26078000,49278000,130012000,134941000,137633000,141740000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,19037000
56,Deferred Tax Liabilities,5973000,3593000,323000,193000,396000,683000,774000,652000,505000,19037000
57,Other Non-Current Liabilities,4224000,3189000,598000,361000,88000,73000,16425000,1249000,5606000,-16226000
58,Total Non-Current Liabilities,10197000,26562000,23440000,63262000,26562000,50034000,147211000,136842000,143744000,163588000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,475000,8885000,- -
61,Total Liabilities,22736000,40096000,52811000,82052000,44855000,69163000,193329000,185405000,166176000,201875000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,123000,124000,246000,244000,376000,380000,771000,762000,62000,102000
64,Retained Earnings,-5124000,-7121000,-35289000,-43169000,-65347000,-89645000,-109638000,-170426000,-267064000,-333776000
65,Other Comprehensive Income/Loss,-2111000,-9471000,-21870000,-41048000,-62249000,-85061000,-113467000,-153426000,- -,- -
66,Other Total Stockholders Equity,151812000,161340000,293649000,316710000,384472000,409808000,613867000,654686000,514035000,528903000
67,Total Stockholders Equity,144700000,144872000,236736000,232737000,257252000,235482000,391533000,331596000,247033000,195229000
68,Total Liabilities And Stockholders Equity,167436000,184968000,289547000,314789000,302107000,304645000,584862000,517001000,413209000,397104000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,167436000,184968000,289547000,314789000,302107000,304645000,584862000,517001000,413209000,397104000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1537028/000153702815000002/icd-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702816000018/0001537028-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702817000064/0001537028-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702818000029/0001537028-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702819000025/0001537028-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702820000057/0001537028-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702821000041/0001537028-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702822000007/0001537028-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-4948000,-1997000,-28168000,-7880000,-22178000,-24298000,-19993000,-60788000,-96638000,-66712000
