,https://roic.ai/company/UEPS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,157565,41017000,131100000,176300000,196100000,224000000,254100000,246800000,280400000,343400000,390300000,452100000,581700000,625979000,590749000,610066000,612889000,360990000,150997000,130786000
2,COGS,- -,- -,- -,- -,- -,- -,- -,39100000,50700000,50600000,54400000,67500000,70100000,73000000,109900000,141000000,196800000,260200000,297856000,290101000,292383000,304536000,215348000,109006000,96248000
3,Gross Profit,- -,- -,- -,- -,- -,- -,41017000,92000000,125600000,145500000,169600000,186600000,176700000,207400000,233500000,249300000,255300000,321500000,328123000,300648000,317683000,308353000,145642000,41991000,34538000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,0.7018,0.7124,0.7420,0.7571,0.7344,0.7160,0.7397,0.6800,0.6387,0.5647,0.5527,0.5242,0.5089,0.5207,0.5031,0.4035,0.2781,0.2641
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,674871,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,612,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75256000,- -
8,"Selling, General and Administrative Exp.",- -,- -,267161,336210,675483,322462,320308,39677000,47714000,48627000,61625000,65362000,64833000,80854000,119692000,151615000,191552000,168072000,158919000,145886000,179262000,193003000,202056000,75256000,84063000
9,Other Expenses,- -,- -,1450,2015,2396,- -,955,5676000,6591000,7239000,11050000,10822000,16627000,19348000,34671000,36499000,40599000,40286000,40685000,40394000,41378000,35484000,37349000,4647000,4347000
10,Operating Expenses,- -,- -,268611,338225,677879,- -,321263,45353000,54305000,55866000,72675000,76184000,81460000,100202000,154363000,188114000,232151000,208358000,199604000,186280000,220640000,228487000,239405000,79903000,88410000
11,COGS and Expenses,- -,- -,268611,338225,677879,323793,- -,95600000,105000000,106500000,127100000,143700000,153400000,210600000,306000000,329100000,429000000,479900000,497460000,476381000,513023000,553940000,487291000,193660000,184658000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7654000,8576000,12083000,14817000,16355000,15292000,20897000,17885000,7229000,2805000,2416000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8672000,9345000,7966000,7473000,4456000,3423000,3484000,8941000,10724000,7641000,2982000
14,Depreciation and Amortization,- -,- -,1450,2015,2396,1331,955,5676000,6591000,5710000,11050000,10822000,17082000,19348000,34671000,36499000,40599000,40286000,40685000,40394000,41378000,35484000,37349000,13299000,4347000
15,EBITDA,- -,- -,-267161,-336210,-675483,-165611,-281868045,44903000,80857000,101563000,112324000,136714000,146426000,99170000,79468000,106480000,76221000,157238000,184012000,168351000,160288000,154907000,-254809000,-54762000,-23168000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-1.0511,-6.8720,0.3425,0.4586,0.5179,0.5014,0.5380,0.5933,0.3537,0.2314,0.2728,0.1686,0.2703,0.2940,0.2850,0.2627,0.2527,-0.7059,-0.3627,-0.1771
17,Operating Income,- -,- -,- -,- -,-677879,-166228,-280246,35478000,71303000,89613000,96876000,110386000,93435000,69811000,37428000,61150000,23162000,101798000,128519000,114368000,97043000,58949000,-113508000,-44248000,-53872000
18,Operating Income ratio,- -,- -,- -,- -,-Infinity,-1.0550,-0.0068,0.2706,0.4044,0.4570,0.4325,0.4344,0.3786,0.2490,0.1090,0.1567,0.0512,0.1750,0.2053,0.1936,0.1591,0.0962,-0.3144,-0.2930,-0.4119
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-281588754,3622000,2397000,5887000,4424000,15714000,37465000,9089000,-1028000,-750000,4138000,7302000,11899000,11869000,17413000,41417000,-189518000,-20768000,48253000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-281869000,39100000,73700000,95500000,101300000,126100000,130900000,78900000,36400000,60400000,27300000,109100000,140418000,126237000,114456000,100366000,-303026000,-65016000,-5619000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-6.8720,0.2982,0.4180,0.4870,0.4522,0.4963,0.5304,0.2814,0.1060,0.1548,0.0604,0.1876,0.2243,0.2137,0.1876,0.1638,-0.8394,-0.4306,-0.0430
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,25927000,29666000,36653000,37574000,39192000,42744000,40822000,33525000,15936000,14656000,39379000,44136000,42080000,42472000,48627000,3725000,2656000,7560000
23,Net Income,- -,- -,-267161,-336210,-677595,-166942,-281869000,13300000,44600000,59200000,63700000,86700000,86600000,39000000,2600000,44700000,13000000,70100000,94735000,82454000,72954000,61855000,-306607000,-78358000,-38057000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-1.0595,-6.8720,0.1014,0.2530,0.3019,0.2844,0.3412,0.3509,0.1391,0.0076,0.1145,0.0288,0.1205,0.1513,0.1396,0.1196,0.1009,-0.8494,-0.5189,-0.2910
25,EPS,- -,- -,-0.12,-0.18,-0.24,-0.06,-0.12,0.40,0.81,1.05,1.12,1.52,1.55,0.84,0.06,0.99,0.28,1.51,2.03,1.72,1.34,0.69,-5.42,-1.37,-0.67
26,EPS Diluted,- -,- -,-0.12,-0.18,-0.24,-0.06,-0.12,0.38,0.80,1.03,1.11,1.50,1.54,0.84,0.06,0.99,0.28,1.50,2.02,1.71,1.33,0.69,-5.42,-1.37,-0.67
27,Weighted Average Shares Outstanding,- -,- -,1812529,2184270,2642695,2642695,2642695,22539202,27180601,56411429,56856250,57237000,55953000,46245000,45175000,45187000,45057000,46484000,46733000,47863000,54539000,56807000,56760000,56003000,56765000
28,Weighted Average Shares Outstanding Diluted,- -,- -,1812529,2184270,2642695,2642695,2642695,22539202,27680868,57506796,57368468,57612000,56140000,46435000,45231000,45246000,45182000,46603000,46913000,48105000,54648000,56858000,56778000,56003000,56898000
