,https://roic.ai/company/NOBH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17500000,18500000,17800000,10900000,11800000,10900000,9700000,9700000,17200000,23100000,30800000,36500000,41700000,44800000,40300000,29565434,30287663,37916463,39229156,50018542,56710925,59957571000,40622897000,697900000,11869333,48075000,13428699,15834971,18525950,21152259,27836804,34053290,37543071,42812265,46347931,41612307,45062558
2,COGS,16400000,16900000,16000000,10500000,10400000,9700000,8500000,8700000,14800000,18000000,23600000,27100000,30700000,32500000,29500000,21761798,21851960,28114834,29362197,37013892,40243309,42279048000,28838274000,21845686000,9514452,11821007000,12962225,12975478,15149277,16780713,21701429,26117155,28881992,32132238,32694931,29481820,33630362
3,Gross Profit,1100000,1600000,1800000,400000,1400000,1200000,1200000,1000000,2400000,5100000,7200000,9400000,11000000,12300000,10800000,7803636,8435703,9801629,9866959,13004650,16467616,17678523000,11784623000,-21147786000,2354881,-11772932000,466474,2859493,3376673,4371546,6135375,7936135,8661079,10680027,13653000,12130487,11432196
4,Gross Profit Ratio,0.0629,0.0865,0.1011,0.0367,0.1186,0.1101,0.1237,0.1031,0.1395,0.2208,0.2338,0.2575,0.2638,0.2746,0.2680,0.2639,0.2785,0.2585,0.2515,0.2600,0.2904,0.2949,0.2901,-30.3020,0.1984,-244.8868,0.0347,0.1806,0.1823,0.2067,0.2204,0.2331,0.2307,0.2495,0.2946,0.2915,0.2537
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9129613000,-7460667000,-6604195000,- -,-3857306000,3923737,2709481,2594981,3060516,- -,3782336,4305205,4957201,5352319,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1700000,2200000,2000000,1400000,1200000,1100000,2800000,800000,900000,3200000,4300000,5500000,6000000,6200000,7000000,5624358,5435803,5871930,5789361,6803806,8125206,9129613,7460667,6604195,4585522,3857306,3923737,2709481,2594981,3060516,3193923,3782336,4305205,4957201,5352319,4984318,5286172
9,Other Expenses,200000,200000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,216765,- -,- -,- -,- -,- -,-9138742613,-7468127667,-6610799195,- -,-3861163306,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1900000,2400000,2100000,1500000,1300000,1200000,2900000,900000,1000000,3300000,4400000,5600000,6200000,6400000,7300000,5841123,5435803,5871930,5789361,6803806,8125206,-9129613000,-7460667000,-6604195000,4585522,-3857306000,3923737,2709481,2594981,3060516,3193923,3782336,4305205,4957201,5352319,4984318,5286172
11,COGS and Expenses,18300000,19300000,18100000,12000000,11700000,10900000,11400000,9600000,15800000,21300000,28000000,32700000,36900000,38900000,36800000,27602921,27287763,33986764,35151558,43817698,48368515,33149435000,21377607000,15241491000,14099974,7963701000,16885962,15684959,17744258,19841229,24895352,29899491,33187197,37089439,38047250,34466138,38916534
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376753,- -,- -,- -,- -,391289,254010,169521,59834,53346,63137,59985,112802,149613,362121,556142,286897,180635
13,Interest Expense (Gain),- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,200000,200000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,216765,200458,236176,232377,288942,297114,452252,457774,305332,217075,168169,134982,116248,102968,95843,110169,98616,113757,148204,163077,216387,900091
15,EBITDA,-1000000,-1000000,200000,-1100000,1000000,900000,-1300000,400000,2300000,2700000,4100000,4000000,5100000,6500000,4800000,3739868,4036371,5046078,4965856,7321751,9669331,2794627252,2017260774,910170332,-1941357,-794961831,-5376493,176041,843756,1357777,3161370,9282852,5282007,6753666,11942606,8085472,8018824
16,EBITDA ratio,-0.0571,-0.0541,0.0112,-0.1009,0.0847,0.0826,-0.1340,0.0412,0.1337,0.1169,0.1331,0.1096,0.1223,0.1451,0.1191,0.1265,0.1333,0.1331,0.1266,0.1464,0.1705,0.0466,0.0497,1.3042,-0.1636,-16.5359,-0.4004,0.0111,0.0455,0.0642,0.1136,0.2726,0.1407,0.1578,0.2577,0.1943,0.1779
17,Operating Income,-800000,-800000,-300000,-1100000,100000,- -,-1700000,100000,1400000,1800000,2800000,3800000,4800000,5900000,3500000,1962513,2999900,3929699,4077598,6200844,8342410,8548910,4323956,1615141,-2230641,-816631,-3457263,150012,781692,1311030,2941452,4153799,4355874,5722826,8300681,7146169,6146024
18,Operating Income ratio,-0.0457,-0.0432,-0.0169,-0.1009,0.0085,- -,-0.1753,0.0103,0.0814,0.0779,0.0909,0.1041,0.1151,0.1317,0.0868,0.0664,0.0990,0.1036,0.1039,0.1240,0.1471,0.0001,0.0001,0.0023,-0.1879,-0.0170,-0.2575,0.0095,0.0422,0.0620,0.1057,0.1220,0.1160,0.1337,0.1791,0.1717,0.1364
19,Total Other Income Expenses (Gains),-300000,-300000,400000,100000,700000,700000,300000,100000,200000,200000,-100000,100000,100000,400000,1000000,1560590,913452,880203,655881,831965,1029807,10138086090,6142193044,2732831859,72209,-1437532369,-2054212,-100253,-40904,-49096,109749,5030437,812376,882636,3478848,722916,972709
20,Income Before Tax,- -,- -,- -,- -,800000,800000,- -,200000,1600000,2000000,2700000,3900000,4900000,6300000,4500000,3523103,3913352,4809902,4733479,7032809,9372217,10146635000,6146517000,2734447000,-2158432,-1438349000,-5511475,49759,740788,1261934,3051201,9184236,5168250,6605462,11779529,7869085,7118733
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0678,0.0734,- -,0.0206,0.0930,0.0866,0.0877,0.1068,0.1175,0.1406,0.1117,0.1192,0.1292,0.1269,0.1207,0.1406,0.1653,0.1692,0.1513,3.9181,-0.1818,-29.9189,-0.4104,0.0031,0.0400,0.0597,0.1096,0.2697,0.1377,0.1543,0.2542,0.1891,0.1580
22,Income Tax expense (Gain),- -,- -,- -,- -,300000,300000,- -,100000,600000,800000,1100000,1500000,1900000,2400000,1700000,1255000,1358000,1675000,1655000,2400000,3200000,-3676230000,-2064857000,-912291000,-1106589,- -,- -,10034,-6318,4036,135806,3219042,1858267,1641830,2969109,1885387,1719925
23,Net Income,-1200000,-1200000,100000,-1200000,500000,500000,-1400000,200000,1600000,1800000,2900000,2400000,3000000,3900000,2800000,2268103,2477913,3134902,3078479,4632809,6172217,6470405000,4081660000,1822156000,-1051843,-795130000,-5511475,49759,747106,1257898,2915395,5965194,3309983,4963632,8810420,5983698,5398808
24,Net Income ratio,-0.0686,-0.0649,0.0056,-0.1101,0.0424,0.0459,-0.1443,0.0206,0.0930,0.0779,0.0942,0.0658,0.0719,0.0871,0.0695,0.0767,0.0818,0.0827,0.0785,0.0926,0.1088,0.1079,0.1005,2.6109,-0.0886,-16.5394,-0.4104,0.0031,0.0403,0.0595,0.1047,0.1752,0.0882,0.1159,0.1901,0.1438,0.1198
25,EPS,-0.20,-0.22,0.01,-0.25,0.09,0.11,-0.34,0.05,0.38,0.41,0.68,0.54,0.68,0.81,0.58,0.49,0.59,0.76,0.77,1.15,1.53,1.60,1.00,0.45,-0.26,-0.20,-1.36,0.01,0.18,0.32,0.72,1.45,0.83,1.27,2.32,1.64,1.50
26,EPS Diluted,-0.20,-0.22,0.01,-0.25,0.09,0.11,-0.34,0.05,0.38,0.41,0.68,0.54,0.68,0.79,0.58,0.49,0.58,0.76,0.77,1.13,1.49,1.59,1.00,0.45,-0.26,-0.20,-1.36,0.01,0.18,0.32,0.72,1.45,0.83,1.27,2.32,1.64,1.49
27,Weighted Average Shares Outstanding,6000000,5454545,5364000,4800000,5555556,4545455,4117647,4000000,4210526,4390244,4264706,4444444,4411765,4896916,4827586,4610220,4200863,4107748,3996424,4016797,4034394,4049172,4084691,4088121,4064208,4056144,4056144,4056843,4057053,4059668,4052865,4021019,4002436,3912188,3803400,3638592,3599133
28,Weighted Average Shares Outstanding Diluted,6000000,5454545,5364000,4800000,5555556,4545455,4117647,4000000,4210526,4390244,4264706,4444444,4411765,4986627,4827586,4610220,4286778,4130464,4021996,4116337,4134923,4069470,4094001,4091645,4064208,4056144,4056144,4056843,4057053,4060654,4053362,4022083,4003768,3914312,3804673,3639950,3613187
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72205/000089706907000214/0000897069-07-000214-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706908000207/0000897069-08-000207-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706909000168/0000897069-09-000168-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312510016839/0001193125-10-016839-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312511144992/0001193125-11-144992-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513138339/0001193125-13-138339-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513284733/0001193125-13-284733-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312514023695/0001193125-14-023695-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312515023632/0001193125-15-023632-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312516441330/0001193125-16-441330-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312517021492/0001193125-17-021492-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312518020970/0001193125-18-020970-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312519023504/0001193125-19-023504-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312520020719/0001193125-20-020719-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312521022040/0001193125-21-022040-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312522028179/0001193125-22-028179-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
