,https://roic.ai/company/WATT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,2500000,1451941,1154009,514823,200143,327350,756793
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,126539,- -
3,Gross Profit,- -,- -,- -,2500000,- -,- -,- -,- -,200811,756793
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,- -,- -,0.6134,1.0000
5,Research and Development Exp.,- -,2109890,12511647,18825041,32832677,33230668,32871685,23228810,17066122,20572580
6,General and Administrative Exp.,- -,1204896,5059703,8030995,11248435,12103423,12387389,10360266,9153503,9001483
7,Selling and Marketing Exp.,- -,233622,2803359,3221303,3201549,5207746,6185159,5418967,5880350,8598343
8,"Selling, General and Administrative Exp.",- -,1438518,7863062,11252298,14449984,17311169,18572548,15779233,15033853,17599826
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3548408,20374709,30077339,47282661,50541837,51444233,39008043,32099975,38172406
11,COGS and Expenses,- -,3548408,20374709,30077339,47282661,50541837,51444233,39008043,32226514,38172406
12,Interest Income ,- -,-908611,-1024774,15637,13326,11679,89288,416274,71212,5492
13,Interest Expense (Gain),- -,908611,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,4717,371189,817729,957836,1309980,1054720,781228,356310,258249
15,EBITDA,- -,-2479629,-20003520,-26743973,-44859558,-48066895,-49785402,-37617861,-31475776,-41169044
16,EBITDA ratio,- -,-Infinity,-Infinity,-10.6976,-30.8963,-41.6521,-96.7039,-187.9549,-96.1533,-54.3993
17,Operating Income,- -,-4435470,-20374709,-27577339,-45830720,-49387828,-50929410,-38807900,-31899164,-41432785
18,Operating Income ratio,- -,-Infinity,-Infinity,-11.0309,-31.5651,-42.7967,-98.9261,-193.9009,-97.4467,-54.7478
19,Total Other Income Expenses (Gains),- -,-1085611,-25228401,15637,13326,10953,89288,408811,67078,5492
20,Income Before Tax,- -,-5521081,-45603110,-27561702,-45817394,-49376875,-50840122,-38399089,-31832086,-41427293
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-11.0247,-31.5560,-42.7873,-98.7526,-191.8583,-97.2417,-54.7406
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-5521081,-45603110,-27561702,-45817394,-49376875,-50840122,-38399089,-31832086,-41427293
24,Net Income ratio,- -,-Infinity,-Infinity,-11.0247,-31.5560,-42.7873,-98.7526,-191.8583,-97.2417,-54.7406
25,EPS,- -,-0.60,-5.75,-2.07,-2.60,-2.31,-1.99,-1.27,-0.76,-0.99
26,EPS Diluted,- -,-0.60,-5.75,-2.07,-2.60,-2.31,-1.99,-1.27,-0.76,-0.99
27,Weighted Average Shares Outstanding,- -,9201921,7933791,13303715,17649013,21343001,25486270,30262642,41639916,41639916
28,Weighted Average Shares Outstanding Diluted,- -,9201921,7933791,13303715,17649013,21343001,25486270,30262642,41639916,41639916
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1575793/000114420415019501/0001144204-15-019501-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420416088198/0001144204-16-088198-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420417015126/0001144204-17-015126-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000119312518086072/0001193125-18-086072-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459019005041/0001564590-19-005041-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459020010876/0001564590-20-010876-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459021015121/0001564590-21-015121-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459022011415/0001564590-22-011415-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,994,1953780,31494592,29872564,31258637,12795254,20106485,21684089,50729661,49071414
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,994,1953780,31494592,29872564,31258637,12795254,20106485,21684089,50729661,49071414
34,Net Receivables,- -,- -,- -,- -,149500,- -,44550,63144,75850,283602
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,127197,497364,803033,1455369,1107094,637708,450231,636702,874886
37,Total Current Assets,994,2080977,31991956,30675597,32863506,13902348,20788743,22197464,51442213,50229902
38,PP&E,- -,189612,1515299,1730365,2209475,1413917,1219016,2684100,1696002,1129182
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,95278,321668,269566,185959,89180,2410,2410,1610,11991
45,Total Non-Current Assets,- -,284890,1836967,1999931,2395434,1503097,1221426,2686510,1697612,1141173
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,994,2365867,33828923,32675528,35258940,15405445,22010169,24883974,53139825,51371075
48,Accounts Payable,1875,361038,1716011,2324973,4707763,2024690,1861385,1671519,1096839,1205957
49,Short-Term Debt,- -,829298,- -,- -,- -,- -,- -,722291,825431,628307
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,131959,- -,- -,12000,12000,13364
52,Other Current Liabilities,10406,6520623,792349,1075879,1867995,1622025,1778349,2063097,1576287,2498756
53,Total Current Liabilities,12281,7710959,2508360,3400852,6707717,3646715,3639734,4468907,3510557,4346384
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,40413
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1402193,576762,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1402193,576762,40413
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2124484,1402193,668720
61,Total Liabilities,12281,7710959,2508360,3400852,6707717,3646715,3639734,5871100,4087319,4386797
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,77,108,127,161,202,225,265,333,614,767
