,https://roic.ai/company/PGRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,56993000,54290000,58653000,- -,662408000,683341000,718967000,758961000,769180000,714237000,726786000
2,COGS,14656000,15402000,16195000,- -,244754000,250040000,266136000,274078000,274836000,267587000,265438000
3,Gross Profit,42337000,38888000,42458000,- -,417654000,433301000,452831000,484883000,494344000,446650000,461348000
4,Gross Profit Ratio,0.7428,0.7163,0.7239,- -,0.6305,0.6341,0.6298,0.6389,0.6427,0.6254,0.6348
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,103910000,45928000,56889000,- -,42056000,53510000,61577000,57563000,68556000,64917000,59132000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",103910000,45928000,56889000,- -,42056000,53510000,61577000,57563000,68556000,64917000,59132000
9,Other Expenses,16013000,16673000,15215000,- -,294624000,269450000,266037000,258225000,248347000,235200000,232487000
10,Operating Expenses,119923000,62601000,72104000,- -,336680000,322960000,327614000,315788000,316903000,300117000,291619000
11,COGS and Expenses,134579000,78003000,88299000,- -,581434000,573000000,593750000,589866000,591739000,567704000,557057000
12,Interest Income ,2053000,2360000,3553000,- -,674000,774000,1256000,5384000,5484000,2054000,1183000
13,Interest Expense (Gain),34204000,36908000,29373000,- -,165801000,150942000,132574000,136630000,137356000,134931000,132887000
14,Depreciation and Amortization,10701000,10104000,10582000,- -,284707000,259914000,246514000,242166000,237356000,235890000,232487000
15,EBITDA,141756000,56291000,67498000,- -,448655000,402707000,470646000,391082000,338125000,347610000,348663000
16,EBITDA ratio,2.4873,1.0369,1.1508,- -,0.6773,0.5893,0.6546,0.5153,0.4396,0.4867,0.4797
17,Operating Income,471361000,168812000,331591000,- -,70619000,107937000,123190000,121624000,177441000,146533000,2059000
18,Operating Income ratio,8.2705,3.1094,5.6534,- -,0.1066,0.1580,0.1713,0.1603,0.2307,0.2052,0.0028
19,Total Other Income Expenses (Gains),-27435000,-22090000,-17723000,- -,-46910000,-104083000,-10837000,-99492000,-206732000,-159161000,3643000
20,Income Before Tax,443926000,146722000,313868000,- -,23709000,3854000,112353000,22132000,-29291000,-12628000,5702000
21,Income Before Tax Ratio,7.7891,2.7026,5.3513,- -,0.0358,0.0056,0.1563,0.0292,-0.0381,-0.0177,0.0078
22,Income Tax expense (Gain),42973000,6984000,11029000,- -,2566000,1785000,5177000,3139000,312000,1493000,3643000
23,Net Income,53878000,2295000,16514000,- -,-4419000,-9934000,86381000,9147000,-36899000,-24704000,-20354000
24,Net Income ratio,0.9453,0.0423,0.2816,- -,-0.0067,-0.0145,0.1201,0.0121,-0.0480,-0.0346,-0.0280
25,EPS,0.22,0.01,0.07,- -,-0.02,-0.05,0.37,0.04,-0.16,-0.11,0.01
26,EPS Diluted,0.22,0.01,0.07,- -,-0.02,-0.05,0.37,0.04,-0.16,-0.11,0.01
27,Weighted Average Shares Outstanding,243999996,243999996,243999996,212106718,212106718,218053062,236372801,239526694,231538065,222436170,218706356
28,Weighted Average Shares Outstanding Diluted,243999996,243999996,243999996,212107908,212106718,218053062,236401548,239555636,231573388,222436170,218706356
