,https://roic.ai/company/YY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,4790575,19349518,50859984,131377117,300890394,592989623,908412279,1181492843,1775975272,2291547754,3655414475,2025154975,2619051000
2,COGS,4225109,16594046,29069053,66668643,145538626,298101269,551423792,734962124,1076234589,1456190435,2450884690,1455556763,1781150000
3,Gross Profit,565467,2755472,21790931,64708474,155351768,294888354,356988487,446530718,699740683,835357319,1204529785,569598212,837901000
4,Gross Profit Ratio,0.1180,0.1424,0.4284,0.4925,0.5163,0.4973,0.3930,0.3779,0.3940,0.3645,0.3295,0.2813,0.3199
5,Research and Development Exp.,1844906,7420748,16993477,28313101,44058486,69511808,84537002,97242144,119761545,173288559,362377373,320939801,279781000
6,General and Administrative Exp.,4815180,28981308,18813206,17589129,33093409,35952888,55219338,69477376,83422708,128394389,212882318,155594263,221731000
7,Selling and Marketing Exp.,725104,1863969,2129037,2716199,4117824,16528375,48194497,55771768,105883569,167076028,534490624,533392619,468407000
8,"Selling, General and Administrative Exp.",5540283,30845277,20942243,20305328,37211233,52481263,103413835,125249143,189306277,295470417,747372942,688986883,690138000
9,Other Expenses,- -,0,-0,-394917,-4468140,-1018686,-12677493,-18650307,-17336862,-17133304,-46035759,-8588462,-20376000
10,Operating Expenses,7385189,38266025,37935720,48223512,76801579,120974385,175273344,203840980,291730960,451625672,1063714555,1001338221,949543000
11,COGS and Expenses,11610298,54860070,67004773,114892155,222340204,419075654,726697136,938803105,1367965549,1907816107,3514599245,2456894984,2730693000
12,Interest Income ,6737,8443,778043,2613985,9937065,26594649,21240885,9676690,27629433,70584678,104844500,93982214,91233000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,9125613,14961136,11677324,4920129,1252508,38091270,79900663,14475000
14,Depreciation and Amortization,389866,801192,2243278,5197691,8196045,12998844,28697499,39534117,36628175,31993894,169177195,215195231,- -
15,EBITDA,-6453290,-34861186,-10773906,24137390,101868573,218599924,230288887,311073764,487127127,423813926,777794563,1805415028,-40073000
16,EBITDA ratio,-1.3471,-1.8017,-0.2118,0.1837,0.3386,0.3686,0.2535,0.2633,0.2743,0.1849,0.2128,0.8915,-0.0153
17,Operating Income,-6819723,-35510552,-15829435,16484962,78550189,173913969,178995875,255117371,413441441,383731647,152634776,-431740009,-106683000
18,Operating Income ratio,-1.4236,-1.8352,-0.3112,0.1255,0.2611,0.2933,0.1970,0.2159,0.2328,0.1675,0.0418,-0.2132,-0.0407
19,Total Other Income Expenses (Gains),4540,-74631,3028321,2429584,14813935,21872325,77482,1775253,29400538,-15295683,448798879,449758162,29094000
20,Income Before Tax,-6815183,-35585184,-12801114,18914546,93364124,195786294,179073357,256892624,442841979,368435965,601433655,18018153,-77589000
