,https://roic.ai/company/CDXI,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,72692,75354,- -,- -,35260,610320,1510880,710950,538946
2,COGS,61763,65168,- -,958580,14580,274710,699850,345390,196130
3,Gross Profit,10929,10186,- -,-958580,20680,335610,811030,365560,342816
4,Gross Profit Ratio,0.1503,0.1352,- -,-Infinity,0.5865,0.5499,0.5368,0.5142,0.6361
5,Research and Development Exp.,- -,- -,1160771,491830,347890,460990,269080,315990,136780
6,General and Administrative Exp.,20664,45342,15682220,2926938,1356735,1312231,4533872,4087096,607408
7,Selling and Marketing Exp.,- -,- -,- -,- -,117181,535242,- -,- -,- -
8,"Selling, General and Administrative Exp.",20664,45342,15682220,2926938,1473916,1847473,4533872,4087096,607408
9,Other Expenses,- -,- -,38972,23757,29096,29423,30566,39573,2661264
10,Operating Expenses,20664,45342,16881963,3442525,1850902,2337886,4833518,4442659,3405452
11,COGS and Expenses,82427,110510,16881963,4401100,1865480,2612590,5533370,4824260,3601582
12,Interest Income ,- -,- -,3692,2355,2362,3320,1944,- -,- -
13,Interest Expense (Gain),- -,- -,118780,2334,2925,3537,4227,623415,2384635
14,Depreciation and Amortization,- -,24,38972,23758,29101,29422,30570,39569,34519
15,EBITDA,-9735,-65132,-16839299,-4377340,-1751684,-5752271,-3989423,-4430056,-2636353
16,EBITDA ratio,-0.1339,-0.8643,-Infinity,-Infinity,-49.6791,-9.4250,-2.6405,-6.2312,-4.8917
17,Operating Income,-9735,-65156,-16881963,-4401100,-1830224,-2002270,-4022495,-4077103,-3062636
18,Operating Income ratio,-0.1339,-0.8647,-Infinity,-Infinity,-51.9065,-3.2807,-2.6624,-5.7347,-5.6826
19,Total Other Income Expenses (Gains),- -,- -,-112662,143220,46514,17040,-1725,-1015937,-1992871
20,Income Before Tax,-9735,-65156,-16994625,-4257880,-1783710,-1985230,-4024220,-5093040,-5055507
21,Income Before Tax Ratio,-0.1339,-0.8647,-Infinity,-Infinity,-50.5874,-3.2528,-2.6635,-7.1637,-9.3804
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-3800000,- -,- -,- -
23,Net Income,-9735,-65156,-16994625,-4257880,-1783710,-1985230,-4024220,-5093040,-5055507
24,Net Income ratio,-0.1339,-0.8647,-Infinity,-Infinity,-50.5874,-3.2528,-2.6635,-7.1637,-9.3804
25,EPS,-0.04,-0.45,-56.00,-12.00,-4.00,-4.00,-6.00,-7.49,-6.79
26,EPS Diluted,-0.04,-0.45,-56.00,-12.00,-4.00,-4.00,-6.00,-7.49,-6.79
27,Weighted Average Shares Outstanding,221431,231660,301127,334368,381137,499756,636524,680152,744555
28,Weighted Average Shares Outstanding Diluted,221431,231660,301127,334368,381137,499756,636524,680152,744555
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1544238/000149315216008455/0001493152-16-008455-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315217003138/0001493152-17-003138-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315218003937/0001493152-18-003937-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315219004071/0001493152-19-004071-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315220005021/0001493152-20-005021-index.htm,https://www.sec.gov/Archives/edgar/data/1544238/000149315221008813/0001493152-21-008813-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,22419,7529,35696,323410,158433,2236837,243753,19303,19179
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22419,7529,35696,323410,158433,2236837,243753,19303,19179
34,Net Receivables,3809,- -,- -,- -,- -,37243,157082,205768,- -
35,Inventory,- -,- -,958575,- -,10827,340425,1480380,1177831,994319
36,Other Current Assets,1189,1189,112691,90248,142795,113669,143149,183159,108301
37,Total Current Assets,27417,8718,1106962,413658,312055,2728174,2024364,1586061,1121799
38,PP&E,- -,2021,20611,13923,7755,1901,- -,12488,- -
39,Goodwill,30000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,419518,424497,430770,426610,434534,420373,302411
41,Intangible Assets,30000,- -,419518,424497,430770,426610,434534,420373,302411
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1706,1706,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,31706,3727,440129,438420,438525,428511,434534,432861,302411
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59123,12445,1547091,852078,750580,3156685,2458898,2018922,1424210
48,Accounts Payable,1686,4037,641991,662803,657094,603391,1996097,1544402,1689352
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1596537,3784089
50,Tax Payable,503,548,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1180,17307,4119511,3937156,3979010,3958771,3905557,4992236,5078092
53,Total Current Liabilities,2866,21344,4761502,4599959,4636104,4562162,5901654,8133175,10551533
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
