,https://roic.ai/company/RYTM,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,18015000,- -,7148000,19594000,22894000,50337000,109450000,90450000,104128000
6,General and Administrative Exp.,3433000,- -,3425000,6311000,9518000,28080000,36550000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3433000,- -,3425000,6311000,9518000,28080000,36550000,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,46125000,- -
10,Operating Expenses,21448000,- -,10573000,25905000,32412000,78417000,146000000,136575000,- -
11,COGS and Expenses,21448000,- -,10573000,25905000,32412000,78417000,146000000,136575000,- -
12,Interest Income ,- -,- -,- -,33000,566000,4353000,5271000,2579000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,20000,- -,- -,144000,223000,442000,834000,690000,1158000
15,EBITDA,-21428000,- -,-10073000,-25761000,-32189000,-77975000,-145166000,-135885000,- -
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
17,Operating Income,-21448000,- -,-10573000,-25905000,-32412000,-78417000,-146000000,-136575000,-170059000
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),17000,- -,-500000,33000,-1297000,4353000,5271000,2579000,- -
20,Income Before Tax,-21431000,- -,-11073000,-25872000,-33709000,-74064000,-140729000,-133996000,- -
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-21431000,- -,-11073000,-25872000,-33709000,-74064000,-140729000,-133996000,- -
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
25,EPS,-0.43,- -,-0.72,-1.78,-2.83,-2.39,-3.86,-3.04,-1.40
26,EPS Diluted,-0.43,- -,-0.72,-1.78,-2.83,-2.39,-3.86,-3.04,-1.40
27,Weighted Average Shares Outstanding,50268300,- -,16729487,14558342,13267960,31004047,36422450,44127220,49600294
28,Weighted Average Shares Outstanding Diluted,50268300,- -,16729487,14558342,13267960,31004047,36422450,44127220,49600294
29,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1649904/000155837018001923/0001558370-18-001923-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837019001698/0001558370-19-001698-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837020001896/0001558370-20-001896-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837021002121/0001558370-21-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1649904/000155837022002543/0001558370-22-002543-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7364000,- -,34869000,6540000,34236000,49542000,62294000,100854000,59248000
32,Short-Term Investments,10398000,- -,- -,3997000,113846000,202519000,230165000,71938000,235607000
33,Cash and Short-Term Investments,17762000,- -,34869000,10537000,148082000,252061000,292459000,172792000,294855000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,1025000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,377000,- -,623000,638000,2589000,6628000,9945000,8876000,12507000
37,Total Current Assets,18139000,- -,35492000,11175000,150671000,258689000,302404000,181668000,308387000
38,PP&E,24000,- -,17000,930000,840000,1120000,5716000,5002000,4335000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4658000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4658000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,23000,- -,1766000,234000,225000,401000,403000,403000,12143000
45,Total Non-Current Assets,47000,- -,1783000,1164000,1065000,1521000,6119000,5405000,21136000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18186000,- -,37275000,12339000,151736000,260210000,308523000,187073000,329523000
48,Accounts Payable,1465000,- -,1428000,1895000,2427000,7640000,10415000,4900000,5737000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,535000,606000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,249000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1595000,- -,3597000,2836000,4293000,5942000,14002000,12559000,37084000
53,Total Current Liabilities,3060000,- -,5274000,4731000,6720000,13582000,24417000,17994000,43427000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2551000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,72586000,- -,- -,311000,228000,372000,3086000,- -,1945000
58,Total Non-Current Liabilities,72586000,- -,- -,311000,228000,372000,3086000,2551000,1945000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,3558000,3086000,- -
61,Total Liabilities,75646000,- -,5274000,5042000,6948000,13954000,27503000,20545000,45372000
62,Preferred Stock,- -,- -,40000000,40000000,- -,- -,- -,- -,- -
63,Common Stock,53000,- -,10000,10000,27000,34000,44000,44000,50000
64,Retained Earnings,-58438000,- -,-50671000,-76543000,-110252000,-184602000,-325331000,-459327000,-528939000
65,Other Comprehensive Income/Loss,-46000,- -,- -,-144000,-367000,-809000,-752000,49000,-1000
66,Other Total Stockholders Equity,971000,- -,42662000,43974000,255380000,431633000,607059000,625762000,813041000
67,Total Stockholders Equity,-57460000,- -,32001000,7297000,144788000,246256000,281020000,166528000,284151000
68,Total Liabilities And Stockholders Equity,18186000,- -,37275000,12339000,151736000,260210000,308523000,187073000,329523000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18186000,- -,37275000,12339000,151736000,260210000,308523000,187073000,329523000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1649904/000155837018001923/0001558370-18-001923-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837019001698/0001558370-19-001698-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837020001896/0001558370-20-001896-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837021002121/0001558370-21-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1649904/000155837022002543/0001558370-22-002543-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-21431000,- -,-11073000,-25872000,-33709000,-74064000,-140729000,-133996000,- -
74,Depreciation and Amortization,20000,- -,- -,144000,223000,442000,834000,690000,1158000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,298000,1168000,2278000,6390000,11875000,17455000,20804000
77,Change in Working Capital,-1274000,- -,15139000,-23774000,137507000,101156000,32880000,-114313000,101286000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-780000,- -,3838000,467000,1946000,6953000,10507000,- -,18312000
81,Other Working Capital,15079000,- -,30218000,6444000,143951000,245107000,277987000,163674000,264960000
82,Other Non-Cash Items,3529000,- -,-11341000,25115000,-135759000,-95980000,-27610000,108184000,-269251000
83,Cash Provided by Operating Activities,-19156000,- -,-6977000,-23219000,-29460000,-62056000,-122750000,-121980000,-146003000
84,CAPEX,- -,- -,-17000,-1057000,-133000,-722000,-3385000,-214000,-434000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-28741000,- -,- -,-15222000,-126917000,-248592000,-295825000,-86869000,-524972000
87,Sales/Maturities of Investments,23613000,- -,- -,11169000,17006000,162166000,271240000,245614000,361247000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,102000000
89,Cash Used for Investing Activites,-5128000,- -,-17000,-5110000,-110044000,-87148000,-27970000,158531000,-62159000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,125658000,162878000,161352000,- -,161726000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19882000,- -,41711000,- -,41542000,1808000,2122000,2009000,4755000
95,Cash Used/Provided by Financing Activities,19882000,- -,41711000,- -,167200000,164686000,163474000,2009000,166481000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4402000,- -,34717000,-28329000,27696000,15482000,12754000,38560000,-41681000
98,Cash at the End of Period,7364000,- -,34869000,6540000,34236000,49943000,62697000,101257000,59576000
99,Cash at the Beginning of Period,11766000,- -,152000,34869000,6540000,34461000,49943000,62697000,101257000
100,Free Cash Flow,-19156000,- -,-6994000,-24276000,-29593000,-62778000,-126135000,-122194000,-146437000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1649904/000155837018001923/0001558370-18-001923-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837019001698/0001558370-19-001698-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837020001896/0001558370-20-001896-index.html,https://www.sec.gov/Archives/edgar/data/1649904/000155837021002121/0001558370-21-002121-index.htm,https://www.sec.gov/Archives/edgar/data/1649904/000155837022002543/0001558370-22-002543-index.htm
102,false,,,,,,,,,
