,https://roic.ai/company/MFGP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,54148000,71902000,71197000,150645080,143688424,171590579,228196514,274730920,432578881,436130292,434838199,413989000,433058000,834539000,1245049000,1380702000,3208676000,3348400000,3001000000,2899900000
2,COGS,4104000,5044000,4668000,10914094,17551441,18148907,22581595,22377600,52244322,63669228,49267502,34069000,29912000,91490000,135432000,237169000,700827000,789900000,702700000,776300000
3,Gross Profit,50044000,66858000,66529000,139730986,126136984,153441672,205614919,252353320,380334560,372461064,385570697,379920000,403146000,743049000,1109617000,1143533000,2507849000,2558500000,2298300000,2123600000
4,Gross Profit Ratio,0.9242,0.9298,0.9344,0.9276,0.8779,0.8942,0.9010,0.9185,0.8792,0.8540,0.8867,0.9177,0.9309,0.8904,0.8912,0.8282,0.7816,0.7641,0.7658,0.7323
5,Research and Development Exp.,9592000,12648000,12602000,17598260,21713104,23051153,29483236,34127320,56773663,61302336,54767651,52599000,57833000,162349000,259388000,180104000,458362000,491200000,513600000,521800000
6,General and Administrative Exp.,- -,- -,-13603000,-27651000,-31336000,-26079000,-32967000,-56624000,-83217000,-113578000,-77052000,48503000,68924000,142989000,138962000,202902000,489186000,620800000,3334000000,522800000
7,Selling and Marketing Exp.,- -,- -,39697000,48104204,48499941,45592280,63233625,78127720,128136428,144832440,127253676,117558000,120669000,290475000,416333000,467084000,981527000,1224800000,1112100000,1344600000
8,"Selling, General and Administrative Exp.",- -,- -,26094000,20453204,17163941,19513280,30266625,21503720,44919428,31254440,50201676,166061000,189593000,433464000,555295000,669986000,1470713000,1845600000,4446100000,1867400000
9,Other Expenses,28058000,37596000,11477000,53772192,50074407,48724132,65344600,93595880,130312047,138938272,130679674,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,37650000,50244000,50173000,91823656,88951451,91288564,125094460,149226920,232005138,231495048,235649001,218660000,247426000,595813000,814683000,850090000,1929075000,2336800000,4959700000,2389200000
11,COGS and Expenses,41754000,55288000,54841000,102737750,106502891,109437472,147676056,171604520,284249459,295164276,284916503,252729000,277338000,687303000,950115000,1087259000,2629902000,3126700000,5662400000,3165500000
12,Interest Income ,37000,72000,79000,382280,963045,2808140,2045298,994560,633710,358620,295550,413000,318000,577000,710000,842000,2119000,16600000,2600000,1700000
13,Interest Expense (Gain),6269000,4205000,1902000,5080501,1137813,68003,13887,756280,3776237,2238456,2208504,3926000,5187000,46463000,83361000,81722000,166693000,229800000,191100000,253900000
14,Depreciation and Amortization,874000,1184000,1043000,6691811,6439109,7140357,11192600,15639160,27832718,33935460,36649799,38605000,41893000,116766000,214732000,248228000,628979000,522100000,809100000,1063400000
15,EBITDA,8902000,15498000,15353000,44411379,30134737,67215361,88029141,107844640,129933470,150715476,188107704,195897000,194921000,254656000,493411000,526397000,872846000,2204700000,-1935100000,810200000
16,EBITDA ratio,0.1644,0.2155,0.2156,0.2948,0.2097,0.3917,0.3858,0.3925,0.3004,0.3456,0.4326,0.4732,0.4501,0.3051,0.3963,0.3813,0.2720,0.6584,-0.6448,0.2794
17,Operating Income,12394000,16614000,16356000,47907330,37185533,62153108,80520458,103126400,148329422,140966016,149921696,161260000,155720000,147236000,294934000,293443000,284930000,221700000,-2661400000,-265600000
18,Operating Income ratio,0.2289,0.2311,0.2297,0.3180,0.2588,0.3622,0.3529,0.3754,0.3429,0.3232,0.3448,0.3895,0.3596,0.1764,0.2369,0.2125,0.0888,0.0662,-0.8868,-0.0916
19,Total Other Income Expenses (Gains),-10635000,-6505000,-3948000,-15268263,-14627718,-2146107,-3697803,-11677200,-50004908,-26424456,-672295,-7894000,-7879000,-55809000,-99538000,-97099000,-207709000,-255800000,-279000000,-252200000
20,Income Before Tax,1759000,10109000,12408000,32639066,22557816,60007000,76822655,91449200,98324515,114541560,149249401,153366000,147841000,91427000,195396000,196344000,77221000,-34100000,-2940400000,-517800000
21,Income Before Tax Ratio,0.0325,0.1406,0.1743,0.2167,0.1570,0.3497,0.3367,0.3329,0.2273,0.2626,0.3432,0.3705,0.3414,0.1096,0.1569,0.1422,0.0241,-0.0102,-0.9798,-0.1786
22,Income Tax expense (Gain),3495000,3535000,4381000,11596464,6331699,16142807,21403218,25419000,21967076,18104472,28629357,30202000,25759000,-10024000,32424000,38541000,-649060000,-16000000,34200000,-82700000
23,Net Income,-1736000,6574000,8027000,21042603,16226117,43864193,55419437,66030200,76357439,96437088,120620044,123164000,122082000,101451000,162894000,157906000,726234000,1468800000,-2969500000,-424400000
24,Net Income ratio,-0.0321,0.0914,0.1127,0.1397,0.1129,0.2556,0.2429,0.2403,0.1765,0.2211,0.2774,0.2975,0.2819,0.1216,0.1308,0.1144,0.2263,0.4387,-0.9895,-0.1463
25,EPS,-0.17,0.06,18.56,27.10,0.16,0.42,0.53,0.62,0.71,0.89,1.10,1.20,1.19,0.76,0.97,0.90,2.39,3.88,-8.85,-1.26
26,EPS Diluted,-0.17,0.06,18.01,26.53,0.16,0.41,0.51,0.62,0.70,0.88,1.07,1.16,1.15,0.74,0.93,0.87,2.31,3.84,-8.85,-1.26
27,Weighted Average Shares Outstanding,105038357,105038357,76691964,77652510,103646803,105245957,105522055,105857693,107328810,108012205,109806242,103046649,102786975,133580801,168012463,176160455,303353195,378100000,335700000,336500000
28,Weighted Average Shares Outstanding Diluted,105038357,105038357,76691964,79318581,104701665,108176599,108270388,108987504,109604509,110099272,112655117,106608521,105778748,137871119,174811038,182434939,314172838,382200000,335700000,336500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6754000,9729000,32870346,56065939,84970248,92405404,71568360,32828923,26079180,30410775,37943000,32800000,241324000,667178000,150983000,- -,355700000,737200000,558400000
32,Short-Term Investments,- -,454000,4041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7208000,13770000,32870346,56065939,84970248,92405404,71568360,32828923,26079180,30410775,37943000,32800000,241324000,667178000,150983000,- -,355700000,737200000,558400000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019100000,776700000,- -
35,Inventory,- -,119000,176000,349786,331331,254013,192429,127280,153070,1617960,459564,144000,133000,110000,93000,64000,- -,100000,- -,- -
36,Other Current Assets,- -,26987000,24766000,50244972,37629735,44030201,59204527,67088400,126288873,108071388,91855904,92496000,107139000,219533000,287090000,291146000,- -,73200000,27900000,1348700000
37,Total Current Assets,- -,34314000,38712000,83465104,94027005,129254462,151802360,138784040,159270866,135768528,122726243,130583000,140072000,460967000,954361000,442193000,- -,1448100000,1541800000,1907100000
38,PP&E,- -,2746000,2320000,2276477,2386676,2542127,4358409,5111920,9775050,9047232,22301019,21157000,21599000,42896000,40867000,40956000,- -,140500000,300900000,228600000
39,Goodwill,- -,- -,- -,42404000,42404000,42533000,65784000,119813000,274355000,274355000,274340000,284661000,308182000,2421745000,2436168000,2828604000,- -,6671300000,3835400000,3725500000
40,Intangible Assets,- -,28891000,23910000,8083720,7637904,18244039,35282675,66348800,116827631,109843780,97810787,93644000,92533000,1132221000,966555000,1089370000,- -,-6338600000,-6003300000,4331200000
41,Intangible Assets,- -,28891000,23910000,50487720,50041904,60777039,101066675,186161800,391182631,384198780,372150787,378305000,400715000,3553966000,3402723000,3917974000,- -,- -,- -,8056700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,6754000,9729000,8331793,7717100,10812541,15576798,17625320,55559818,45788268,39782302,38134000,42631000,249886000,198757000,208253000,- -,- -,- -,15000000
