,https://roic.ai/company/MCUJF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,135868,183912,241281,445461,459197,299737,5944730,2247129,4792513,3317073,3628274,4796811,2602700,5050761,22083128,37778471,27132832,29109365,20173000,11610000
2,COGS,- -,- -,- -,- -,- -,- -,- -,387803,605623,377079,571688,673522,1069279,665896,868122,2259867,9769265,3464686,4152238,7272000,6480000
3,Gross Profit,- -,- -,183912,241281,445461,459197,299737,5556927,1641506,4415434,2745385,2954752,3727532,1936804,4182639,19823261,28009206,23668146,24957127,12901000,5130000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,0.9348,0.7305,0.9213,0.8277,0.8144,0.7771,0.7442,0.8281,0.8977,0.7414,0.8723,0.8574,0.6395,0.4419
5,Research and Development Exp.,- -,2475387,3048925,3117619,4278667,13564068,10219026,23335752,28660250,22706,393385,204690,1044491,1700479,688671,4865255,5092495,5148233,6681013,4349000,3299000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19502337,3395000,4579000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13399000,5359000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19502337,16794000,9938000
9,Other Expenses,- -,892491,1010074,1317350,2155880,2314373,2965822,13336514,14725161,9628020,5087348,3717090,2673725,2322840,3329551,10237116,16233276,14867635,- -,- -,- -
10,Operating Expenses,- -,3367878,4058999,4434969,6434547,15878441,13184848,36672266,43385411,9650726,5480733,3921780,3718216,4023319,4018222,15102371,21325771,20015868,26183350,21143000,13237000
11,COGS and Expenses,- -,3367878,4058999,4434969,6434547,15878441,13184848,37060069,43991034,10027805,6052421,4595302,4787495,4689215,4886344,17362238,31095036,23480554,30335588,28415000,19717000
12,Interest Income ,- -,- -,183912,241281,445461,459197,299737,1590801,1149574,255713,4913,473,775,152,41,- -,- -,- -,1114676,886000,43000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1958380,3830838,4944682,3279608,3122364,553734,418065,415835,367268,1146404,89921,- -,- -,- -
14,Depreciation and Amortization,- -,17449,60505,33125,41006,57874,107379,2499842,2980051,938733,919213,898931,877550,536982,561269,690934,2381032,7806976,299184,1923000,2773000
15,EBITDA,- -,-3214561,-3814582,-4160563,-5948080,-15361371,-12978168,-27245164,-50591632,-7432412,-1333685,2007186,24817063,-1619257,-661848,2347631,31987737,42258132,5121699,-17718000,-4072000
16,EBITDA ratio,- -,-23.6594,-20.7413,-17.2436,-13.3526,-33.4527,-43.2985,-4.5831,-22.5139,-1.5508,-0.4021,0.5532,5.1737,-0.6221,-0.1310,0.1063,0.8467,1.5575,0.1759,-0.8783,-0.3507
17,Operating Income,- -,-3232010,-3875087,-4193688,-5989086,-15419244,-12885111,-31115338,-41743905,-6991247,-3504683,-1247263,9316,-2086515,164417,4720890,6683435,3652278,-1226223,-8242000,-8107000
18,Operating Income ratio,- -,-23.7879,-21.0703,-17.3809,-13.4447,-33.5787,-42.9881,-5.2341,-18.5766,-1.4588,-1.0566,-0.3438,0.0019,-0.8017,0.0326,0.2138,0.1769,0.1346,-0.0421,-0.4086,-0.6983
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-1,-200436,-220467,-12977351,-3391566,477537,-766846,23376463,-487789,-1803369,-3431461,21776866,-1215234,6048738,-11399000,1262000
20,Income Before Tax,- -,- -,- -,- -,- -,-15419245,-13085547,- -,- -,- -,- -,-2014109,23385779,-2574304,-1638952,1289429,28460301,2437044,4822515,-19641000,-6845000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-33.5787,-43.6568,- -,- -,- -,- -,-0.5551,4.8753,-0.9891,-0.3245,0.0584,0.7533,0.0898,0.1657,-0.9736,-0.5896
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-553335,-478473,- -,- -,- -,- -,- -,- -,- -,- -,-379000,802827,-9059649,896876,145000,- -
23,Net Income,- -,-3232010,-3875087,-4193688,-5989086,-14865910,-12607074,-31703386,-57402521,-13315827,-5532506,-2014109,23385779,-2574304,-1638952,1668429,27657474,43420884,3925639,-19786000,-6845000
24,Net Income ratio,- -,-23.7879,-21.0703,-17.3809,-13.4447,-32.3737,-42.0605,-5.3330,-25.5448,-2.7785,-1.6679,-0.5551,4.8753,-0.9891,-0.3245,0.0756,0.7321,1.6003,0.1349,-0.9808,-0.5896
25,EPS,- -,-2.40,-2.10,1.20,-1.65,-3.30,-2.55,-4.50,-6.90,-1.50,-0.60,-0.30,1.95,-0.21,-0.13,0.12,1.84,2.78,0.25,-1.32,-0.64
26,EPS Diluted,- -,-2.40,-2.10,1.20,-1.65,-3.30,-2.55,-4.50,-6.90,-1.50,-0.60,-0.30,1.95,-0.21,-0.13,0.11,1.60,2.39,0.24,-1.32,-0.64
27,Weighted Average Shares Outstanding,- -,1346678,1845289,2504540,3715932,4447869,5009675,6991995,8365114,8687213,8687213,8687213,11745912,12196508,12196745,13461609,15002005,15619023,15791396,14998540,10686041
28,Weighted Average Shares Outstanding Diluted,- -,1346678,1845289,2504540,3715932,4447869,5009675,6991995,8365114,8687213,8687213,8687213,11752579,12196508,12196745,15765570,17316401,18167734,16563663,14998540,10686041
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3775472,8341018,4130455,19954387,7590918,34920433,31770320,11904930,1978725,371262,750184,1124345,126615,493869,3568592,12266177,5260480,24139281,12965000,2716000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47747000,- -,- -
33,Cash and Short-Term Investments,- -,3775472,8341018,4130455,19954387,7590918,34920433,31770320,11904930,1978725,371262,750184,1124345,126615,493869,3568592,12266177,5260480,71886281,12965000,2716000
34,Net Receivables,- -,69539,152425,79545,278097,469765,458424,2048260,884343,551697,390923,365490,420197,432616,1637676,9823616,17200778,91266621,10764579,10216000,5253000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,640004,316359,631303,550975,460886,542325,902799,1099576,2289275,12176644,3075006,4239267,6328000,5139000
36,Other Current Assets,- -,200000,289875,255049,1110336,598205,462716,1368603,1297104,357884,176280,248065,125084,29455,642976,1767071,13568149,14956775,2696693,1855000,2568000
37,Total Current Assets,- -,4045011,8783318,4465049,21342820,8658888,35841573,35827187,14402736,3519609,1489440,1824625,2211951,1491485,3874097,17448554,55211748,114558882,89586820,31364000,15676000
38,PP&E,- -,63941,84571,67498,66201,81002,50663,196521,132887,93532,68752,50996,30745,22235,33161,230162,10300639,221622,316013,1282000,1640000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47485572,- -,- -,- -,2986000
40,Intangible Assets,- -,- -,508902,763464,976690,1332970,2921841,23412131,8353610,5936819,4414882,3298286,2500928,1910069,1096946,1411992,100864817,1756300,1705250,9599000,13596000
41,Intangible Assets,- -,313088,508902,763464,976690,1332970,2921841,23412131,8353610,5936819,4414882,3298286,2500928,1910069,- -,1411992,148350389,1756300,1705250,9599000,16582000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361824,1559599,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379000,701000,326108,127176,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-2,1,-1,- -,349964,11916000,- -,- -,- -,- -,- -,1291437,227571,161891,12068773,12026154,39000,156000
45,Total Non-Current Assets,- -,377029,593473,830960,1042892,1413971,2972504,23958616,20402497,6030351,4483634,3349282,2531673,1932304,2686422,3808324,159513919,14372803,14174593,10920000,18378000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4422040,9376791,5296009,22385712,10072859,38814077,59785803,34805233,9549960,5973074,5173907,4743624,3423789,6560519,21256878,214725667,128931685,103761413,42284000,34054000
48,Accounts Payable,- -,- -,389663,353908,817575,2732754,1644339,8536869,7174474,1512377,1320185,1729517,1355993,2262954,- -,7079091,17242366,10371103,14378215,9384000,6979000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,6160896,1986000,- -,24140199,22468518,- -,1271775,654877,1625191,4356857,- -,- -,240000,367000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,504586,2428560,1058487,517000,164000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161608,- -,- -,- -,- -
52,Other Current Liabilities,- -,570077,- -,- -,- -,- -,- -,- -,- -,2542560,5469343,7869577,22295,22295,3722621,1648180,38124936,33302805,2554035,2038000,4964000
