,https://roic.ai/company/PLXP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,778657,753108,565464,30430,8208000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,4805000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,30,3403000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,0.4146
5,Research and Development Exp.,844630,1729540,8898280,11286236,12753917,4157454,3922665,4741130,4338974,4182000
6,General and Administrative Exp.,999356,2284080,4682704,7478527,8613981,10174997,7791600,10026627,9150568,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",999356,2284080,4682704,7478527,8613981,10174997,7791600,10026627,9150568,40011000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1843986,4013620,13580984,18764763,21367898,14332451,11714265,14767757,13489542,44193000
11,COGS and Expenses,1843986,4013620,13580984,18764763,21367898,14332451,11714265,14767757,13489542,48998000
12,Interest Income ,- -,- -,- -,22057,46769,112377,297800,405239,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1164897,1145761,994979,307950,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,200957,158253,415614,213000
15,EBITDA,-1843986,-4013620,-13580984,-18764763,-21367898,-15101834,2243198,-19349163,-14487090,-45912000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.3947,2.9786,-34.2182,-476.0792,-5.5936
17,Operating Income,-1843986,-4013620,-13580984,-18764763,-21367898,-15847842,-10961157,-14202293,-13459112,-40790000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.3528,-14.5546,-25.1162,-442.2975,-4.9695
19,Total Other Income Expenses (Gains),- -,- -,- -,22057,46769,-418889,11857637,-6300102,-1751542,-5335000
20,Income Before Tax,-1843986,-4013620,-13580984,-18742706,-21321129,-16266731,896480,-20502395,-15210654,-46125000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.8908,1.1904,-36.2576,-499.8572,-5.6195
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-920000,- -,- -,- -,- -
23,Net Income,-1843986,-4013620,-13580984,-18742706,-21321129,-15346731,896480,-20502395,-15210654,-46125000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.7092,1.1904,-36.2576,-499.8572,-5.6195
25,EPS,-3.60,-6.96,-13.84,-15.92,-16.48,-2.19,0.10,-3.84,-1.74,-1.71
26,EPS Diluted,-3.60,-6.96,-13.84,-15.92,-16.48,-2.19,0.10,-3.84,-1.74,-1.71
27,Weighted Average Shares Outstanding,507035,577982,981293,1179088,1295730,7020479,8733220,8916190,9714951,26911855
28,Weighted Average Shares Outstanding Diluted,507035,577982,981293,1179088,1295730,7020479,8733220,8916190,9714951,26911855
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1497504/000104746915002607/0001047469-15-002607-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000104746916011428/0001047469-16-011428-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000114420417003148/0001144204-17-003148-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774918005277/0001437749-18-005277-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774919004386/0001437749-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774920005044/0001437749-20-005044-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774921005803/0001437749-21-005803-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774922005920/0001437749-22-005920-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1457115,3861145,27040325,5234953,16675228,24404368,14250267,14001304,22448651,69392000
32,Short-Term Investments,- -,- -,- -,26977362,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1457115,3861145,27040325,32212315,16675228,24404368,14250267,14001304,22448651,69392000
34,Net Receivables,- -,- -,- -,- -,- -,19384,18234,18683,- -,634000
35,Inventory,- -,- -,- -,- -,- -,246374,- -,- -,143380,2458000
