,https://roic.ai/company/TDOC,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,19906000,43528000,77384000,123157000,233279000,417907000,553307000,1093962000,2032707000
2,COGS,4186000,9929000,21041000,31971000,61623000,128735000,184465000,390829000,650258000
3,Gross Profit,15720000,33599000,56343000,91186000,171656000,289172000,368842000,703133000,1382449000
4,Gross Profit Ratio,0.7897,0.7719,0.7281,0.7404,0.7358,0.6920,0.6666,0.6427,0.6801
5,Research and Development Exp.,3532000,7573000,14210000,21815000,34459000,54373000,64644000,164941000,311884000
6,General and Administrative Exp.,8772000,19623000,54843000,52685000,81266000,118782000,164456000,506684000,438007000
7,Selling and Marketing Exp.,8531000,19233000,38212000,60963000,95647000,144263000,174612000,380198000,667307000
8,"Selling, General and Administrative Exp.",17303000,38856000,93055000,113648000,176913000,263045000,339068000,886882000,1105314000
9,Other Expenses,754000,2320000,4863000,11428000,22482000,37717000,38952000,69495000,204239000
10,Operating Expenses,21589000,48749000,112128000,146891000,233854000,355135000,442664000,1121318000,1621437000
11,COGS and Expenses,25775000,58678000,133169000,178862000,295477000,483870000,627129000,1512147000,2271695000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),56000,1499000,2199000,2588000,17491000,26112000,29013000,60495000,80365000
14,Depreciation and Amortization,754000,2320000,4863000,8270000,19095000,35602000,44952000,78087000,219621000
15,EBITDA,-5115000,-12830000,-50922000,-62848000,-70421000,-35252000,-35490000,-437411000,-84670000
16,EBITDA ratio,-0.2570,-0.2948,-0.6580,-0.5103,-0.3019,-0.0844,-0.0641,-0.3998,-0.0417
17,Operating Income,-5869000,-15150000,-55785000,-62664000,-75394000,-70854000,-80442000,-506421000,-265631000
18,Operating Income ratio,-0.2948,-0.3481,-0.7209,-0.5088,-0.3232,-0.1695,-0.1454,-0.4629,-0.1307
19,Total Other Income Expenses (Gains),-56000,-1499000,-2199000,-11042000,-31613000,-26112000,-29013000,-69572000,-119025000
20,Income Before Tax,-5925000,-16649000,-57984000,-73706000,-107007000,-96966000,-109455000,-575993000,-384656000
21,Income Before Tax Ratio,-0.2976,-0.3825,-0.7493,-0.5985,-0.4587,-0.2320,-0.1978,-0.5265,-0.1892
22,Income Tax expense (Gain),94000,388000,36000,510000,-225000,118000,-10591000,-90857000,44137000
23,Net Income,-6019000,-17037000,-58020000,-74216000,-106782000,-97084000,-98864000,-485136000,-428793000
24,Net Income ratio,-0.3024,-0.3914,-0.7498,-0.6026,-0.4577,-0.2323,-0.1787,-0.4435,-0.2109
25,EPS,-0.36,-0.86,-2.91,-1.75,-1.93,-1.47,-1.38,-5.36,-4.74
26,EPS Diluted,-0.36,-0.86,-2.91,-1.75,-1.93,-1.47,-1.38,-5.36,-4.74
27,Weighted Average Shares Outstanding,27612862,23506977,19917348,42330908,55427460,65844908,71844535,90509229,90509229
28,Weighted Average Shares Outstanding Diluted,27612862,23506977,19917348,42330908,55427460,65844908,71844535,90509229,90509229
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477449/000155837016003803/0001558370-16-003803-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837017001237/0001558370-17-001237-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837018001167/0001558370-18-001167-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837019001204/0001558370-19-001204-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837020001473/0001558370-20-001473-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837021002118/0001558370-21-002118-index.htm,https://www.sec.gov/Archives/edgar/data/1477449/000155837022002260/0001558370-22-002260-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,3212000,46436000,55066000,50015000,42817000,423989000,514353000,733324000,893480000
32,Short-Term Investments,- -,- -,82282000,15793000,79489000,54545000,2711000,53245000,2537000
33,Cash and Short-Term Investments,3212000,46436000,137348000,65808000,122306000,478534000,517064000,786569000,896017000
34,Net Receivables,2863000,7092000,12134000,13806000,27094000,43571000,56948000,169281000,168956000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,56498000,73079000
36,Other Current Assets,751000,1134000,2096000,3103000,6839000,10631000,13990000,47259000,87387000
37,Total Current Assets,6826000,54662000,151578000,82717000,156239000,532736000,588002000,1059607000,1225439000
38,PP&E,331000,1065000,6259000,7479000,8963000,10148000,36748000,75198000,74014000
39,Goodwill,14786000,28454000,56342000,188184000,498520000,737197000,746079000,14581255000,14504174000
40,Intangible Assets,5350000,7530000,15265000,24875000,159811000,247394000,225453000,2020864000,1910278000
41,Intangible Assets,20136000,35984000,71607000,213059000,658331000,984591000,971532000,16602119000,16414452000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,93000,296000,293000,415000,858000,1401000,6545000,18357000,20703000
45,Total Non-Current Assets,20560000,37345000,78159000,220953000,668152000,996140000,1014825000,16695674000,16509169000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27386000,92007000,229737000,303670000,824391000,1528876000,1602827000,17755281000,17734608000
48,Accounts Payable,67000,2210000,2213000,2236000,3884000,7769000,9075000,46030000,47257000
49,Short-Term Debt,- -,833000,1250000,2000000,- -,- -,5088000,53998000,12687000
50,Tax Payable,- -,- -,- -,- -,- -,2610000,2859000,1627000,13063000
51,Deferred Revenue,- -,- -,831000,1002000,4111000,7650000,12466000,65809000,75569000
52,Other Current Liabilities,5074000,9981000,13692000,15835000,32335000,47020000,63552000,166812000,195500000
53,Total Current Liabilities,5141000,13024000,17986000,21073000,40330000,62439000,90181000,332649000,331013000
54,Long-Term Debt,3000000,25196000,25227000,42424000,207370000,414683000,440410000,1379592000,1267444000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,12375000,3834000
56,Deferred Tax Liabilities,102000,494000,1185000,1694000,12906000,32444000,21678000,102103000,75777000
57,Other Non-Current Liabilities,88000,62000,6775000,7609000,4882000,6191000,36533000,44758000,10783000
58,Total Non-Current Liabilities,3190000,25752000,33187000,51727000,225158000,453318000,498621000,1538828000,1357838000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,30082000,54580000,54460000
61,Total Liabilities,8331000,38776000,51173000,72800000,265488000,515757000,588802000,1871477000,1688851000
62,Preferred Stock,71655000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2853000,27000,38000,46000,61000,70000,73000,150000,160000
64,Retained Earnings,-55453000,-72490000,-130510000,-204726000,-311577000,-408661000,-507525000,-992661000,-1421454000
65,Other Comprehensive Income/Loss,-927000,-1262000,-42000,-1000,4089000,-13070000,-17239000,18518000,-6285000
66,Other Total Stockholders Equity,927000,126956000,309078000,435551000,866330000,1434780000,1538716000,16857797000,- -
67,Total Stockholders Equity,19055000,53231000,178564000,230870000,558903000,1013119000,1014025000,15883804000,16045757000
68,Total Liabilities And Stockholders Equity,27386000,92007000,229737000,303670000,824391000,1528876000,1602827000,17755281000,17734608000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27386000,92007000,229737000,303670000,824391000,1528876000,1602827000,17755281000,17734608000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477449/000155837016003803/0001558370-16-003803-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837017001237/0001558370-17-001237-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837018001167/0001558370-18-001167-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837019001204/0001558370-19-001204-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837020001473/0001558370-20-001473-index.html,https://www.sec.gov/Archives/edgar/data/1477449/000155837021002118/0001558370-21-002118-index.htm,https://www.sec.gov/Archives/edgar/data/1477449/000155837022002260/0001558370-22-002260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6019000,-17037000,-58020000,-74216000,-106782000,-97084000,-98864000,-485136000,-428793000
74,Depreciation and Amortization,754000,2320000,4863000,8270000,19095000,35602000,44952000,78087000,219621000
75,Deferred Income Tax,94000,388000,36000,510000,-306000,-2247000,-10868000,-90158000,41800000
76,Stock Based Compensation,298000,533000,3075000,7723000,30597000,43769000,66702000,475531000,302586000
77,Change in Working Capital,-1686000,39953000,91954000,-71948000,54265000,354388000,27524000,229137000,-50324000
78,Accounts Receivable,-928000,-5079000,-6795000,-2900000,-3659000,-10931000,-15884000,-21091000,-17510000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-24732000,-19494000
80,Accounts Payable,-1099000,2099000,-612000,-813000,1534000,-391000,905000,-87995000,1188000
81,Other Working Capital,1685000,41638000,133592000,61644000,115909000,470297000,497821000,726958000,15879000
82,Other Non-Cash Items,506000,-37516000,-89089000,77866000,-31310000,-339288000,423000,-260972000,109100000
83,Cash Provided by Operating Activities,-6053000,-11359000,-47181000,-51795000,-34441000,-4860000,29869000,-53511000,193990000
84,CAPEX,-1294000,-1734000,-7817000,-3412000,-5515000,-8407000,-10900000,-26042000,-63934000
85,Acquisitions Net,-16462000,-13844000,-17767000,-37013000,-379356000,-282442000,-11187000,-567429000,-78663000
86,Purchases of Investments,- -,- -,-103030000,-44146000,-149261000,-56347000,-5000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,20411000,110717000,85753000,84170000,52100000,2496000,60901000
88,Other Investing Activites,-1090000,-665000,-1542000,-1304000,-2882000,1134000,-7390000,-26042000,-55219000
89,Cash Used for Investing Activites,-17756000,-15578000,-108203000,26146000,-448379000,-257496000,25013000,-590975000,-72981000
90,Debt Repayment,- -,- -,-6332000,-17166000,-226440000,- -,- -,-238153000,-139000
91,Common Stock Issued,- -,- -,163118000,250000,258554000,330843000,- -,- -,- -
92,Common Stock Repurchased,-71000,-368000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18398000,70529000,7228000,37514000,443317000,314769000,35094000,1097289000,41086000
95,Cash Used/Provided by Financing Activities,18327000,70161000,164014000,20598000,475431000,645612000,35094000,859136000,40947000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,191000,-2084000,388000,4321000,-1800000
97,Net Change In Cash,-5482000,43224000,8630000,-5051000,-7198000,381172000,90364000,218971000,160156000
98,Cash at the End of Period,3212000,46436000,55066000,50015000,42817000,423989000,514353000,733324000,893480000
99,Cash at the Beginning of Period,8694000,3212000,46436000,55066000,50015000,42817000,423989000,514353000,733324000
100,Free Cash Flow,-7347000,-13093000,-54998000,-55207000,-39956000,-13267000,18969000,-79553000,130056000
