,https://roic.ai/company/PLM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,68667,66190,69123,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000,130000,122000,- -,257000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,-130000,-122000,- -,-257000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,310867,288054,2222144,5174666,8967000,4343000,3353000,8719000,2294000,2713000,5870000,6628000,5457000,5476000,6576000,6940000,7748000,9042000,9583000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",206002,728091,967720,740184,600532,310867,288054,2222144,5174666,8967000,4343000,3353000,8719000,2294000,2713000,5870000,6628000,5457000,5476000,6576000,6940000,7748000,9042000,9583000
9,Other Expenses,- -,- -,- -,16323,20517,117924,91895,1624688,11124365,8851000,56000,31000,439000,607000,656000,830000,1547000,1671000,1695000,1465000,1796000,2072000,- -,4904000
10,Operating Expenses,206002,728091,967720,756507,621049,428791,379949,3846832,16299031,17818000,4399000,3384000,9158000,2901000,3369000,6700000,8175000,7128000,7171000,8041000,8736000,9820000,- -,14487000
