,https://roic.ai/company/SESN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,1334000,2243000,990000,29981000,425000,- -,- -,11236000,26544000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,1334000,- -,990000,- -,- -,- -,- -,11,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,1.0000,- -,- -,- -,- -,0.0000,- -
5,Research and Development Exp.,9411000,15263000,13788000,26703000,26336000,13479000,12510000,14077000,24663000,29191000,25312000
6,General and Administrative Exp.,3267000,4213000,4024000,8471000,9850000,14736000,8070000,11623000,12208000,14302000,29393000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3267000,4213000,4024000,8471000,9850000,14736000,8070000,11623000,12208000,14302000,29393000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12678000,19476000,17812000,35174000,36186000,28215000,20580000,25700000,36871000,43493000,54705000
11,COGS and Expenses,12678000,19476000,17812000,35174000,36186000,28215000,20580000,25700000,36871000,43493000,54705000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),151000,168000,1400000,376000,1395000,247000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,364000,448000,438000,410000,366000,178000,285000,208000,219000,122000,85000
15,EBITDA,-12311000,-19041000,-16187000,-33370000,-31691000,2321000,-28744000,-25492000,-36652000,-20830000,-8524000
16,EBITDA ratio,-Infinity,-Infinity,-12.1342,-14.8774,-32.0111,0.0774,-67.6329,-Infinity,-Infinity,-1.8539,-0.3211
17,Operating Income,-12678000,-19476000,-16478000,-32931000,-35196000,2866000,-29255000,-34500000,-108491000,-21077000,-8549000
18,Operating Income ratio,-Infinity,-Infinity,-12.3523,-14.6817,-35.5515,0.0956,-68.8353,-Infinity,-Infinity,-1.8758,-0.3221
19,Total Other Income Expenses (Gains),-148000,-181000,-1547000,-1225000,1744000,-970000,226000,807000,991000,125000,-60000
20,Income Before Tax,-12826000,-19657000,-18025000,-34156000,-33452000,1896000,-29029000,-33693000,-107500000,-20952000,-8609000
21,Income Before Tax Ratio,-Infinity,-Infinity,-13.5120,-15.2278,-33.7899,0.0632,-68.3035,-Infinity,-Infinity,-1.8647,-0.3243
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,5000,- -,- -,- -,1445000,-8273000
23,Net Income,-12826000,-19657000,-18025000,-34156000,-33452000,1891000,-29029000,-33693000,-107500000,-22397000,-336000
24,Net Income ratio,-Infinity,-Infinity,-13.5120,-15.2278,-33.7899,0.0631,-68.3035,-Infinity,-Infinity,-1.9933,-0.0127
25,EPS,-1.67,-2.76,-1.42,-2.37,-1.76,0.09,-1.11,-0.55,-1.18,-0.19,-0.00
26,EPS Diluted,-1.67,-2.76,-1.42,-2.37,-1.76,0.09,-1.11,-0.55,-1.18,-0.19,-0.00
27,Weighted Average Shares Outstanding,8539000,7118000,15393713,14644000,18993000,21083000,26105000,61774000,90929000,118221000,182323000
28,Weighted Average Shares Outstanding Diluted,8539000,7118000,15393713,14644000,18993000,21733000,26105000,61774000,90929000,118221000,182323000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485003/000119312515081274/0001193125-15-081274-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500316000068/0001485003-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500317000018/0001485003-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500318000034/0001485003-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500319000015/0001485003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500320000038/0001485003-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500321000044/0001485003-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500322000033/0001485003-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,7882000,7942000,54059000,36079000,25342000,14680000,50422000,48121000,52389000,162636000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,7882000,7942000,54059000,36079000,25342000,14680000,50422000,48121000,52389000,162636000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24493000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,289000,389000,88000,342000,232000,585000,301000,1334000,6326000,10478000,18476000
37,Total Current Assets,989000,8271000,8030000,54401000,36311000,25927000,14981000,51756000,54447000,62867000,205605000
38,PP&E,1535000,1197000,759000,486000,407000,796000,522000,321000,238000,123000,43000
39,Goodwill,- -,- -,- -,- -,- -,16864000,13064000,13064000,13064000,13064000,13064000
40,Intangible Assets,- -,- -,- -,- -,- -,60500000,46400000,46400000,46400000,46400000,14700000
41,Intangible Assets,- -,- -,- -,- -,- -,77364000,59464000,59464000,59464000,59464000,27764000
