,https://roic.ai/company/FFMGF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6910,150144,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6910,-150144,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,196090,76000,179896,3393468,11180555,9533903,6831000,5108000,5006000,7733000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568813,3075802,3283787,1634000,1177000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,196090,76000,179896,3962281,14256357,12817690,8465000,6285000,5006000,7733000
9,Other Expenses,99662,189620,61865,52913,77396,59388,38642,- -,- -,- -,-482592,-2973195,-1526103,-870000,-53000,958000,1128000
10,Operating Expenses,99662,189620,61865,52913,77396,59388,38642,196090,76000,179896,3479689,11283162,11291587,7595000,6232000,5964000,8861000
11,COGS and Expenses,99662,189620,61865,52913,77396,59388,38642,196090,76000,179896,3486599,11433306,11291587,7595000,6232000,5964000,8861000
12,Interest Income ,2198,10465,- -,- -,- -,- -,- -,- -,- -,- -,7155,263912,344437,190000,212000,184000,422000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209044,219183,89496,- -,- -,- -,422000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6910,150144,295320,204000,171000,305000,320000
15,EBITDA,-99662,-189620,-61865,-52913,-77396,-59388,-38642,-196090,-76000,-179896,-4127664,-11019250,-10651830,-3205000,-5716000,24295000,15408000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
17,Operating Income,99662,189620,- -,- -,- -,- -,- -,- -,76000,- -,- -,- -,- -,- -,- -,- -,-8861000
18,Operating Income ratio,Infinity,Infinity,- -,- -,- -,- -,- -,- -,Infinity,- -,- -,- -,- -,- -,- -,- -,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-152000,- -,-1595458,278383,107319,-4050000,-211000,-29884000,-23625000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-196090,-76000,-179896,-5082057,-11154923,-11184268,-11645000,-6443000,-35848000,-32486000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000,-1587000,- -
23,Net Income,-97464,-179155,-53697,-52913,-77396,-59388,-38642,-196090,-76000,-179896,-5082057,-11154923,-11184268,-11645000,-6959000,-32815000,-38350000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.05,-0.03,-0.02,-0.02,-0.01,-0.05,-0.37
26,EPS Diluted,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.02,-0.05,-0.03,-0.02,-0.02,-0.01,-0.05,-0.36
27,Weighted Average Shares Outstanding,3494465,7006368,5369700,6007500,6007500,6007500,6007500,9519713,10768500,10768500,105473169,438644487,547635558,557470696,574872959,644940126,104899000
28,Weighted Average Shares Outstanding Diluted,3494465,7006368,5369700,6007500,6007500,6007500,6007500,9519713,10768500,10768500,105473169,438644487,547635558,557470696,574872959,644940126,107486000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,46405,49536,242045,173970,103631,48404,3138,381874,321456,145964,683608,33157447,15399727,5115000,5902000,28901000,29516000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8830,5846627,4276596,2597000,1775000,18425000,13386000
33,Cash and Short-Term Investments,46405,49536,242045,173970,103631,48404,3138,381874,321456,145964,692438,39004074,19676323,7712000,7677000,47326000,42902000
34,Net Receivables,5194,6622,1115,478,1708,740,813,5296,1155,1917,368502,1372596,434552,149000,303000,2346000,604000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,400000,250000,- -,- -,- -,- -,- -,- -,- -,1312,213512,449194,371549,257000,349000,354000,405000
37,Total Current Assets,451599,306158,243160,174448,105339,49144,3951,387170,322611,149193,1274452,40825864,20482424,8118000,8329000,50026000,43911000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107662768,224132363,240643581,244791000,254071000,179999000,171103000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4416780,4416780,4417000,5398000,70538000,44896000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331294,183450,193235,206000,222000,650000,399000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107994062,228732593,245253596,249414000,259691000,251187000,216398000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,451599,306158,243160,174448,105339,49144,3951,387170,322611,149193,109268514,269558457,265736020,257532000,268020000,301213000,260309000
48,Accounts Payable,12681,45695,36394,- -,- -,- -,- -,- -,- -,- -,2380489,560675,840060,341000,768000,837000,2437000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1867635,454819,- -,- -,94000,112000,127000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,20595,28882,32075,25524,18304,29745,36223,460003,209000,242780,241000,1687000,39876000,7391000
53,Total Current Liabilities,12681,45695,36394,20595,28882,32075,25524,18304,29745,36223,4708127,1224494,1082840,582000,2549000,40825000,9955000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2106371,- -,- -,554000,442000,315000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,946000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1639000,16393000,26114000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2106371,- -,- -,3139000,16835000,26429000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648000,554000,442000
61,Total Liabilities,12681,45695,36394,20595,28882,32075,25524,18304,29745,36223,4708127,3330865,1082840,582000,5688000,57660000,36384000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1123611,1123611,1123611,104895131,262876204,272500810,275068000,282666000,317167000,318499000
64,Retained Earnings,-97464,-276619,-330316,-383229,-460625,-520013,-558655,-754745,-830745,-1010641,-10144241,-21299164,-31411488,-43056000,-50015000,-116870000,-142266000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2092242,708672,-4042413,-5292000,-3649000,-1392000,410000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7717255,23941880,27606271,30230000,33330000,44648000,47282000
67,Total Stockholders Equity,438918,260463,206766,153853,76457,17069,-21573,368866,292866,112970,104560387,266227592,264653180,256950000,262332000,243553000,223925000
68,Total Liabilities And Stockholders Equity,451599,306158,243160,174448,105339,49144,3951,387170,322611,149193,109268514,269558457,265736020,257532000,268020000,301213000,260309000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,451599,306158,243160,174448,105339,49144,3951,387170,322611,149193,109268514,269558457,265736020,257532000,268020000,301213000,260309000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-97464,-179155,-53697,-52913,-77396,-59388,-38642,-196090,-76000,-179896,-5082057,-11154923,-11184268,-11645000,-6959000,-32815000,-38350000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6910,150144,295320,204000,171000,305000,320000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000,-1587000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,97692,- -,- -,1267851,5154642,5497111,3032000,1596000,958000,1998000
77,Change in Working Capital,7487,31586,-3794,-15162,7057,4161,-6624,-11703,15582,4404,-51767,-1068331,-211111,380000,129000,355000,1031000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-73,- -,- -,-762,-229906,1397223,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,7487,31586,-3794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,42630,- -,- -,- -,- -,- -,- -,- -,- -,- -,1617998,-161078,289363,4248000,347000,28562000,28558000
83,Cash Provided by Operating Activities,-47347,-147569,-57491,-68075,-70339,-55227,-45266,-110101,-60418,-175492,-2241065,-7079546,-5313585,-3781000,-4200000,-4222000,-6443000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1575856,-4509743,-12774336,-7495000,-6154000,-17901000,-16478000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3829003,11965871,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-549740,-1828695,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1758000,4937000,16357000
88,Other Investing Activites,-400000,150000,- -,- -,- -,- -,- -,- -,- -,- -,90828,131799,877339,- -,83000,148000,1968000
89,Cash Used for Investing Activites,-400000,150000,250000,- -,- -,- -,- -,- -,- -,- -,-5314031,7038187,-13725692,-7495000,-4313000,-12816000,1847000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-882175,-661113,- -,- -,-94000,-112000
91,Common Stock Issued,493752,700,- -,- -,- -,- -,- -,499905,- -,- -,5024965,27000000,- -,- -,9410000,35926000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-11068,- -,- -,3200629,6424769,2022048,989000,-109000,4503000,5375000
95,Cash Used/Provided by Financing Activities,493752,700,- -,- -,- -,- -,- -,488837,- -,- -,8225594,32542594,1360935,989000,9301000,40335000,5263000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26804,-27396,-79378,2000,-1000,-298000,-52000
97,Net Change In Cash,- -,3131,192509,-68075,-70339,-55227,-45266,378736,-60418,-175492,643694,32473839,-17757720,-10285000,787000,22999000,615000
98,Cash at the End of Period,46405,49536,242045,173970,103631,48404,3138,381874,321456,145964,683608,33157447,15399727,5115000,5902000,28901000,29516000
99,Cash at the Beginning of Period,- -,46405,49536,242045,173970,103631,48404,3138,381874,321456,39914,683608,33157447,15400000,5115000,5902000,28901000
100,Free Cash Flow,-47347,-147569,-57491,-68075,-70339,-55227,-45266,-110101,-60418,-175492,-3816921,-11589289,-18087921,-11276000,-10354000,-22123000,-22921000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
