,https://roic.ai/company/CDK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1563600000,1696300000,1839200000,1973600000,2063500000,2114600000,2220200000,2273200000,1914800000,1960100000,1673200000
2,COGS,943300000,1021600000,1102600000,1201500000,1273200000,1243400000,1234900000,1182000000,899800000,966500000,875000000
3,Gross Profit,620300000,674700000,736600000,772100000,790300000,871200000,985300000,1091200000,1015000000,993600000,798200000
4,Gross Profit Ratio,0.3967,0.3977,0.4005,0.3912,0.3830,0.4120,0.4438,0.4800,0.5301,0.5069,0.4770
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,419400000,431100000,448500000,477700000,475800000,444700000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,419400000,431100000,448500000,477700000,475800000,444700000,- -,- -
9,Other Expenses,396000000,423700000,422900000,- -,- -,- -,- -,- -,90000000,429900000,360900000
10,Operating Expenses,396000000,423700000,422900000,419400000,431100000,448500000,477700000,475800000,534700000,429900000,360900000
11,COGS and Expenses,1339300000,1445300000,1525500000,1620900000,1704300000,1691900000,1712600000,1657800000,1434500000,1396400000,1235900000
12,Interest Income ,2600000,3100000,2400000,3300000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),900000,1000000,900000,1000000,28800000,40200000,57200000,95900000,139100000,144300000,124600000
14,Depreciation and Amortization,59600000,59900000,63600000,67900000,76500000,64000000,70300000,79100000,89800000,99600000,98700000
15,EBITDA,285500000,313500000,378900000,412500000,397300000,465800000,555900000,679100000,415100000,571800000,1352100000
16,EBITDA ratio,0.1826,0.1848,0.2060,0.2090,0.1925,0.2203,0.2504,0.2987,0.2168,0.2917,0.8081
17,Operating Income,- -,- -,- -,- -,322200000,402500000,489200000,594500000,452300000,549500000,425300000
18,Operating Income ratio,- -,- -,- -,- -,0.1561,0.1903,0.2203,0.2615,0.2362,0.2803,0.2542
19,Total Other Income Expenses (Gains),700000,1600000,700000,-9100000,-22300000,-33400000,-53900000,-82500000,-148400000,-125300000,-140600000
20,Income Before Tax,225000000,252600000,314400000,343600000,299900000,369100000,435300000,512000000,303900000,424200000,284700000
21,Income Before Tax Ratio,0.1439,0.1489,0.1709,0.1741,0.1453,0.1745,0.1961,0.2252,0.1587,0.2164,0.1702
22,Income Tax expense (Gain),90000000,91800000,115000000,116700000,113600000,122300000,132800000,123300000,62200000,120400000,94500000
23,Net Income,135000000,160800000,199400000,226900000,178400000,239300000,295600000,380800000,124000000,207500000,1034300000
24,Net Income ratio,0.0863,0.0948,0.1084,0.1150,0.0865,0.1132,0.1331,0.1675,0.0648,0.1059,0.6182
25,EPS,0.84,1.00,1.24,1.42,1.11,1.52,2.01,2.80,0.99,1.71,8.48
26,EPS Diluted,0.84,1.00,1.24,1.42,1.10,1.51,1.99,2.78,0.98,1.70,8.44
27,Weighted Average Shares Outstanding,160264620,160264620,160264620,160264620,160600000,157000000,146700000,135800000,125500000,121600000,121900000
28,Weighted Average Shares Outstanding Diluted,160264620,160264620,160264620,160264620,161600000,158000000,148200000,136800000,126400000,122100000,122600000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609702/000160970215000013/0001609702-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970216000046/0001609702-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970217000016/0001609702-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970218000034/0001609702-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970219000015/0001609702-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970220000015/0001609702-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1609702/000160970221000058/0001609702-21-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,223100000,276300000,402800000,408200000,219100000,726100000,804400000,311400000,215700000,157000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,223100000,276300000,402800000,408200000,219100000,726100000,804400000,311400000,215700000,157000000
34,Net Receivables,- -,262800000,298200000,339700000,314600000,365500000,372100000,374600000,412300000,300000000,236400000
