,https://roic.ai/company/ADPT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,38448000,55663000,85071000,98382000,154344000
2,COGS,15680000,19668000,22274000,22530000,49301000
3,Gross Profit,22768000,35995000,62797000,75852000,105043000
4,Gross Profit Ratio,0.5922,0.6467,0.7382,0.7710,0.6806
5,Research and Development Exp.,31995000,39157000,70705000,116072000,142343000
6,General and Administrative Exp.,15949000,20409000,30332000,49536000,74502000
7,Selling and Marketing Exp.,16765000,24486000,38453000,61358000,95465000
8,"Selling, General and Administrative Exp.",32714000,44895000,68785000,110894000,169967000
9,Other Expenses,1694000,1699000,1698000,1703000,1699000
10,Operating Expenses,66403000,85751000,141188000,228669000,314009000
11,COGS and Expenses,82083000,105419000,163462000,251199000,363310000
12,Interest Income ,1644000,3309000,9785000,6590000,1668000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,5796000,6000000,7791000,8472000,13953000
15,EBITDA,-37035000,-40447000,-60815000,-137755000,-193326000
16,EBITDA ratio,-0.9632,-0.7266,-0.7149,-1.4002,-1.2526
17,Operating Income,-44475000,-49756000,-78391000,-152817000,-208966000
18,Operating Income ratio,-1.1568,-0.8939,-0.9215,-1.5533,-1.3539
19,Total Other Income Expenses (Gains),1644000,3309000,9785000,6590000,1668000
20,Income Before Tax,-42831000,-46447000,-68606000,-146227000,-207298000
21,Income Before Tax Ratio,-1.1140,-0.8344,-0.8065,-1.4863,-1.3431
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-42831000,-46447000,-68606000,-146227000,-207279000
24,Net Income ratio,-1.1140,-0.8344,-0.8065,-1.4863,-1.3430
25,EPS,-0.40,-0.44,-1.01,-1.11,-1.58
26,EPS Diluted,-0.40,-0.44,-1.01,-1.11,-1.58
27,Weighted Average Shares Outstanding,105880665,105433645,69165315,131216468,131216468
28,Weighted Average Shares Outstanding Diluted,105880665,105433645,69165315,131216468,131216468
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478320/000156459020006830/0001564590-20-006830-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459021008124/0001564590-21-008124-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459022005228/0001564590-22-005228-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,85305000,55030000,96576000,123436000,139065000
32,Short-Term Investments,106845000,109988000,480290000,564833000,213996000
33,Cash and Short-Term Investments,192150000,165018000,576866000,688269000,353061000
34,Net Receivables,5582000,4807000,12676000,10047000,17409000
35,Inventory,4792000,7838000,9069000,14063000,19263000
36,Other Current Assets,2723000,3055000,14079000,14535000,13015000
37,Total Current Assets,205247000,180718000,612690000,726914000,402748000
38,PP&E,13954000,19125000,60355000,139042000,172940000
39,Goodwill,118972000,118972000,118972000,118972000,118972000
40,Intangible Assets,15325000,13626000,11928000,10225000,8526000
41,Intangible Assets,134297000,132598000,130900000,129197000,127498000
42,Investments,8905000,- -,105435000,118525000,217145000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,86000,247000,2922000,2736000,3013000
45,Total Non-Current Assets,157242000,151970000,299612000,389500000,520596000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,362489000,332688000,912302000,1116414000,923344000
48,Accounts Payable,1964000,1793000,4453000,3237000,3307000
49,Short-Term Debt,- -,- -,- -,3529000,5055000
50,Tax Payable,- -,- -,- -,1767000,391000
51,Deferred Revenue,14048000,12695000,60994000,73319000,80460000
52,Other Current Liabilities,4991000,8312000,12866000,25112000,24985000
53,Total Current Liabilities,21003000,22800000,78313000,105197000,113807000
54,Long-Term Debt,- -,- -,- -,104333000,106685000
55,Deferred Revenue,- -,704000,219332000,163618000,98750000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,566102000,567296000,43618000,- -,- -
58,Total Non-Current Liabilities,566102000,568000000,262950000,267951000,205435000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,36607000,107862000,111740000
61,Total Liabilities,587105000,590800000,341263000,373148000,319242000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,12000,14000,14000
64,Retained Earnings,-249423000,-295908000,-365478000,-511612000,-718891000
65,Other Comprehensive Income/Loss,-166000,-107000,671000,893000,-1137000
66,Other Total Stockholders Equity,24972000,37902000,935834000,1253971000,1324006000
67,Total Stockholders Equity,-224616000,-258112000,571039000,743266000,603992000
68,Total Liabilities And Stockholders Equity,362489000,332688000,912302000,1116414000,923234000
69,Minority Interest,- -,- -,- -,- -,110000
70,Total Liabilities & Equity,362489000,332688000,912302000,1116414000,923344000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478320/000156459020006830/0001564590-20-006830-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459021008124/0001564590-21-008124-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459022005228/0001564590-22-005228-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-42831000,-46447000,-68606000,-146227000,-207279000
74,Depreciation and Amortization,5796000,6000000,7791000,8472000,13953000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,7009000,11149000,13124000,24761000,43251000
77,Change in Working Capital,-5475000,-26326000,376459000,87340000,-56816000
78,Accounts Receivable,-2427000,775000,-7817000,2613000,-7362000
79,Inventory,-2697000,-3046000,-1231000,-4994000,-5200000
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,184244000,157918000,534377000,621717000,-49480000
82,Other Non-Cash Items,643000,23365000,-123364000,-124029000,14164000
83,Cash Provided by Operating Activities,-34858000,-32259000,205404000,-149683000,-192727000
84,CAPEX,-2506000,-6318000,-11200000,-18803000,-61746000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-125182000,-146503000,-884217000,-694965000,-316544000
87,Sales/Maturities of Investments,163913000,153538000,413720000,596724000,559500000
88,Other Investing Activites,122000,19000,- -,- -,- -
89,Cash Used for Investing Activites,36432000,736000,-481697000,-117044000,181210000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,320850000,272160000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,50034000,1248000,-934000,21427000,27146000
95,Cash Used/Provided by Financing Activities,50034000,1248000,319916000,293587000,27146000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,51608000,-30275000,43623000,26860000,15629000
98,Cash at the End of Period,85366000,55091000,98714000,125574000,141203000
99,Cash at the Beginning of Period,33758000,85366000,55091000,98714000,125574000
100,Free Cash Flow,-37364000,-38577000,194204000,-168486000,-254473000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1478320/000156459020006830/0001564590-20-006830-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459021008124/0001564590-21-008124-index.htm,https://www.sec.gov/Archives/edgar/data/1478320/000156459022005228/0001564590-22-005228-index.htm
102,false,,,,,
