,https://roic.ai/company/IGC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,210584,- -,2188000,35338725,17897826,4073919,4199551,8030016,2273155,7680257,6366550,580372,2192590,5116000,4072000,898000
2,COGS,- -,- -,1783000,27179494,15671840,3914655,4817980,6496891,1891559,7100568,5523256,362135,2111066,4984000,3957000,785000
3,Gross Profit,- -,- -,405000,8159231,2225986,159264,-618429,1533125,381596,579689,843294,218237,81524,132000,115000,113000
4,Gross Profit Ratio,- -,- -,0.1851,0.2309,0.1244,0.0391,-0.1473,0.1909,0.1679,0.0755,0.1325,0.3760,0.0372,0.0258,0.0282,0.1258
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256000,1011000,929000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3519000,5968000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",73683,765047,341000,4977815,5614673,7283089,4702492,3041632,2178740,4140434,2702753,1875344,1870477,3519000,5968000,7908000
9,Other Expenses,- -,- -,59000,873022,603153,-7192382,996403,673916,712314,781546,728741,396346,- -,- -,- -,- -
10,Operating Expenses,- -,765047,400000,5850837,6217826,90707,5698895,3715548,2891054,4921980,3431494,2271690,1870477,4775000,6979000,8837000
11,COGS and Expenses,73683,765047,2183000,33030331,21889666,4005362,10516875,10212439,4782613,12022548,8954750,2633825,3981543,9759000,10936000,9622000
12,Interest Income ,- -,- -,- -,1176018,210097,262826,267192,30397,12712,6799,2085,1744,4824,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1753952,1221466,1395433,984021,419436,291520,286332,213928,223464,30742,- -,- -,- -
14,Depreciation and Amortization,- -,29226,4361000,873022,385803,785066,996403,673916,712314,781546,728741,396346,19414,59000,144000,478000
15,EBITDA,136901,-735821,-778000,3640485,-6291746,-13960023,-5598673,-1524111,-2018759,-3541148,-1864996,-1233019,-1735654,-4036000,-7171000,-8333000
