,https://roic.ai/company/ADNT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,20470000000,22041000000,20071000000,16790000000,16213000000,17439000000,16526000000,12670000000,13680000000
2,COGS,18895000000,20088000000,18219000000,15181000000,14805000000,16528000000,15725000000,12078000000,12854000000
3,Gross Profit,1575000000,1953000000,1852000000,1609000000,1408000000,911000000,801000000,592000000,826000000
4,Gross Profit Ratio,0.0769,0.0886,0.0923,0.0958,0.0868,0.0522,0.0485,0.0467,0.0604
5,Research and Development Exp.,- -,- -,- -,460000000,488000000,513000000,454000000,- -,- -
6,General and Administrative Exp.,1203000000,1308000000,1131000000,762000000,203000000,181000000,230000000,558000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1203000000,1308000000,1131000000,762000000,203000000,181000000,230000000,558000000,537000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-13000000,- -,- -
10,Operating Expenses,1203000000,1308000000,1131000000,1222000000,691000000,694000000,671000000,558000000,537000000
11,COGS and Expenses,20098000000,21396000000,19350000000,16735000000,15542000000,18403000000,16572000000,12636000000,13391000000
12,Interest Income ,5000000,2000000,1000000,2000000,4000000,5000000,11000000,11000000,7000000
13,Interest Expense (Gain),12000000,14000000,11000000,326000000,400000000,-150000000,119000000,216000000,256000000
14,Depreciation and Amortization,450000000,437000000,347000000,344000000,358000000,447000000,318000000,332000000,330000000
15,EBITDA,817000000,1054000000,1251000000,963000000,1734000000,-908000000,356000000,58000000,1943000000
16,EBITDA ratio,0.0399,0.0478,0.0623,0.0574,0.1070,-0.0521,0.0215,0.0046,0.1420
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),41000000,25000000,238000000,322000000,390000000,-157000000,48000000,-463000000,1150000000
20,Income Before Tax,413000000,670000000,959000000,377000000,1061000000,-1121000000,2000000,-429000000,1439000000
21,Income Before Tax Ratio,0.0202,0.0304,0.0478,0.0225,0.0654,-0.0643,0.0001,-0.0339,0.1052
22,Income Tax expense (Gain),168000000,296000000,418000000,1839000000,99000000,480000000,410000000,57000000,249000000
23,Net Income,187000000,307000000,475000000,-1546000000,877000000,-1685000000,-491000000,-547000000,1108000000
24,Net Income ratio,0.0091,0.0139,0.0237,-0.0921,0.0541,-0.0966,-0.0297,-0.0432,0.0810
25,EPS,2.00,3.28,3.89,-16.40,9.38,-18.06,-5.25,-5.83,11.76
26,EPS Diluted,2.00,3.28,3.89,-16.40,9.34,-18.06,-5.25,-5.83,11.58
27,Weighted Average Shares Outstanding,93500000,93500000,93500000,93500000,93500000,93300000,93600000,93800000,94200000
28,Weighted Average Shares Outstanding Diluted,93600000,93500000,93600000,93500000,93900000,93300000,93600000,93800000,95700000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670541/000167054116000016/0001670541-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1670541/000167054117000071/0001670541-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054118000065/0001670541-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054119000057/0001670541-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054120000080/0001670541-20-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054121000133/0001670541-21-000133-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,45000000,44000000,105000000,709000000,687000000,924000000,1692000000,1521000000
32,Short-Term Investments,- -,- -,- -,1748000000,1793000000,1407000000,1399000000,- -,- -
33,Cash and Short-Term Investments,- -,45000000,44000000,1853000000,2502000000,2094000000,2323000000,1692000000,1521000000
34,Net Receivables,- -,2027000000,2134000000,2082000000,2224000000,2091000000,1905000000,1641000000,1426000000
35,Inventory,- -,745000000,701000000,660000000,735000000,824000000,793000000,685000000,976000000
36,Other Current Assets,- -,1683000000,927000000,1096000000,-962000000,-700000000,-905000000,464000000,1163000000
37,Total Current Assets,- -,4500000000,3806000000,5691000000,4499000000,4309000000,4116000000,4482000000,5086000000
38,PP&E,- -,2406000000,2139000000,2195000000,2502000000,1683000000,1671000000,1581000000,1607000000
39,Goodwill,- -,2334000000,2160000000,2179000000,2515000000,2182000000,2150000000,2057000000,2212000000
40,Intangible Assets,- -,165000000,129000000,113000000,543000000,460000000,405000000,443000000,555000000
41,Intangible Assets,- -,2499000000,2289000000,2292000000,3058000000,2642000000,2555000000,2500000000,2767000000
42,Investments,- -,564000000,1646000000,1714000000,1793000000,1407000000,1399000000,707000000,335000000
43,Tax Assets,- -,- -,- -,22000000,389000000,217000000,206000000,- -,- -
44,Other Non-Current Assets,- -,1237000000,557000000,1042000000,929000000,684000000,395000000,991000000,983000000
45,Total Non-Current Assets,- -,6706000000,6631000000,7265000000,8671000000,6633000000,6226000000,5779000000,5692000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11206000000,10437000000,12956000000,13170000000,10942000000,10342000000,10261000000,10778000000
48,Accounts Payable,- -,2856000000,2653000000,2776000000,2958000000,3101000000,2709000000,2179000000,2130000000
49,Short-Term Debt,- -,110000000,24000000,79000000,38000000,8000000,30000000,210000000,184000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1970000000,1334000000,1405000000,1332000000,1083000000,1096000000,1430000000,1197000000
53,Total Current Liabilities,- -,4936000000,4011000000,4260000000,4328000000,4192000000,3835000000,3819000000,3511000000
54,Long-Term Debt,- -,46000000,35000000,3442000000,3440000000,3422000000,3708000000,4097000000,3512000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,612000000,624000000,1078000000,1123000000,936000000,951000000,810000000,797000000
58,Total Non-Current Liabilities,- -,658000000,659000000,4520000000,4563000000,4358000000,4659000000,4907000000,4309000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5594000000,4670000000,8780000000,8891000000,8550000000,8494000000,8726000000,7820000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5177000000,5873000000,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,4452000000,734000000,-1028000000,-1545000000,-2096000000,-988000000
65,Other Comprehensive Income/Loss,- -,276000000,-247000000,-276000000,-397000000,-531000000,-569000000,-665000000,-627000000
66,Other Total Stockholders Equity,- -,- -,- -,165000000,4255000000,4276000000,4303000000,4296000000,- -
67,Total Stockholders Equity,- -,5453000000,5626000000,4210000000,4279000000,2392000000,1848000000,1213000000,2376000000
68,Total Liabilities And Stockholders Equity,- -,11047000000,10296000000,12990000000,13170000000,10942000000,10342000000,9939000000,10196000000
69,Minority Interest,- -,159000000,141000000,-34000000,- -,- -,- -,322000000,582000000
70,Total Liabilities & Equity,- -,11206000000,10437000000,12956000000,13170000000,10942000000,10342000000,10261000000,10778000000
