,https://roic.ai/company/GNLN,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,88259975,178934937,- -,- -,170749000
2,COGS,67689578,143199574,- -,- -,143070000
3,Gross Profit,20570397,35735363,- -,- -,27679000
4,Gross Profit Ratio,0.2331,0.1997,- -,- -,0.1621
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17063415,36723810,- -,- -,41700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17063415,36723810,- -,- -,41700000
9,Other Expenses,791209,1491897,- -,- -,38701000
10,Operating Expenses,17854624,38215707,- -,- -,80401000
11,COGS and Expenses,85544202,181415281,- -,- -,223471000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),269710,3192433,- -,- -,574000
14,Depreciation and Amortization,789004,1489160,- -,- -,4689000
15,EBITDA,3532804,-886797,- -,- -,-25310000
16,EBITDA ratio,0.0400,-0.0050,- -,- -,-0.1482
17,Operating Income,2715773,-2480344,- -,- -,-52722000
18,Operating Income ratio,0.0308,-0.0139,- -,- -,-0.3088
19,Total Other Income Expenses (Gains),-241683,-3088046,- -,- -,-691000
20,Income Before Tax,2474090,-5568390,- -,- -,-53413000
21,Income Before Tax Ratio,0.0280,-0.0311,- -,- -,-0.3128
22,Income Tax expense (Gain),182533,319321,- -,- -,10000
23,Net Income,2291557,-5887711,- -,- -,-30583000
24,Net Income ratio,0.0260,-0.0329,- -,- -,-0.1791
25,EPS,0.24,-0.18,-0.95,-1.22,-2.56
26,EPS Diluted,0.24,-0.18,-0.95,-1.22,-2.56
27,Weighted Average Shares Outstanding,9547776,9547776,10145000,11947000,11947000
28,Weighted Average Shares Outstanding Diluted,9547776,9547776,10145000,11947000,11947000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743745/000174374520000007/0001743745-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374521000018/0001743745-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374522000011/0001743745-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,2080397,7341485,47773000,30435000,12857000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2080397,7341485,47773000,30435000,12857000
34,Net Receivables,3759551,8217787,8091000,6330000,14690000
35,Inventory,14159693,29502074,43060000,36064000,66982000
36,Other Current Assets,3288815,12043824,16044000,23254000,30208000
37,Total Current Assets,23288456,57105170,114968000,96083000,124737000
38,PP&E,597494,11640824,17860000,12201000,29979000
39,Goodwill,3150121,5445691,11982000,3280000,41860000
40,Intangible Assets,1555884,3662409,6301000,5945000,84710000
41,Intangible Assets,4706005,9108100,18283000,9225000,126570000
42,Investments,915920,75000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,63952,92080,2091000,- -,4541000
45,Total Non-Current Assets,6283371,20916004,38234000,21426000,161090000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,29571827,78021174,153202000,117509000,285827000
48,Accounts Payable,15500519,20226696,11310000,18405000,23041000
49,Short-Term Debt,70947,262940,1378000,1332000,11615000
50,Tax Payable,173974,664659,1423000,10093000,- -
51,Deferred Revenue,720527,3071471,3152000,- -,7924000
52,Other Current Liabilities,3227689,6873685,10422000,22119000,28388000
53,Total Current Liabilities,19519682,30434792,26262000,41856000,70968000
54,Long-Term Debt,565249,48376343,8018000,7662000,-1008000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,91063,10269218,4658000,- -,19503000
58,Total Non-Current Liabilities,656312,58645561,12676000,7662000,18495000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,154218,331376,5238000,3879000,- -
61,Total Liabilities,20175994,89080353,38938000,11537000,18495000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,6449921,-10773187,107000,133000,854000
64,Retained Earnings,3154623,- -,-9727000,- -,-55544000
65,Other Comprehensive Income/Loss,-208711,-285992,-72000,29000,324000
66,Other Total Stockholders Equity,- -,- -,32108000,14903000,228894000
67,Total Stockholders Equity,9395833,-11059179,22416000,15065000,174528000
68,Total Liabilities And Stockholders Equity,29571827,78021174,61354000,26602000,193023000
69,Minority Interest,- -,- -,91848000,90907000,92804000
70,Total Liabilities & Equity,29571827,78021174,153202000,117509000,285827000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743745/000174374520000007/0001743745-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374521000018/0001743745-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374522000011/0001743745-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,2291557,-5887711,-28816000,-47704000,-53423000
74,Depreciation and Amortization,789004,1489160,2705000,2520000,4689000
75,Deferred Income Tax,- -,- -,10894000,- -,- -
76,Stock Based Compensation,- -,4060375,8020000,853000,5715000
77,Change in Working Capital,-114989,22901604,62035622,-34479000,-458000
78,Accounts Receivable,-2670405,-4992779,635000,1186000,-1393000
79,Inventory,-8608831,-11941244,-12954000,6996000,5730000
80,Accounts Payable,10897072,2664419,-11261000,7095000,-1301000
81,Other Working Capital,3768774,26670378,88706000,54227000,53769000
82,Other Non-Cash Items,158475,-36140744,-91741622,66508000,6147000
83,Cash Provided by Operating Activities,3124047,-13577316,-36903000,-12302000,-37330000
84,CAPEX,-886574,-10926517,-2073000,-1788000,-4400000
85,Acquisitions Net,- -,710081,-1159000,-1841000,141960000
86,Purchases of Investments,- -,- -,-500000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-596739,-29178,- -,-515000,-157251000
89,Cash Used for Investing Activites,-886574,-10216436,-3732000,-4144000,-19691000
90,Debt Repayment,-2156088,-1350734,-276000,192000,39000
91,Common Stock Issued,- -,- -,83003000,1988000,32643000
92,Common Stock Repurchased,- -,-15075000,-3533000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,269707,45557855,1785000,-3243000,6281000
95,Cash Used/Provided by Financing Activities,-1886381,29132121,80979000,-1063000,38963000
96,Effect of Forex Changes on Cash,38109,-77281,88000,171000,480000
97,Net Change In Cash,389201,5261088,40432000,-17338000,-17578000
98,Cash at the End of Period,2080397,7341485,47773000,30435000,12857000
99,Cash at the Beginning of Period,1691196,2080397,7341000,47773000,30435000
100,Free Cash Flow,2237473,-24503833,-38976000,-14090000,-41730000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743745/000174374520000007/0001743745-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374521000018/0001743745-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1743745/000174374522000011/0001743745-22-000011-index.htm
102,false,,,,,
