,https://roic.ai/company/CHWY,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,2104287000,3532837000,4846743000,7146264000,8890773000
2,COGS,- -,1736737000,2818032000,3702683000,5325457000,6517191000
3,Gross Profit,- -,367550000,714805000,1144060000,1820807000,2373582000
4,Gross Profit Ratio,- -,0.1747,0.2023,0.2360,0.2548,0.2670
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,451673000,589507000,1366186000,1397969000,- -
7,Selling and Marketing Exp.,- -,253728000,393064000,- -,513302000,618902000
8,"Selling, General and Administrative Exp.",- -,705401000,982571000,1366186000,1911271000,1826858000
9,Other Expenses,- -,- -,- -,30600000,- -,618902000
10,Operating Expenses,- -,705401000,982571000,1396786000,1911271000,2445760000
11,COGS and Expenses,- -,2442138000,3800603000,5099469000,7236728000,8962951000
12,Interest Income ,- -,350000,57000,- -,- -,- -
13,Interest Expense (Gain),- -,556000,181000,356000,- -,1639000
14,Depreciation and Amortization,- -,12536000,23210000,30645000,35664000,55009000
15,EBITDA,- -,-324965000,-244499000,-221369000,-56822000,-17169000
16,EBITDA ratio,- -,-0.1544,-0.0692,-0.0457,-0.0080,-0.0019
17,Operating Income,- -,-337851000,-267766000,-252726000,-90464000,-72178000
18,Operating Income ratio,- -,-0.1606,-0.0758,-0.0521,-0.0127,-0.0081
19,Total Other Income Expenses (Gains),- -,-206000,-124000,356000,-2022000,-1639000
20,Income Before Tax,- -,-338057000,-267890000,-252370000,-92486000,-73817000
21,Income Before Tax Ratio,- -,-0.1607,-0.0758,-0.0521,-0.0129,-0.0083
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,-338057000,-267890000,-252370000,-92486000,-73817000
24,Net Income ratio,- -,-0.1607,-0.0758,-0.0521,-0.0129,-0.0083
25,EPS,- -,-1.77,-0.68,-0.63,-0.23,-0.18
26,EPS Diluted,- -,-1.77,-0.68,-0.63,-0.23,-0.18
27,Weighted Average Shares Outstanding,- -,395711689,395711689,398256000,407240000,407240000
28,Weighted Average Shares Outstanding Diluted,- -,395711689,395711689,398256000,407240000,407240000
