,https://roic.ai/company/PAVM,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,500000
2,COGS,- -,- -,- -,- -,- -,- -,- -,585000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-85000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.1700
5,Research and Development Exp.,- -,489327,1719587,2618795,4252999,6630330,10963000,19847000
6,General and Administrative Exp.,- -,1287273,3931264,5415324,6310206,7664965,12388000,25566000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,8895000
8,"Selling, General and Administrative Exp.",- -,1287273,3931264,5415324,6310206,7664965,12388000,34461000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-23327649,- -
10,Operating Expenses,- -,1776600,5650851,8034119,10563205,14295295,23351,54308000
11,COGS and Expenses,- -,1776600,5650851,8034119,10563205,14295295,23351000,54893000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,724684,2392447,32667,53000,- -
14,Depreciation and Amortization,- -,- -,3793,7110,9790,14226,23000,80000
15,EBITDA,- -,-1776600,-5647058,-8027009,-10553415,-14281069,-23988000,-56046000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-112.0920
17,Operating Income,- -,-1776600,-5650851,-8034119,-10563205,-14295295,-23351000,-54393000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-108.7860
19,Total Other Income Expenses (Gains),- -,- -,- -,-1485150,-7609617,-2972836,-12537000,-1733000
20,Income Before Tax,- -,-1776600,-5650851,-9519269,-18172822,-17268131,-35888000,-56126000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-112.2520
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-5496000
23,Net Income,- -,-1776600,-5650851,-9519269,-17968750,-16457241,-34276000,-50630000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-101.2600
