,https://roic.ai/company/CASA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,211278000,272450000,316128000,351575000,297127000,282297000,393246000,401325000
2,COGS,65005000,79614000,97817000,93511000,79161000,119765000,192647000,213145000
3,Gross Profit,146273000,192836000,218311000,258064000,217966000,162532000,200599000,188180000
4,Gross Profit Ratio,0.6923,0.7078,0.6906,0.7340,0.7336,0.5757,0.5101,0.4689
5,Research and Development Exp.,25481000,37155000,49210000,60677000,70974000,83331000,84370000,84362000
6,General and Administrative Exp.,10346000,16453000,18215000,21563000,26840000,88320000,- -,- -
7,Selling and Marketing Exp.,21409000,36157000,36114000,39602000,41186000,- -,- -,- -
8,"Selling, General and Administrative Exp.",31755000,52610000,54329000,61165000,68026000,88320000,- -,85563000
9,Other Expenses,- -,- -,- -,- -,- -,- -,92016000,- -
10,Operating Expenses,57236000,89765000,103539000,121842000,139000000,171651000,176386000,169925000
11,COGS and Expenses,122241000,169379000,201356000,215353000,218161000,291416000,369033000,383070000
12,Interest Income ,913000,955000,1208000,2439000,6259000,4406000,999000,362000
13,Interest Expense (Gain),23000,214000,902000,17466000,19763000,20522000,16895000,14958000
14,Depreciation and Amortization,3604000,5149000,6008000,7738000,9454000,14722000,17970000,15680000
15,EBITDA,89722000,107026000,122603000,148022000,95155000,10829000,44614000,34132000
16,EBITDA ratio,0.4247,0.3928,0.3878,0.4210,0.3203,0.0384,0.1135,0.0850
17,Operating Income,89037000,103071000,114772000,136222000,78966000,-9119000,24213000,18255000
18,Operating Income ratio,0.4214,0.3783,0.3631,0.3875,0.2658,-0.0323,0.0616,0.0455
19,Total Other Income Expenses (Gains),-2942000,-1408000,921000,-13404000,-13028000,-15296000,-14464000,-14761000
20,Income Before Tax,86095000,101663000,115693000,122818000,65938000,-24415000,9749000,3494000
21,Income Before Tax Ratio,0.4075,0.3731,0.3660,0.3493,0.2219,-0.0865,0.0248,0.0087
22,Income Tax expense (Gain),26387000,33742000,27025000,34318000,-7068000,23791000,-15052000,287000
23,Net Income,59708000,67921000,88668000,88500000,73006000,-48206000,24801000,3207000
24,Net Income ratio,0.2826,0.2493,0.2805,0.2517,0.2457,-0.1708,0.0631,0.0080
25,EPS,0.75,0.34,1.12,0.34,0.87,-0.57,0.30,0.04
26,EPS Diluted,0.67,0.34,1.00,0.26,0.79,-0.57,0.29,0.04
27,Weighted Average Shares Outstanding,79246000,80039000,79246000,35359000,83539000,83853000,83465000,85253000
28,Weighted Average Shares Outstanding Diluted,88933000,89579000,88933000,44972000,91877000,83853000,85278000,88857000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333835/000156459018004630/0001564590-18-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459019005442/0001564590-19-005442-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459020007381/0001564590-20-007381-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459021008842/0001564590-21-008842-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459022007157/0001564590-22-007157-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,92496000,329554000,260820000,280587000,113638000,157455000,154703000
32,Short-Term Investments,- -,- -,14392000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,92496000,343946000,260820000,280587000,113638000,157455000,154703000
34,Net Receivables,- -,90945000,110234000,122634000,81782000,93100000,94124000,85774000
35,Inventory,- -,47501000,65975000,36148000,50997000,93604000,101204000,84828000
36,Other Current Assets,- -,5118000,7217000,5689000,4145000,8101000,17951000,29709000
37,Total Current Assets,- -,236060000,527372000,425291000,417511000,308443000,370734000,355014000
38,PP&E,- -,22328000,25682000,29363000,29879000,35910000,28880000,23508000
39,Goodwill,- -,- -,- -,- -,- -,50347000,50177000,50177000
40,Intangible Assets,- -,- -,- -,- -,- -,41148000,35844000,31144000
41,Intangible Assets,- -,- -,- -,- -,- -,91495000,86021000,81321000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,14280000,21140000,9718000,21578000,69000,1150000,101000
44,Other Non-Current Assets,- -,10429000,8841000,5325000,5681000,8395000,6181000,8763000
45,Total Non-Current Assets,- -,47037000,55663000,44406000,57138000,135869000,122232000,113693000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,283097000,583035000,469697000,474649000,444312000,492966000,468707000
48,Accounts Payable,- -,7218000,21704000,15833000,17776000,25890000,41203000,28087000
49,Short-Term Debt,- -,272000,2133000,2156000,2179000,8524000,15171000,1924000
50,Tax Payable,- -,4882000,11823000,118000,958000,- -,7463000,4991000
51,Deferred Revenue,- -,35353000,55876000,34224000,31206000,25485000,15531000,14473000
52,Other Current Liabilities,- -,30236000,161007000,48368000,37950000,34567000,47256000,46373000
53,Total Current Liabilities,- -,73079000,240720000,100581000,89111000,94466000,119161000,90857000
54,Long-Term Debt,- -,7523000,297618000,295459000,293280000,284756000,276085000,274193000
55,Deferred Revenue,- -,22109000,18458000,14691000,12479000,4583000,3520000,7012000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,8993000,7282000,5293000
57,Other Non-Current Liabilities,- -,449000,463000,8810000,4923000,12950000,10544000,9433000
58,Total Non-Current Liabilities,- -,30081000,316539000,318960000,310682000,311282000,297431000,295931000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,103160000,557259000,419541000,399793000,405748000,416592000,386788000
62,Preferred Stock,- -,97479000,97479000,- -,- -,- -,- -,- -
63,Common Stock,- -,32000,33000,81000,83000,84000,85000,88000
64,Retained Earnings,- -,67921000,-69997000,-78917000,-81008000,-127064000,-102263000,-99056000
65,Other Comprehensive Income/Loss,- -,-214000,-1739000,194000,-1158000,-2222000,337000,878000
66,Other Total Stockholders Equity,- -,14719000,- -,128798000,156939000,167766000,178215000,- -
67,Total Stockholders Equity,- -,179937000,25776000,50156000,74856000,38564000,76374000,81919000
68,Total Liabilities And Stockholders Equity,- -,283097000,583035000,469697000,474649000,444312000,492966000,468707000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,283097000,583035000,469697000,474649000,444312000,492966000,468707000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1333835/000156459018004630/0001564590-18-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459019005442/0001564590-19-005442-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459020007381/0001564590-20-007381-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459021008842/0001564590-21-008842-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459022007157/0001564590-22-007157-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,59708000,67921000,88668000,88500000,73006000,-48206000,24801000,3207000
74,Depreciation and Amortization,3604000,5149000,6008000,7738000,9454000,14722000,17970000,15680000
75,Deferred Income Tax,-8398000,-1637000,-6860000,11422000,-11517000,19641000,-2526000,-931000
76,Stock Based Compensation,1991000,7321000,8304000,9136000,8894000,9821000,13155000,14819000
77,Change in Working Capital,1853000,103580000,123671000,38058000,3690000,-114423000,37596000,-1343000
78,Accounts Receivable,-46634000,-9717000,-16273000,-25726000,34716000,1881000,-350000,8186000
79,Inventory,-22075000,-17373000,-22798000,21859000,-11051000,-21276000,-9774000,14101000
80,Accounts Payable,-6621000,2744000,14453000,-6475000,4197000,1554000,17015000,-12046000
81,Other Working Capital,59401000,162981000,286652000,324710000,328400000,213977000,251573000,2409000
82,Other Non-Cash Items,1590000,-157732000,-109011000,-59846000,15018000,79423000,-37354000,2166000
83,Cash Provided by Operating Activities,60348000,24602000,110780000,95008000,98545000,-39022000,53642000,33598000
84,CAPEX,-4030000,-15503000,-7419000,-7014000,-7966000,-8591000,-5585000,-5326000
85,Acquisitions Net,- -,- -,- -,- -,- -,-109431000,- -,- -
86,Purchases of Investments,- -,- -,-14392000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,14589000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-432000,-1439000
89,Cash Used for Investing Activites,-4030000,-15503000,-21811000,7575000,-7966000,-118022000,-5585000,-5326000
90,Debt Repayment,- -,-115000,-282000,-3292000,-3304000,-6820000,-9644000,-16275000
91,Common Stock Issued,- -,- -,- -,83421000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-75102000,-1795000,-3031000,-8819000
93,Dividends Paid,-28869000,-712000,-142301000,-246634000,-7325000,-2590000,-683000,-98000
94,Other Financing Activites,7174000,8131000,291951000,-6156000,17380000,1678000,7055000,-4203000
95,Cash Used/Provided by Financing Activities,-21695000,7304000,149368000,-172661000,-68351000,-9527000,-6303000,-29395000
96,Effect of Forex Changes on Cash,28000,-1062000,-1279000,1344000,-1442000,-378000,2050000,466000
97,Net Change In Cash,34651000,15341000,237058000,-68734000,20786000,-166949000,43804000,-657000
98,Cash at the End of Period,77155000,92496000,329554000,260820000,281606000,114657000,158461000,157804000
99,Cash at the Beginning of Period,42504000,77155000,92496000,329554000,260820000,281606000,114657000,158461000
100,Free Cash Flow,56318000,9099000,103361000,87994000,90579000,-47613000,48057000,28272000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333835/000156459018004630/0001564590-18-004630-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459019005442/0001564590-19-005442-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459020007381/0001564590-20-007381-index.html,https://www.sec.gov/Archives/edgar/data/1333835/000156459021008842/0001564590-21-008842-index.htm,https://www.sec.gov/Archives/edgar/data/1333835/000156459022007157/0001564590-22-007157-index.htm
102,false,,,,,,,,
