,https://roic.ai/company/CHK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17100000,28800000,65800000,145591000,269092000,377946000,354946000,377946000,969051000,737751000,1717432000,2709268000,4665290000,7325595000,7800000000,11629000000,7702000000,9366000000,11635000000,12316000000,17506000000,20951000000,12764000000,7872000000,9496000000,10231000000,8489000000,5210000000
2,COGS,6200000,8600000,11500000,40650000,108797000,178505000,131095000,178505000,252757000,294028000,625764000,1064066000,1882857000,2255709000,2919000000,4537000000,1165000000,4610000000,6634000000,10080000000,14488000000,17022000000,12623000000,8524000000,7715000000,8364000000,8093000000,4590000000
3,Gross Profit,10900000,20200000,54300000,104941000,160295000,199441000,223851000,199441000,716294000,443723000,1091668000,1645202000,2782433000,5069886000,4881000000,7092000000,6537000000,4756000000,5001000000,2236000000,3018000000,3929000000,141000000,-652000000,1781000000,1867000000,396000000,620000000
4,Gross Profit Ratio,0.6374,0.7014,0.8252,0.7208,0.5957,0.5277,0.6307,0.5277,0.7392,0.6015,0.6356,0.6072,0.5964,0.6921,0.6258,0.6099,0.8487,0.5078,0.4298,0.1816,0.1724,0.1875,0.0110,-0.0828,0.1876,0.1825,0.0466,0.1190
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5200000,3100000,3600000,4828000,- -,19918000,13477000,19918000,14449000,- -,23753000,37045000,64272000,193905000,243000000,- -,- -,- -,548000000,542000000,457000000,322000000,235000000,240000000,262000000,280000000,315000000,311000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4967000000,- -,9461000000,- -,- -,- -,- -,- -,3967000,- -
8,"Selling, General and Administrative Exp.",5200000,3100000,3600000,4828000,8802000,19918000,13477000,19918000,14449000,17618000,23753000,37045000,64272000,193905000,243000000,377000000,2665000000,453000000,5515000000,542000000,9918000000,322000000,235000000,240000000,262000000,280000000,318967000,311000000
9,Other Expenses,4700000,10200000,27700000,54056000,107046000,154720000,102854000,154720000,181565000,235198000,386258000,611322000,945001000,1462759000,1989000000,2251000000,1653000000,1614000000,-3044000000,- -,-9461000000,234000000,353000000,123000000,-38000000,36000000,-310341000,507000000
10,Operating Expenses,9900000,13300000,31300000,58884000,115848000,174638000,116331000,174638000,196014000,252816000,410011000,648367000,1009273000,1656664000,2232000000,2628000000,4318000000,2067000000,2471000000,542000000,457000000,556000000,588000000,363000000,224000000,316000000,8626000,818000000
11,COGS and Expenses,16100000,21900000,42800000,99534000,224645000,353143000,247426000,353143000,448771000,546844000,1035775000,1712433000,2892130000,3912373000,5151000000,7165000000,5483000000,6677000000,9105000000,10622000000,14945000000,17578000000,13211000000,8887000000,7939000000,8680000000,8540000000,5408000000
12,Interest Income ,- -,- -,- -,3831000,11223000,3926000,8562000,3926000,2877000,7340000,2827000,4476000,10452000,25463000,15000000,- -,- -,- -,- -,- -,-169000000,-173000000,-329000000,165000000,138000000,- -,5000000,87000000
13,Interest Expense (Gain),- -,- -,- -,13679000,- -,68249000,81052000,68249000,98321000,111280000,154356000,167328000,219800000,300722000,406000000,- -,113000000,19000000,44000000,77000000,169000000,173000000,329000000,451000000,563000000,487000000,657000000,418000000
14,Depreciation and Amortization,4700000,10200000,27700000,54056000,105591000,154720000,102854000,154720000,181565000,235198000,386258000,611322000,945001000,1462759000,1989000000,2147000000,1615000000,1614000000,1923000000,- -,314000000,- -,- -,- -,- -,- -,- -,1097000000
15,EBITDA,4200000,15400000,45700000,103944000,-81359000,-710885000,218936000,-710885000,672251000,413618000,1043955000,1583576000,2658194000,5018840000,4736000000,3333000000,-7585000000,4517000000,4832000000,-1072000000,1755000000,3234000000,-18819000000,-4140000000,1514000000,1350000000,18000000,-8238000000
16,EBITDA ratio,0.2456,0.5347,0.6945,0.7139,-0.3023,-1.8809,0.6168,-1.8809,0.6937,0.5606,0.6079,0.5845,0.5698,0.6851,0.6072,0.2866,-0.9848,0.4823,0.4153,-0.0870,0.1003,0.1544,-1.4744,-0.5259,0.1594,0.1320,0.0021,-1.5812
17,Operating Income,1000000,6900000,23000000,49888000,-180330000,-856197000,107520000,-856197000,520280000,190907000,675255000,992335000,1773160000,3413222000,2649000000,1454000000,-8945000000,2805000000,2921000000,-1694000000,2069000000,3477000000,-18919000000,-4411000000,1139000000,882000000,-31000000,-8703000000
18,Operating Income ratio,0.0585,0.2396,0.3495,0.3427,-0.6701,-2.2654,0.3029,-2.2654,0.5369,0.2588,0.3932,0.3663,0.3801,0.4659,0.3396,0.1250,-1.1614,0.2995,0.2511,-0.1375,0.1182,0.1660,-1.4822,-0.5603,0.1199,0.0862,-0.0037,-1.6704
19,Total Other Income Expenses (Gains),-1500000,-1700000,-5000000,-13679000,- -,-64323000,-72490000,-64323000,-81915000,-123767000,-174303000,-187409000,-279767000,-157863000,-308000000,-268000000,-343000000,79000000,-41000000,720000000,-627000000,-277000000,-179000000,-178000000,-184000000,-15000000,-608000000,-1066000000
20,Income Before Tax,-500000,5200000,18000000,36209000,-180330000,-920520000,35030000,-920520000,438365000,67140000,500952000,804926000,1493393000,3255359000,2341000000,1186000000,-9288000000,2884000000,2880000000,-974000000,1442000000,3200000000,-19098000000,-4589000000,955000000,867000000,-639000000,-9769000000
21,Income Before Tax Ratio,-0.0292,0.1806,0.2736,0.2487,-0.6701,-2.4356,0.0987,-2.4356,0.4524,0.0910,0.2917,0.2971,0.3201,0.4444,0.3001,0.1020,-1.2059,0.3079,0.2475,-0.0791,0.0824,0.1527,-1.4962,-0.5830,0.1006,0.0847,-0.0753,-1.8750
22,Income Tax expense (Gain),-100000,1300000,6300000,12854000,-3573000,- -,1764000,- -,174959000,26854000,190360000,289771000,545091000,1252036000,890000000,463000000,-3483000000,1110000000,1123000000,-380000000,548000000,1144000000,-4463000000,-190000000,2000000,-10000000,-331000000,-19000000
23,Net Income,-400000,3900000,11700000,23355000,-183377000,-933854000,33266000,-933854000,217406000,40286000,312981000,515155000,948302000,2003323000,1451000000,723000000,-5830000000,1774000000,1742000000,-769000000,724000000,1917000000,-14685000000,-4401000000,949000000,873000000,-308000000,-9734000000
24,Net Income ratio,-0.0234,0.1354,0.1778,0.1604,-0.6815,-2.4709,0.0937,-2.4709,0.2243,0.0546,0.1822,0.1901,0.2033,0.2735,0.1860,0.0622,-0.7569,0.1894,0.1497,-0.0624,0.0414,0.0915,-1.1505,-0.5591,0.0999,0.0853,-0.0363,-1.8683
25,EPS,-4.00,16.00,44.00,160.00,-558.00,-1994.00,34.00,-1994.00,266.00,36.00,276.00,346.00,546.00,956.00,538.00,232.00,-1914.00,526.00,494.00,-292.00,146.00,386.00,-4486.00,-1278.00,180.00,170.00,-49.97,-998.26
26,EPS Diluted,-4.00,16.00,42.00,158.00,-558.00,-1994.00,32.00,-1994.00,250.00,34.00,242.00,306.00,502.00,870.00,524.00,228.00,-1914.00,502.00,464.00,-292.00,146.00,374.00,-4486.00,-1278.00,180.00,170.00,-49.97,-998.26
27,Weighted Average Shares Outstanding,100000,50306000,56948000,145855,328835,474555,485385,474555,811810,834550,1056015,1266060,1610170,1992435,2280000,2680000,3060000,3155000,3185000,3215000,3265000,3295000,3310000,3820000,4530000,4545000,8325000,9773000
28,Weighted Average Shares Outstanding Diluted,100000,50306000,56948000,147305,328835,474555,510190,474555,869905,863570,1292835,1528590,1833415,2293015,2435000,2725000,3060000,3530000,3760000,3215000,3265000,3860000,3310000,3820000,4530000,4545000,8325000,9773000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895126/000119312513187219/0001193125-13-187219-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512614000104/0000895126-14-000104-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512615000076/0000895126-15-000076-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512616000395/0000895126-16-000395-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512617000068/0000895126-17-000068-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512618000060/0000895126-18-000060-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512619000070/0000895126-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512620000061/0000895126-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512621000090/0000895126-21-000090-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,16200000,55500000,51638000,- -,29520000,38658000,38658000,117594000,247637000,40581000,6896000,60027000,2519000,1000000,1749000000,307000000,102000000,351000000,287000000,837000000,4108000000,825000000,882000000,5000000,4000000,6000000,279000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4900000,16200000,55500000,51638000,- -,29520000,38658000,38658000,117594000,247637000,40581000,6896000,60027000,2519000,1000000,1749000000,999000000,102000000,351000000,287000000,837000000,4108000000,825000000,882000000,5000000,4000000,6000000,279000000
34,Net Receivables,11600000,19100000,41300000,50214000,- -,76299000,51065000,51065000,93707000,147632000,241394000,459368000,791194000,844851000,1074000000,1324000000,1325000000,1974000000,2505000000,2245000000,2222000000,2236000000,1129000000,1057000000,1322000000,1247000000,990000000,746000000
35,Inventory,3400000,7200000,8900000,5163000,- -,5325000,4582000,4582000,10629000,15359000,19257000,32147000,87081000,81503000,87000000,58000000,25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,1300000,700000,2158000,- -,6855000,3241000,3241000,139453000,24689000,41172000,69129000,245095000,224996000,234000000,1161000000,97000000,1190000000,321000000,416000000,597000000,1124000000,526000000,203000000,198000000,347000000,255000000,83000000
37,Total Current Assets,20400000,43800000,106400000,109173000,- -,117999000,97546000,97546000,361383000,435317000,342404000,567540000,1183397000,1153869000,1396000000,4292000000,2446000000,3266000000,3177000000,2948000000,3656000000,7468000000,2480000000,2142000000,1525000000,1598000000,1251000000,1108000000
38,PP&E,57300000,78400000,163800000,451174000,- -,663991000,719097000,719097000,1785581000,2389884000,4133117000,7444384000,14411887000,21904043000,28337000000,33145000000,26710000000,32378000000,36739000000,37167000000,37134000000,32515000000,14298000000,10609000000,10680000000,9030000000,14756000000,5242000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,10000000,- -,9075000,31544000,92743000,297443000,698962000,612000000,- -,404000000,1208000000,1531000000,728000000,477000000,265000000,136000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,67781000,2071000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,3500000,6500000,11988000,- -,30625000,33890000,23890000,72023000,39261000,65226000,139842000,225735000,660293000,389000000,1007000000,354000000,327000000,388000000,768000000,515000000,503000000,443000000,277000000,220000000,319000000,186000000,234000000
45,Total Non-Current Assets,57400000,81900000,170300000,463162000,- -,694616000,752987000,752987000,1925385000,2440291000,4229887000,7676969000,14935065000,23263298000,29338000000,34152000000,27468000000,33913000000,38658000000,38663000000,38126000000,33283000000,14877000000,10886000000,10900000000,9349000000,14942000000,5476000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,77800000,125700000,276700000,572335000,- -,812615000,850533000,850533000,2286768000,2875608000,4572291000,8244509000,16118462000,24417167000,30734000000,38444000000,29914000000,37179000000,41835000000,41611000000,41782000000,40751000000,17357000000,13028000000,12425000000,10947000000,16193000000,6584000000
48,Accounts Payable,9700000,17500000,33400000,54514000,- -,36854000,24822000,24822000,79945000,86001000,164264000,367176000,516792000,859745000,1262000000,1611000000,957000000,2069000000,3311000000,1710000000,1596000000,2049000000,944000000,672000000,654000000,763000000,498000000,346000000
49,Short-Term Debt,7800000,7600000,10000000,6755000,- -,25000000,763000,763000,602000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463000000,- -,381000000,381000000,503000000,52000000,381000000,385000000,1953000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,161000000,55000000,21000000,32000000,43000000,108000000,150000000,82000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000000,464000000,189000000,169000000,71000000,74000000,73000000,107000000,8000000
52,Other Current Liabilities,14800000,16300000,31500000,47565000,- -,69430000,62601000,62601000,92834000,179551000,348892000,596777000,1447296000,1030064000,1499000000,2010000000,1731000000,2421000000,3771000000,3344000000,3455000000,3244000000,2191000000,2402000000,1576000000,1611000000,1402000000,787000000
53,Total Current Liabilities,32300000,41400000,74900000,108834000,- -,131284000,88186000,88186000,173381000,265552000,513156000,963953000,1964088000,1889809000,2761000000,3621000000,2688000000,4490000000,7082000000,6266000000,5515000000,5863000000,3685000000,3648000000,2356000000,2828000000,2392000000,3094000000
54,Long-Term Debt,13200000,47900000,145800000,268431000,- -,919076000,964097000,964097000,1329453000,1651198000,2057713000,3075109000,5489742000,7375548000,10950000000,14184000000,12295000000,12640000000,10626000000,12157000000,12886000000,11154000000,10354000000,9938000000,9921000000,7341000000,9073000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -
