,https://roic.ai/company/OCLN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,45500,180000,588163,140500,166195,954470,5071095,3355632,4637698,3587894,4101131,4143744
2,COGS,- -,- -,- -,- -,57102,401647,50510,106919,841903,3589165,2705771,3484018,3217028,3489356,3574060
3,Gross Profit,- -,- -,- -,45500,122898,186516,89990,59276,112567,1481930,649861,1153680,370866,611775,569684
4,Gross Profit Ratio,- -,- -,- -,1.0000,0.6828,0.3171,0.6405,0.3567,0.1179,0.2922,0.1937,0.2488,0.1034,0.1492,0.1375
5,Research and Development Exp.,1431,258771,732483,662347,1145749,980170,1072548,1284611,814014,502209,197119,290542,107351,110338,- -
6,General and Administrative Exp.,455895,964202,3606594,3814538,4213453,4942275,5229412,5740472,4200200,2674318,2508264,3045780,2556201,3602586,3612988
7,Selling and Marketing Exp.,- -,298034,521064,- -,- -,- -,- -,- -,2042312,1849639,2503833,1823188,1572183,1557842,2841331
8,"Selling, General and Administrative Exp.",455895,1262236,4127658,3814538,4213453,4942275,5229412,5740472,6242512,4523957,5012097,4868968,4128384,5160428,6454319
9,Other Expenses,- -,13126,55772,46029,11495,13645,15153,16547,22598,45478,52554,56521,43369,52247,44817
10,Operating Expenses,457326,1534133,4915913,4522914,5370697,5936090,6317113,7041630,7079124,5071644,5261770,5216031,4279104,5323013,6499136
11,COGS and Expenses,457326,1534133,4915913,4522914,5427799,6337737,6367623,7148549,7921027,8660809,7967541,8700049,7496132,8812369,10073196
12,Interest Income ,9698,3942,29,6,2,1,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),375,- -,- -,- -,109178,2445186,1879799,2332439,1620837,841082,726356,1645169,734624,1268305,1227599
14,Depreciation and Amortization,- -,13126,55772,46029,11495,13645,15153,16547,22598,45478,52555,56521,43369,52247,44817
15,EBITDA,-459238,-1521007,-4860141,-4433771,-5528370,-8111198,-6868039,-8789622,-9971631,-3259270,-4452894,-9644879,-26695685,14581917,-5884635
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-97.4455,-30.7132,-13.7907,-48.8828,-52.8874,-10.4473,-0.6427,-1.3270,-2.0797,-7.4405,3.5556,-1.4201
17,Operating Income,-457326,-1534133,-4915913,-4477414,-5247799,-5749574,-6544812,-6982354,-6966557,-3589714,-5294054,-4062351,-3908238,-4711238,-5929452
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-98.4047,-29.1544,-9.7755,-46.5823,-42.0130,-7.2989,-0.7079,-1.5777,-0.8759,-1.0893,-1.1488,-1.4309
19,Total Other Income Expenses (Gains),1912,23913,813,-2386,-292068,-4820455,-2218179,-4156254,-4648509,-556116,62249,-7284218,-23565440,17972603,1773822
20,Income Before Tax,- -,- -,- -,-4479800,- -,-10570029,-8762991,-11138608,-11615066,-4145830,-5231805,-11346569,-27473678,13261365,-4155630
21,Income Before Tax Ratio,- -,- -,- -,-98.4571,- -,-17.9713,-62.3700,-67.0213,-12.1691,-0.8175,-1.5591,-2.4466,-7.6573,3.2336,-1.0029
22,Income Tax expense (Gain),- -,- -,- -,800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-446091,-1506278,-4915071,-4480600,-5649043,-10570029,-8762991,-11138608,-11615066,-4145830,-5231805,-11346569,-27473678,13261365,-4155630
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-98.4747,-31.3836,-17.9713,-62.3700,-67.0213,-12.1691,-0.8175,-1.5591,-2.4466,-7.6573,3.2336,-1.0029
25,EPS,-6560.16,-22151.15,-65534.28,-51501.15,-51826.08,-41289.18,-11439.94,-10500.16,-4900.07,-700.01,-200.00,-60.00,-12.66,0.64,-0.20
26,EPS Diluted,-6560.16,-22151.15,-65534.28,-51501.15,-51826.08,-41289.18,-11439.94,-10500.16,-4900.07,-700.01,-200.00,-60.00,-12.66,0.04,-0.01
27,Weighted Average Shares Outstanding,68,68,75,87,109,256,766,1070,2280,6235,26651,223334,2170270,20651668,20651668
28,Weighted Average Shares Outstanding Diluted,68,68,75,87,109,256,766,1070,2280,6235,26651,223334,2170270,312352351,312352351
