,https://roic.ai/company/CIXX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,146800000,181137864,203979319,454511657,615055479,449216201,576202784,844673000,1082278000,- -,1654907000,1511912000,1218485000,1378395000,1496293000,1457742000,1616653000,1875917000,1997647000,1948300000,2111296000,2236365000,2119227000,2050456000,2727000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,652706000,- -,- -,- -,635317000,688415000,959424000,1014384000,1003105000,1070627000,1088955000,1036951000,758550000,557400000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,859206000,1218485000,1378395000,1496293000,822425000,928238000,916493000,983263000,945195000,1040669000,1147410000,1082276000,1291906000,2169600000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5683,1.0000,1.0000,1.0000,0.5642,0.5742,0.4886,0.4922,0.4851,0.4929,0.5131,0.5107,0.6301,0.7956
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,41200000,46469561,48280548,82970207,99659799,16507862,60521994,88392000,215309000,- -,346695000,- -,- -,- -,- -,286009000,314457000,151431000,164605000,178927000,209634000,232836000,223364000,461201000,1126800000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,41200000,46469561,48280548,82970207,99659799,16507862,60521994,88392000,215309000,- -,346695000,- -,- -,- -,- -,286009000,314457000,151431000,164605000,178927000,209634000,232836000,223364000,461201000,1126800000
9,Other Expenses,- -,-129300000,110942534,134028323,248301311,370840814,372061307,397108174,350559000,425651000,- -,707321000,364665000,804226000,890233000,947727000,2437000,3351000,12244000,15110000,9980000,13887000,19599000,31589000,41460000,96800000
10,Operating Expenses,- -,-88100000,157412095,182308871,331271518,470500613,388569169,457630168,438951000,640960000,- -,1054016000,364665000,804226000,890233000,947727000,288446000,317808000,163675000,179715000,188907000,223521000,252435000,254953000,502661000,1223600000
11,COGS and Expenses,- -,-88100000,157412095,182308871,331271518,470500613,388569169,457630168,438951000,640960000,- -,1054016000,1017371000,804226000,890233000,947727000,923763000,1006223000,1123099000,1194099000,1192012000,1294148000,1341390000,1291904000,1261211000,1781000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46608000,26540000,18152000,27496000,24937000,19058000,18056000,14078000,16014000,24926000,43054000,55422000,65440000,109700000
14,Depreciation and Amortization,- -,27900000,48929913,69236799,182619989,267439441,301681137,171946578,41898000,71777000,- -,136978000,- -,- -,174144000,2386000,2437000,3351000,4571000,7350000,4100000,6424000,9645000,32891000,43514000,96800000
15,EBITDA,- -,45400000,65266121,90351247,231855897,313210404,262193551,291928380,433642000,519692000,- -,698271000,472541000,316653000,662306000,550952000,531151000,604707000,740206000,779870000,710373000,772020000,895628000,815990000,752133000,789600000
16,EBITDA ratio,- -,0.3093,0.3603,0.4429,0.5101,0.5092,0.5837,0.5066,0.5134,0.4802,- -,0.4219,0.3125,0.2599,0.4805,0.3682,0.3644,0.3740,0.3946,0.3904,0.3646,0.3657,0.4005,0.3850,0.3668,0.2895
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-217400000,-7389561,-556000,-15089356,-20220210,-1864169,1409186,-13978000,6597000,- -,-39598000,-68608000,-72809000,-18152000,-27496000,-30202000,-27939000,-34926000,-45982000,-66261000,-76633000,-51675000,-100518000,-146498000,-359800000
20,Income Before Tax,- -,17500000,16336208,21114448,108150783,124334656,58782863,119981802,391744000,447915000,- -,561293000,425933000,341450000,470010000,521070000,503777000,582491000,717892000,757566000,690027000,740515000,843300000,726805000,642747000,586200000
21,Income Before Tax Ratio,- -,0.1192,0.0902,0.1035,0.2379,0.2022,0.1309,0.2082,0.4638,0.4139,- -,0.3392,0.2817,0.2802,0.3410,0.3482,0.3456,0.3603,0.3827,0.3792,0.3542,0.3507,0.3771,0.3430,0.3135,0.2150
22,Income Tax expense (Gain),- -,8000000,7785597,12368039,51325450,34272026,21957002,48990061,170700000,163166000,- -,-63762000,-19423000,45267000,139195000,144171000,151614000,155903000,192535000,204948000,187257000,240743000,225453000,189281000,167201000,173800000
23,Net Income,- -,9500000,8550611,8746409,-2089542,11498937,-61444588,70991741,221044000,284749000,- -,625055000,445356000,244846000,330815000,376899000,352163000,426395000,525044000,553494000,503002000,499927000,617476000,538396000,475978000,409300000
24,Net Income ratio,- -,0.0647,0.0472,0.0429,-0.0046,0.0187,-0.1368,0.1232,0.2617,0.2631,- -,0.3777,0.2946,0.2009,0.2400,0.2519,0.2416,0.2638,0.2799,0.2771,0.2582,0.2368,0.2761,0.2541,0.2321,0.1501
25,EPS,- -,0.08,0.06,0.06,-0.01,0.06,-0.35,0.32,0.82,0.97,- -,2.21,1.60,1.01,1.14,1.31,1.24,1.50,1.85,1.99,1.86,1.89,2.38,2.30,2.22,2.03
26,EPS Diluted,- -,0.07,0.06,0.06,-0.01,0.06,-0.35,0.31,0.82,0.97,- -,2.21,1.59,1.01,1.14,1.31,1.24,1.50,1.84,1.98,1.85,1.89,2.38,2.29,2.21,2.02
27,Weighted Average Shares Outstanding,- -,118750000,142510183,139942544,208954200,191648950,175555966,221849191,269565854,293555670,286146296,282830317,278658000,292482000,289069000,286998000,283390000,283640000,283667000,278832000,271133000,264435000,259253000,234273000,214092000,201600000
28,Weighted Average Shares Outstanding Diluted,- -,135714286,148706278,145773483,208954200,191648950,175555966,229005616,269565854,294997000,286146296,282830317,280534000,293596000,289933000,288200000,284030000,284891000,284649000,279422000,271230000,264592000,259582000,235249000,215619000,202500000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,3712258,40561,3108213,1772656,25117000,28305000,22210000,55406000,80081000,72120000,216537000,247528000,24137000,118812000,51246000,56598000,117899000,124582000,137160000,118360000,483598000,230800000
32,Short-Term Investments,- -,4300000,6485217,11647511,5900488,5860877,42437124,50788797,118795000,170253000,90653000,522770000,10774000,13130000,33300000,42099000,66155000,74403000,83718000,78700000,85013000,200910000,168122000,138412000,133375000,131800000
33,Cash and Short-Term Investments,- -,4300000,6485217,11647511,9612746,5901438,45545337,52561453,143912000,198558000,112863000,578176000,90855000,85250000,249837000,289627000,90292000,193215000,134964000,135298000,202912000,325492000,305282000,256772000,616973000,362600000
34,Net Receivables,- -,- -,6275195,7420951,16440665,16987611,16959402,47232873,103319000,96145000,85588000,213977000,276938000,92711000,96194000,70168000,70597000,82065000,98881000,122459000,148218000,236356000,165689000,195997000,248536000,276600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,86900000,61382122,9285190,- -,- -,- -,9932515,27865000,16006000,14572000,8756000,368417000,118648000,108726000,- -,127712000,130194000,130665000,158891000,185424000,327733000,365520000,364964000,973143000,1199800000
37,Total Current Assets,- -,91200000,74142534,28353652,26053411,22889049,62504739,109726841,275096000,310709000,213023000,800909000,736210000,296609000,454757000,359795000,288601000,405474000,364510000,416648000,536554000,889581000,836491000,817733000,1838652000,1839000000
38,PP&E,- -,6000000,6333446,6514821,8468279,4125078,2627477,4689606,26085000,21276000,32728000,34938000,29852000,18238000,38101000,49634000,46879000,42717000,37952000,33166000,34741000,43241000,44985000,90836000,97598000,195200000
39,Goodwill,- -,- -,- -,- -,176834142,98270449,- -,329679621,919203000,951026000,951026000,1132926000,1125884000,1051285000,1122892000,1119926000,1119926000,1137308000,1137308000,1163122000,1190464000,1521318000,1521105000,1531273000,2053672000,- -
40,Intangible Assets,- -,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1038724000,1036507000,1041477000,1053940000,1051783000,1132863000,1217502000,1854522000,1849236000,1857209000,2237326000,- -
41,Intangible Assets,- -,100000,100000,100000,176834142,98270449,- -,329679621,919203000,951026000,951026000,1132926000,1125884000,1051285000,2161616000,2156433000,2161403000,2191248000,2189091000,2295985000,2407966000,3375840000,3370341000,3388482000,4290998000,6185200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64191000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7846000,56900000
44,Other Non-Current Assets,- -,- -,108803810,142043886,320990534,331719247,225609370,581553936,1273378000,1381059000,1542625000,1657776000,1702573000,1640031000,610792000,519120000,474732000,454530000,424414000,551568000,479434000,242070000,40399000,70755000,60551000,383200000
45,Total Non-Current Assets,- -,6100000,115237256,148658707,506292955,434114774,228236847,915923163,2218666000,2353361000,2526379000,2825640000,2858309000,2709822000,2810509000,2725187000,2683014000,2688495000,2651457000,2880719000,2922141000,3661151000,3455725000,3550073000,4521184000,6820500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13641100000
47,Total Assets,- -,97300000,189379790,177012359,532346366,457003823,290741586,1025650004,2493762000,2664070000,2739402000,3626549000,3594519000,3006431000,3265266000,3084982000,2971615000,3093969000,3015967000,3297367000,3458695000,4550732000,4292216000,4367806000,6359836000,8659600000
48,Accounts Payable,- -,- -,- -,- -,36112156,29092929,32486690,42013437,104672000,258929000,115241000,702572000,634229000,246144000,250381000,244542000,245494000,278820000,301389000,324421000,405890000,674651000,624274000,613615000,1276964000,1571200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,13750000,24000000,25538000,40722000,84009000,135325000,187388000,41939000,102747000,- -,24000000,199765000,2000000,2000000,- -,222000000,- -,460857000,218731000,317700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,11396000,20537000,13452000,16521000,15481000,8727000,90304000,8736000,6608000,20209000,38940000,14188000,8836000,1124000,- -,- -,3209000,19000000
