,https://roic.ai/company/SQL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1338752,779068,160480,50588,209995
2,COGS,1084518,674281,219763,170803,57690
3,Gross Profit,254234,104787,-59283,-120215,152305
4,Gross Profit Ratio,0.1899,0.1345,-0.3694,-2.3764,0.7253
5,Research and Development Exp.,974531,1039260,1245168,330979,530076
6,General and Administrative Exp.,806897,1466814,1359497,777435,2170857
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",806897,1466814,1359497,777435,2170857
9,Other Expenses,- -,- -,-372649,-278907,- -
10,Operating Expenses,1781428,2506074,2232016,829507,2700933
11,COGS and Expenses,2865946,3180355,2451779,1000310,2758623
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,182250,287197,208289
14,Depreciation and Amortization,72636,63644,121532,108759,86444
15,EBITDA,-1634298,-2824373,-2169767,-649397,-3408825
16,EBITDA ratio,-1.2208,-3.6253,-13.5205,-12.8370,-16.2329
17,Operating Income,-1527194,-2401287,-2291299,-949722,-2548628
18,Operating Income ratio,-1.1408,-3.0823,-14.2778,-18.7737,-12.1366
19,Total Other Income Expenses (Gains),-179740,-486730,-182250,-95631,-1154930
20,Income Before Tax,-1706934,-2888017,-2473549,-1045353,-3703558
21,Income Before Tax Ratio,-1.2750,-3.7070,-15.4134,-20.6641,-17.6364
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-1706934,-2888017,-2473549,-1045353,-3703558
24,Net Income ratio,-1.2750,-3.7070,-15.4134,-20.6641,-17.6364
25,EPS,-0.15,-0.25,-0.21,-0.09,-0.32
26,EPS Diluted,-0.15,-0.25,-0.21,-0.09,-0.32
27,Weighted Average Shares Outstanding,11697379,11697379,11697379,11697379,11697379
28,Weighted Average Shares Outstanding Diluted,11697379,11697379,11697379,11697379,11697379
